"","convergence","mu","x_C","C","AA","NT","ATP","rRNA","DNA","p","tau tC","tau MET","tau RNAp","tau DNAp","tau r","v tC","v MET","v RNAp","v DNAp","v r","p tC","p MET","p RNAp","p DNAp","p r","f tC","f MET","f RNAp","f DNAp","f r"
"1",4,1.38681302866215,1,23.4787151473466,18.5282073228814,5.45745992112742,35.3562086931391,55.5688864264429,8.13003924828449,107.480483707641,0.0170542635658915,0.0920668354206003,0.145900022192992,0.109651569474236,0.399585682334726,352.250509927639,319.689921865051,77.0636556844386,11.2748443530556,149.055335132667,6.00737303752562,29.4328394219742,11.2435890746327,1.23630437889028,59.5603777946179,1.00000000183804,0.907564115431165,0.218775143411192,0.0320080285365531,0.423151510660003
"2",4,1.38470276461084,0.769230769230769,23.4458136298324,18.4985386909546,5.45679676448583,35.3576645609155,55.5799308958174,8.12952826830095,107.531727248206,0.0175193798449612,0.0920965079945871,0.145905792138319,0.109655905892774,0.399629586278092,351.714502292176,319.249019340397,76.9616839683177,11.2569802680983,148.89948000397,6.16181996263812,29.4017198619469,11.2291554636964,1.2343943689154,59.5046375910095,1.00000000023037,0.907693647357011,0.218818625574084,0.0320060168043345,0.423353256882702
"3",4,1.381970498806,0.591715976331361,23.4032867704167,18.4602077567769,5.45593825563348,35.3595484810795,55.5942092177383,8.12886681269102,107.597943762957,0.0181240310077519,0.0921349848947223,0.145913263228169,0.109661520811233,0.39968668674984,351.020508157871,318.677856266059,76.8295570433629,11.2338541238622,148.697184012593,6.3619065742101,29.3613794733558,11.2104513805719,1.23192152779426,59.4322848070247,1.00000000416257,0.90786107986959,0.218874839439914,0.0320034126483898,0.423613951822664
"4",4,1.37843710960094,0.455166135639508,23.3484167481964,18.4107760803778,5.45482979654248,35.3619816319191,55.6126352491551,8.12801001743187,107.683350768338,0.0189100775193798,0.0921848365717497,0.145922928711003,0.109668784931872,0.399760970761121,350.123026241088,317.938702144946,76.6585201901365,11.2039506352363,148.434726785252,6.62085356753884,29.3091272970661,11.1862357767963,1.22872365260303,59.3384104743342,1.00000000114945,0.908077100566003,0.218947382870689,0.0320000394387082,0.423950199875348
"5",4,1.37387475483364,0.350127796645776,23.2777631632181,18.3471768177281,5.45339925158266,35.3651204847706,55.636368539717,8.1269031806712,107.793268298767,0.0199319379844961,0.0922493744151089,0.145935413921539,0.109678168226747,0.399857600694923,348.964187365666,316.983456206725,76.4374021873379,11.1653471149014,148.094450056685,6.95553254138255,29.2415255350094,11.1549239272963,1.22459481917818,59.2166914759002,0.999999998962419,0.908355262099355,0.219040821022508,0.0319956818136661,0.424382946058137
"6",4,1.36799547555312,0.269329074342904,23.1870511131733,18.2655939583519,5.45155785446343,35.3691586176862,55.6668520177367,8.12547480491302,107.934311670559,0.0212603565891473,0.0923328111200405,0.145951514538517,0.109690268690438,0.399983332906128,347.470850840948,315.751069826708,76.1520016985486,11.1156127698418,147.653650022265,7.38735419321297,29.1541838912602,11.1144999830429,1.21927455138282,59.0589990516605,1.00000000014521,0.908712397337443,0.219160834715499,0.0319900582870591,0.424938234923462
"7",4,1.36043842508669,0.207176211033003,23.0709831355274,18.1613396276497,5.44919392265599,35.3743402233593,55.7058751036936,8.12363613886214,108.114632201152,0.0229873007751938,0.0924405269975225,0.145972226669251,0.109705834950182,0.400146935208635,345.551360452118,314.16470849002,75.7844129941449,11.051706754731,147.083299960562,7.94329305599026,29.0415512168405,11.0624195115774,1.21243671715233,58.8549316995911,1.00000000138937,0.909169359123513,0.219314468912179,0.0319828194443392,0.42564815827225
"8",4,1.35075643800233,0.159366316179233,22.9231405492165,18.0287519376289,5.44617043374002,35.3809633369602,55.7556132697992,8.12127431838678,108.344086776572,0.0252323282170543,0.0925793106329996,0.14599879962851,0.109725805931986,0.400359844503173,343.092136093173,312.128556417086,75.3122535789496,10.969863570344,146.346472732938,8.65701338659319,28.8966465819672,10.9954986198446,1.20367712121992,58.5912510669468,1.00000000245001,0.909751417610577,0.219510288463776,0.0319735209385306,0.426551522742408
"9",4,1.33840340679151,0.122589473984026,22.7358717097893,17.8611488804099,5.44231895594686,35.3893906976217,55.818668750494,8.11825092390957,108.634350559453,0.0281508638914728,0.0927576957917223,0.146032772954666,0.109751338680215,0.400636899981336,339.954465964297,309.52469781154,74.7078964182279,10.8654946937489,145.396584883355,9.57001190065926,28.7107977596276,10.9098012755638,1.19250258806171,58.2512370355404,1.00000000188041,0.910488695936358,0.219758538387772,0.0319616178106676,0.427694293541153
"10",4,1.32272509698706,0.0942995953723274,22.5003135659291,17.6508725593048,5.43743835597561,35.4000517530733,55.8980722922552,8.11439547908194,108.998856651352,0.0319449602682171,0.0929862961308587,0.146076025323966,0.109783845119254,0.400997355721274,335.972175503706,306.210446059973,73.9377830941629,10.73311454706,144.175523235638,10.7326177976923,28.473375215695,10.8005374756608,1.17832258508165,57.8140035772217,1.0000000025865,0.911416090909616,0.22007115075691,0.0319464388940234,0.429129356895085
"11",4,1.30295750056142,0.0725381502864057,22.206544195614,17.3894934207101,5.43129306286613,35.4134430063711,55.9972425647719,8.10950136543047,109.452483223412,0.0368772855579845,0.0932781838955938,0.146130813447455,0.109825021286597,0.401466074160055,330.95120623601,302.017022914786,72.9620272105266,10.5663356299007,142.611933971017,12.2045821381248,28.1715994030452,10.6620003870496,1.16044803547516,57.2538532597172,1.00000000330384,0.91257266395103,0.220461584900677,0.0319271707300412,0.430915288281149
"12",4,1.27823862022933,0.055798577143389,21.8439651640697,17.0682297476211,5.4236112182548,35.4301193889058,56.1198768590189,8.10332225023342,110.01087496099,0.0432893084346822,0.0936492652715241,0.146199811807758,0.109876877197135,0.402074957437988,324.672609013013,296.750809121355,71.7345939637121,10.357979452412,140.620149020357,14.0548527118573,27.7904952429452,10.4875841376006,1.13810243630312,56.5398404322835,0.999999998382257,0.914000135531589,0.220944397082751,0.031902843504856,0.433113680948778
"13",4,1.24764113151229,0.0429219824179915,21.4019892514699,16.6786374543283,5.41409117915549,35.4506724633476,56.2697451715416,8.0955670452568,110.689298006216,0.0516249381743892,0.0941186099646932,0.1462861306611,0.109941750372628,0.402864596378932,316.900848116919,290.198846030601,70.2044485357302,10.1003624285778,138.100521010777,16.3599866914474,27.3131120017582,10.2699371314883,1.11045152479577,55.6358106567267,1.00000000224928,0.915740202046639,0.221534429809219,0.0318723112017984,0.43578463781975
"14",4,1.21023376601952,0.0330169095523012,20.8710128084717,16.2135692662971,5.40240307141661,35.4756948189685,56.450395079536,8.08589818083664,111.501027355576,0.0624612568360082,0.0947087519522086,0.146393340574546,0.110022324282734,0.403886000602979,307.399377272227,282.140572840389,68.3181742303964,9.78582700704428,134.942308251584,19.2005514550295,26.7211815287944,10.0013257475416,1.07665943234376,54.5013091918665,1.0000000022878,0.917830660522168,0.222245649919433,0.0318342448064435,0.438980422659747
"15",4,1.16517747366618,0.0253976227325394,20.2436681037914,15.6683289222477,5.38819722105713,35.5057291953142,56.6647764763488,8.07392641849711,112.455375486212,0.0765484710961129,0.095445896115053,0.146525495706354,0.110121645841422,0.405202271270936,295.955080435873,272.367614376961,66.0245211005708,9.40755718687107,131.030470309206,22.6549089204932,25.9963710269282,9.67427568303578,1.03597568076554,53.0938441749891,1.00000000717901,0.92030052645542,0.223089671166728,0.0317871118838469,0.442737698764614
"16",4,1.11185615867558,0.0195366328711841,19.516194248928,15.0418453318821,5.37111096269769,35.5411993757472,56.9148236042969,8.05920752143053,113.555620165363,0.0948618496342494,0.0963600345651171,0.146687161272477,0.110243146049502,0.406890037872255,282.411465649328,260.712264879748,63.2810971443721,8.96067951674712,126.257515633084,26.7900739894145,25.1222428553625,9.28252450231581,0.98785350066753,51.3729253176023,1.00000000476514,0.923164594336288,0.224074108678334,0.0317291634701989,0.447069370729774
"17",4,1.05003116475711,0.0150281791316801,18.6896516760457,14.3375907837445,5.35076897290515,35.5823383079623,57.2011034353932,8.04123235814376,114.797315363325,0.118669241733826,0.0974850223726468,0.146883519212351,0.11039071940804,0.409040337766458,266.707916790728,247.083200072426,60.0629412656577,8.44354457910422,120.540758761941,31.6500262499642,24.0869112869656,8.82225618734452,0.93208896044117,49.3060326786095,1.00000000353354,0.926418697722338,0.225201194627532,0.0316583951108022,0.451957934501279
"18",4,0.979993983590717,0.0115601377936001,17.7707094858127,13.5639656515032,5.3267849044019,35.6291160124507,57.5225793559145,8.01942307673427,116.167422122498,0.149618851463276,0.0988586250986638,0.147120446915175,0.110568783085318,0.411758959388755,248.918472429167,231.503284048932,56.3717816894158,7.85898636706814,113.843374769291,37.2428959528452,22.8860963669029,8.29344171555152,0.868958558890827,46.8760295283073,1.00000000239888,0.930036579226387,0.226466847857931,0.0315725317981664,0.457352055600385
"19",4,0.90267843948808,0.00889241368738467,16.7717364957067,12.7339545357793,5.2987527505854,35.6811885990661,57.8766034736868,7.99312289630061,117.644641479825,0.189853344111562,0.100522611894858,0.147404699342441,0.110782413791524,0.415166128503036,229.280323838446,214.140838910996,52.243962106498,7.21521970266908,106.195281385143,43.5296362197108,21.5259964406894,7.70100552676623,0.799319454697843,44.0886838379602,1.00000000090925,0.933969542264735,0.227860643597192,0.0314689877807111,0.463167879841829
"20",4,0.819688913558093,0.00684031822106513,15.7100823366765,11.8640559765788,5.26624544331175,35.7378834049017,58.2591332300769,7.96159701911976,119.201003901039,0.242158184554333,0.102522959640559,0.147744019617738,0.111037430892834,0.419395851775642,208.200985118945,195.323604796487,47.7543656221979,6.52603281078963,97.7077413826768,50.4175725788275,20.0251540513987,7.05542193131866,0.724633917232423,40.9782214222619,1.00000000516419,0.93814928730326,0.229366666260145,0.0313448701540148,0.469295290948973
"21",4,0.733212861190465,0.00526178324697318,14.6066437052481,10.9726900268604,5.22881192620308,35.7982282578781,58.6651519852047,7.92404323337133,120.804431719746,0.310154477129935,0.104910211360589,0.14814722881181,0.111340463889621,0.424595278685293,186.236067368917,175.526288345403,43.0140439392455,5.81001041133714,88.5753630257233,57.7619500975419,18.4145000096558,6.37241140958866,0.646889254401807,37.6086809485579,1.00000000336422,0.942493532083716,0.230965165296082,0.0311970206038241,0.475607998896638
"22",4,0.645815193778923,0.00404752557459475,13.4839828929238,10.0784430538355,5.18599065065158,35.8610296381058,59.0892020512568,7.87961276481098,122.421740063737,0.398549657478218,0.107740031689107,0.148624213278871,0.111698942899028,0.430924437310147,164.037059940138,155.328898915233,38.1607044729743,5.08877364460928,79.0618197820153,65.376914052876,16.7351404913613,5.67160468046332,0.568410636755289,34.0696702022812,1.00000000439103,0.946913457568495,0.232634653745105,0.0310220974992558,0.481975354581642
"23",4,0.560149918010677,0.00311348121122673,12.3643690122939,9.19849529009574,5.13732633652494,35.9249795683568,59.52591813806,7.82744494659564,124.021467124302,0.513463391930986,0.111073966091798,0.14918584049822,0.112121035405494,0.438556796548754,142.278079407863,135.352179119373,33.3434381645446,4.38454264506864,69.4706146412417,73.0545852501874,15.0341033539561,4.97436884767801,0.491599461144641,30.466810211336,1.0000000016387,0.95132138348006,0.234354008417559,0.0308167123881718,0.488273492615363
"24",4,0.47865405819557,0.00239498554709749,11.2680741784855,8.34748186664422,5.0823980041939,35.9887762038532,59.9704714060066,7.76670842857679,125.576090219983,0.662851246719583,0.114980437405948,0.149843801825239,0.112615528079838,0.447680824821316,121.578130928977,116.184621495396,28.7051095103864,3.71756650816002,60.1075051961278,80.5882156601093,13.3589585993852,4.30128274084613,0.418655715488359,26.908977504154,1.00000000121159,0.955637504445896,0.236104218133884,0.0305775922384913,0.494394055984185
"25",4,0.40329475403172,0.00184229657469038,10.212164735097,7.53688039889632,5.02084793530794,36.0512295696718,60.4188618892411,7.69664072810098,127.063374654282,0.857055457944759,0.119535958816157,0.150610467264581,0.113191717633629,0.458502607513527,102.436867488001,98.3183550230288,24.366610044498,3.10401482931,51.2439924276389,87.7940763753554,11.7525788369051,3.66986652445566,0.351348770089855,23.4955041474759,0.99999999964802,0.959794626675197,0.237869534997012,0.0303017351500038,0.500249506512921
"26",4,0.335419832626009,0.00141715121130029,9.20986312469989,6.77487505998027,4.95240874149891,36.1113392744689,60.8680463807101,7.6165860493847,128.466881732603,1.10952093253749,0.124826576360253,0.151498751847061,0.113859310394375,0.471249493374382,85.1966376088797,82.1074668610844,20.41634992929,2.55475401786621,43.090339968735,94.5274528088628,10.2491939818821,3.09305153156026,0.290882530701506,20.3063008795963,1.0000000014305,0.963740697789944,0.239637977876812,0.029986559249546,0.505775124931508
"27",4,0.275726215854245,0.00109011631638484,8.27043531542266,6.06657689606657,4.87692574706458,36.1683345601472,61.3159194951574,7.5260241759146,129.775783852772,1.43772604950804,0.130949527507808,0.152522040578076,0.114628365900293,0.486174629417108,70.034458838709,67.7540830057202,16.9064064540233,2.0751221664525,35.7825857912432,100.69036583561,8.87236515632386,2.57859961120998,0.237867862983925,17.3965853866435,1.0000000001675,0.967439231209142,0.24140125785495,0.0296300164406087,0.510928282884928
"28",4,0.224326860042577,0.00083855101260372,7.39947402183972,5.41445657450836,4.79436805312139,36.2216822611589,61.7611988041219,7.42459093720025,130.984229351368,1.86439270156976,0.13801511963078,0.153694195008827,0.115509301838932,0.50356219540135,56.979022451559,55.319121678273,13.854695800194,1.66553517204271,29.3832808854891,106.231273601266,7.63487519629653,2.12938631810299,0.192384804910838,14.7963094307914,1.00000000001306,0.970868212525506,0.24315432600048,0.0292306729811033,0.515685942328219
"29",4,0.180877993475429,0.0006450392404644,6.59942126290114,4.81886257678475,4.70483990095662,36.2710683251133,62.2032400523441,7.31209366575348,132.090474209228,2.41905934924999,0.146148870254705,0.155029550436743,0.116512891943142,0.523733431291847,45.9430103415077,44.7493202653751,11.2511972483385,1.32259683036589,23.8922599321832,111.138868699313,6.54006260145055,1.74426805128503,0.154099581580763,12.513175275599,0.999999999972763,0.974018026496774,0.24489464587537,0.0287877703376121,0.520041237044206
"30",4,0.144726600977364,0.00049618403112646,5.87020307963355,4.27854526276367,4.60857833924917,36.3163645822266,62.6418428265552,7.18851790587466,133.095947988927,3.1401259912343,0.155493830089892,0.156542998469434,0.117650328042246,0.54705307289917,36.7605566461128,35.9109821073506,9.06594099124558,1.04036976258216,19.2625241562974,115.432779376699,5.58393615016151,1.41920958671654,0.122399843853024,10.537623031497,0.999999999941852,0.976888964195263,0.246621428451005,0.0283012515979317,0.523999795231998
