"","convergence","mu","x_C","x_W","C","AA","NT","ADP","ATP","LIP","RNA","DNA","p","tau tC","tau ATPS","tau ADPS","tau EAA","tau ENT","tau LIPS","tau Maint","tau RNAp","tau DNAp","tau r","v tC","v ATPS","v ADPS","v EAA","v ENT","v LIPS","v Maint","v RNAp","v DNAp","v r","p tC","p ATPS","p ADPS","p EAA","p ENT","p LIPS","p Maint","p RNAp","p DNAp","p r","f tC","f ATPS","f ADPS","f EAA","f ENT","f LIPS","f Maint","f RNAp","f DNAp","f r"
"1",4,0.692806001329781,1,0.001,21.2166926677856,17.8142967966368,7.64178659018828,2.50335751336292,20.2616487638505,27.627016894616,49.5170315456698,7.82750006670475,185.590669533811,0.114724146341748,0.00220721642544632,0.126598032167597,0.142419429554471,0.0134536358416963,0.0281907713847598,0.0154082136155642,0.380353428608362,0.152141371443345,0.11164414936408,289.047966405702,2674.69628477095,15.7717329691637,171.317503486129,182.019892886904,106.334239463495,1884.432323617,34.3056966228761,5.42293902162232,642.891648219183,33.1607811977125,5.90363357282668,1.99667035776895,24.3989411191907,2.44882935484498,2.99764423508771,29.0357357863648,13.0482893313092,0.82505338000325,71.7750911987022,1.2270983161694,11.3549157536721,0.0669559008153342,0.727295966383342,0.772730930607401,0.451421844683267,8,0.145638328075499,0.0230220590197199,2.72927455196781
"2",4,0.688824897060023,0.769230769230769,0.001,21.1267867743095,17.7647038785793,7.60601880894239,2.49615811187049,20.2241662848237,27.8909309723358,49.3852988271513,7.79278895463688,185.713147742558,0.117272442543464,0.00221183356277885,0.126765861655783,0.142599947148348,0.0134793296531681,0.0282332501429368,0.0155025547372201,0.381518909486015,0.152607563794406,0.111890300800049,287.403336807654,2660.14357812852,15.6503251137232,170.298225530529,180.464762476673,106.733153644041,1873.60372000326,34.017823380891,5.36786704948823,639.619199382302,33.7044913025754,5.88379484791529,1.98392694823425,24.2845179601108,2.43254402420376,3.01342382537672,29.0456442252097,12.9784428793654,0.819177113194665,71.567184616372,1.22716808784796,11.3584043401617,0.0668244835196886,0.727147256220146,0.77055680686355,0.455734166214638,8,0.145250878903386,0.0229199675136379,2.73107570209644
"3",4,0.683744292491762,0.591715976331361,0.001,21.0121618903796,17.7014166868453,7.56043276981542,2.48694995995792,20.1763548705696,28.2249391030174,49.2168955391133,7.74850504923886,185.87234447881,0.120575909062193,0.00221778441628593,0.126982061998275,0.142832337038678,0.0135124053154504,0.0282879172473203,0.0156251918976285,0.38302326128003,0.153209304512012,0.112207028206491,285.304197802334,2641.55690586823,15.4959053268739,168.999935099996,178.488250310765,107.214672320087,1859.78447557759,33.651771419032,5.29799610276067,635.445773347245,34.4008130092762,5.85840374056704,1.96770201093651,24.1386556897173,2.41180558224463,3.03287977828919,29.0594893191302,12.8894112367677,0.811702298211313,71.3014818136701,1.22725703563571,11.3628517306463,0.0666567789133152,0.726965677235302,0.767780364465434,0.461191815408781,8,0.144755575115039,0.0227897207330555,2.73341683057074
"4",4,0.67729301355732,0.455166135639508,0.001,20.8667879935029,17.6210526501275,7.50264333119961,2.47522428707223,20.115677836867,28.6446478703854,49.0025693734543,7.69229432509284,186.079102664827,0.124855570456253,0.00222543712696266,0.127259915636843,0.143130739636605,0.0135548749366614,0.0283580839268569,0.0157846118811814,0.384961508332296,0.153984603332918,0.112613493666173,282.638265768487,2617.93204668895,15.3006601785012,167.355283644133,175.991566399837,107.782332657898,1842.23699687591,33.1890978829985,5.209937204612,630.150381019514,35.2889619052904,5.82604317256692,1.94716072350407,23.9536855300785,2.38554367245693,3.05650043534508,29.0789959888394,12.7765251812273,0.802250113841592,70.9634359416772,1.22736983894163,11.3684918981802,0.0664438297762918,0.726748117328817,0.764251577612592,0.468049801803684,8,0.144125204039571,0.0226243950738025,2.73645739212981
"5",4,0.66915212819085,0.350127796645776,0.001,20.6836103601527,17.51962323418,7.42986633129596,2.46037399978368,20.0391545577084,29.1674410173969,48.731280738819,7.62139067815782,186.347259404215,0.130395830407278,0.00223525172091076,0.127615979104171,0.143512712932065,0.0136092375039208,0.0284478548949665,0.0159918483286099,0.387453400736081,0.154981360294432,0.113133465980179,279.273366190368,2588.0821195103,15.0556074175369,165.28587253172,172.861761356907,108.430306837068,1820.09378867911,32.6086402158465,5.09986979206322,623.473326064315,36.416082495029,5.78501501149378,1.92133608159699,23.7206239763705,2.35251676565223,3.08460963511761,29.1066638124014,12.6343285450091,0.790384757698441,70.5356983238462,1.22751197955812,11.3755989305959,0.0661750839926247,0.726493869974346,0.759792764228295,0.476592173486878,8,0.143327296290644,0.0224158549357583,2.7404008735914
"6",4,0.658957318332943,0.269329074342904,0.001,20.4546226367902,17.3925493028809,7.33895193435613,2.44169152431081,19.9433808145216,29.8117571050018,48.3901478786375,7.53263623082896,186.694262876997,0.137562243558646,0.00224779818157602,0.128070701336125,0.143999833973042,0.0136785655612037,0.0285622640206219,0.0162612481899708,0.390648950499361,0.156259580199744,0.113796138500043,275.058337193954,2550.64243801081,14.750807239086,162.703294048976,168.974823879071,109.137086203917,1792.36390586561,31.8870420798415,4.96368577064462,615.117754067857,37.837641973911,5.73332943401133,1.88914622838374,23.4292473299197,2.31133320662272,3.11720227059765,29.146074320026,12.4566395230191,0.775623454764373,69.9980251357415,1.22768969535176,11.3844847228342,0.0658384480553896,0.726206518738839,0.754198735317498,0.487120214134016,8,0.142323964348934,0.0221548124436146,2.74550386583819
"7",4,0.646308113320689,0.207176211033003,0.001,20.1710923796697,17.2347484941395,7.22648012622101,2.41837683131886,19.8246082602234,30.5958524465163,47.9645474656572,7.42255868229328,187.141735607802,0.14682433378629,0.00226377597503648,0.128649078837334,0.14461830738067,0.0137665941287332,0.0287074091321286,0.0166114709710495,0.394734906486585,0.157893962594634,0.114636979742251,269.826748065618,2504.0994673336,14.3758217291349,159.51192511816,164.202067491727,109.857487056368,1757.95806823227,30.9998761788096,4.79725989796507,604.756110321189,39.6171325224556,5.66872021325145,1.84943622298294,23.0683446176206,2.26050321825746,3.15372382715467,29.2022694187627,12.2367332245381,0.757458374886035,69.3274139678924,1.22790982534387,11.3954912239817,0.065420544386889,0.725896381719995,0.747239973280325,0.499932229518241,8,0.141072198428404,0.0218310549479214,2.75208434717356
"8",4,0.630786665104907,0.159366316179233,0.001,19.8239885854763,17.0408194864803,7.08893838359353,2.38955978743263,19.6789041098195,31.536004262242,47.4384351510381,7.28752616085622,187.71582435115,0.158785072333599,0.00228403463743814,0.129381321583075,0.145399541879245,0.013877807186175,0.0288905759488219,0.01706679287221,0.399942306082586,0.159976922433035,0.115698587980697,263.404547849885,2446.85407694011,13.9204927457356,155.614014113635,158.42068017499,110.513838662854,1715.73972908535,29.9235323067187,4.59687432387126,592.043194149402,41.824710183343,5.58869946448793,1.80105174853089,22.6262063621129,2.1985316537712,3.19280844928503,29.2821745789213,11.9676865168859,0.73539380714436,68.4985615866677,1.22817951177387,11.4089755477983,0.0649072467566235,0.725583310688236,0.7386699858466,0.515294187291536,8,0.139524809267759,0.0214339004731065,2.76052682869338
"9",4,0.611988365318485,0.122589473984026,0.001,19.4046437175709,16.8053406277766,6.92299447117092,2.3543418103954,19.5024066273388,32.6442345703882,46.7949443555619,7.12399536487498,188.447098700292,0.174219219258648,0.002309594699337,0.130303499479396,0.14638065058546,0.0140175168294977,0.0291203399414001,0.0176588108248078,0.406555319284005,0.162622127713602,0.117031526164218,255.622614326305,2377.32849839283,13.3760757475862,150.917420620178,151.52883711474,110.988287510028,1664.60835366628,28.6379615013298,4.3598022778863,576.637159413015,44.5343722927833,5.49066529847088,1.74294947921196,22.0913902150612,2.12405802441008,3.23201666180587,29.3950040147875,11.6429155818162,0.709000322840478,67.4847268091047,1.22850573836566,11.4252868821993,0.0642845542286295,0.725299354831587,0.728237782928336,0.533402525659938,8,0.137632189281064,0.0209529275437499,2.77128086323959
"10",4,0.589565261708123,0.0942995953723274,0.001,18.9056429656746,16.5232860502875,6.72586196707236,2.31185902565189,19.2916805629165,33.925811127589,46.0173005828101,6.92885634845873,189.369701620489,0.19412348467415,0.0023416686411792,0.13145813489222,0.147604834262133,0.0141919307086843,0.0294066353895022,0.0184286711500548,0.414921703503991,0.165968681401596,0.118695120173751,246.334634466901,2294.12226690943,12.7366964713562,145.345976114893,143.4648081132,111.119331756096,1603.61751184609,27.1302018612058,4.08501300641706,558.228988477363,47.8193376386478,5.37207417145274,1.6743423628128,21.4537687151067,2.03604261587723,3.26764567367666,29.5525397762808,11.2569095726587,0.677984222183411,66.2590568717919,1.22889470910464,11.4447354183276,0.0635398223193191,0.725090490924209,0.715705869028792,0.554343319078252,8,0.135345001714147,0.0203789892601727,2.78484855324248
