"","convergence","mu","x_C","x_P","x_N","x_Ace","x_H2O","C","P","N","W","H2O","ADP","ATP","AA","NT","Lip","DNA","tRNA","mRNA","rRNA","TC","P","tau tC","tau tP","tau tN","tau tAce","tau tH2O","tau Res","tau Fer","tau NTS","tau AAS","tau LipS","tau Deg","tau DNAp","tau tRNAp","tau mRNAp","tau rRNAp","tau tRNAc","tau r","v tC","v tP","v tN","v tAce","v tH2O","v Res","v Fer","v NTS","v AAS","v LipS","v Deg","v DNAp","v tRNAp","v mRNAp","v rRNAp","v tRNAc","v r","p tC","p tP","p tN","p tAce","p tH2O","p Res","p Fer","p NTS","p AAS","p LipS","p Deg","p DNAp","p tRNAp","p mRNAp","p rRNAp","p tRNAc","p r","f tC","f tP","f tN","f tAce","f tH2O","f Res","f Fer","f NTS","f AAS","f LipS","f Deg","f DNAp","f tRNAp","f mRNAp","f rRNAp","f tRNAc","f r"
"1",4,0.19314917347246,5,1,1,1,1000,13.391364440504,8.10332927093404,4.09982406977159,0.582050214688799,770.000000000001,0.834384670788545,3.09613140815756,9.82544021637522,2.38370136705253,55.0000000000005,3.6115617033694,5.81727910740298,12.1664082905795,36.57846277558,23.1860156665547,151.324050127664,0.0244897959183673,0.133333333333333,0.133333333333333,0.0297349793499126,0.00876851758540765,0.267604056709835,0.166202604296671,0.0667565103598605,0.105192327346843,0.0356660548334187,0.005180565312655,0.0583720840634622,0.0608014585384051,0.0382142255575785,0.0495078420479918,0.429973039263134,2.28079005993268,76.8747746763001,4.13887947020882,4.01326865362076,21.2876949111423,148.724863573795,7.67760928760942e-19,142.66744952686,95.1304344258214,75.2231733085543,10.6232045409854,87.6313913932752,0.697570157950591,35.2909969011455,11.1130708447814,77.1702129666166,41.5110993020678,36.5351440108294,1.88264754309306,0.551850596027843,0.535102487149435,0.632989168590056,1.30409658163417,2.05455939119739e-19,23.7117016597279,6.35057583128537,7.91290067074176,0.378887795665409,0.453980146551696,0.0407186239000545,2.14574408486398,0.424677395899827,3.82053071436114,17.8486535300638,83.3289932981088,0.361824788272267,0.0194803717383048,0.0188891621079929,0.100194319091816,0.700000000000001,3.61360324843058e-21,0.671489704337496,0.447748295059176,0.354051232932286,0.0500000000000004,0.412452716386967,0.003283237912154,0.166103348405792,0.0523056428119508,0.363215321087374,0.195379365717351,0.171959147872346
"2",4,0.192994597357816,3.75657400450789,1,1,1,1000,13.3867533713334,8.10222481989176,4.09938049227548,0.581981460578704,770,0.834510547016407,3.09686031212158,9.82269609838625,2.38379938610903,55.0000000000004,3.61182957645998,5.81613729965375,12.1646507408751,36.5722836137024,23.1792531984656,151.347642676739,0.0260165608498223,0.133333333333333,0.133333333333333,0.0297375299292908,0.00876851758540764,0.2676058637236,0.166203376589988,0.0667606588891946,0.105201010177548,0.0356698713041152,0.00518088652093793,0.0583672782937779,0.0607967525766254,0.0382116790192823,0.0495042157979539,0.430015590468043,2.28091691380122,76.8139453579357,4.13553756921204,4.0100456682285,21.2713107737497,148.605839965519,1.16402281184374e-14,142.557533676025,95.0561440192748,75.1648330902926,10.61470285468,87.6397798339799,0.697063594833947,35.2727851311613,11.1116898551316,77.1700770176663,41.4821196305291,36.5115966993149,1.99843468351966,0.551405009228272,0.5346727557638,0.632556240769627,1.30305292103192,3.11499329957417e-15,23.6935434552964,6.34601080619297,7.9074163709256,0.378625084757859,0.454051754039834,0.0406857048281342,2.14447079030768,0.424596326106106,3.82024414582727,17.837958166788,83.279918461356,0.361828053076725,0.0194802323994813,0.0188891093944307,0.10019739160372,0.7,5.48306828641244e-17,0.671509771058608,0.44775697125316,0.354059996399962,0.0500000000000003,0.412822577484307,0.00328348143314544,0.166150600794303,0.0523410311492263,0.363505592545357,0.195399344656361,0.171985957587204
"3",4,0.192786087523965,2.82236965026889,1,1,1,1000,13.3805284858012,8.10073226276229,4.09878181355184,0.581889491397863,770.000000000001,0.834680917303279,3.09784514862764,9.81898909871949,2.38393591176527,55,3.61217436300504,5.81458786047692,12.1622761548819,36.5639327475214,23.1701279247693,151.379515911349,0.028081194997831,0.133333333333333,0.133333333333333,0.0297409427518578,0.00876851758540765,0.267608233782763,0.1662043759717,0.0667662668693364,0.105212739202071,0.0356750278260378,0.00518132160564874,0.0583609220268573,0.0607905492794118,0.0382083528061704,0.0494994510427911,0.43007339433941,2.28108851930532,76.7318892757292,4.13102962360934,4.00569820121984,21.2492085854989,148.445287393453,2.46135108871131e-15,142.409258559446,94.9559246078141,75.0861348873609,10.6032348138181,87.649721321318,0.69637696289811,35.2480809147744,11.1096897674175,77.1687945959384,41.4430288770492,36.4798307547759,2.15472314530373,0.550803949814578,0.534093093495978,0.63197149606361,1.30164511298038,6.58677817569316e-16,23.6690419514652,6.33985260318991,7.90001792759544,0.378270697028971,0.454141394811236,0.0406412016329963,2.14275019985429,0.424482946200588,3.81981297013286,17.8235441008588,83.2137231209203,0.361832453128987,0.0194800440438507,0.0188890384470202,0.100201537354464,0.700000000000001,1.1606604644385e-17,0.671536852007932,0.447768658693045,0.354071829049326,0.05,0.413315949615176,0.00328379487545913,0.166213808963465,0.0523882096477739,0.363892698553524,0.195426346792966,0.172022177171987
"4",4,0.192503226676654,2.12048809186242,1,1,1,1000,13.3720766800464,8.09870348363633,4.09796661824816,0.581762938367672,770.000000000001,0.834911105576289,3.09918358859577,9.8139574352762,2.38411388567951,55.0000000000002,3.61266885756761,5.81249497454718,12.1590492412093,36.5525848533054,23.157733917736,151.422799975436,0.0308884581347476,0.133333333333333,0.133333333333333,0.0297456408531053,0.00876851758540765,0.26761186148061,0.166205984777769,0.066773892348413,0.105228708195982,0.0356820370494798,0.00518191155679969,0.0583521037327922,0.0607819080703656,0.0382036679510281,0.0494927880106968,0.430151549816915,2.28132228389347,76.6205773706293,4.1249139675377,3.99980032872657,21.2192254091921,148.227484541024,1.47571291832641e-14,142.208111013259,94.8199730701432,74.9793745639066,10.587677467216,87.6654535877723,0.695450411996024,35.2147880884926,11.1072015710303,77.1688533978513,41.3899869864768,36.4367219846062,2.36669149637287,0.549988529005027,0.533306710496876,0.631179458202915,1.29973530483871,3.94918281084314e-15,23.635839134345,6.33149867426516,7.88998272670254,0.377789899653143,0.454274627078564,0.0405809945818051,2.14042201231216,0.424335840684781,3.8193017022484,17.8039670491349,83.1239058155132,0.361838456110322,0.0194797866685599,0.0188889411351625,0.100207177045656,0.700000000000001,6.96901148951628e-17,0.671573682961144,0.447784574868979,0.354087923418877,0.0500000000000002,0.413997563956886,0.00328424441597055,0.166300816196625,0.0524534375240607,0.364427673759423,0.195463014030406,0.17207136360845
"5",4,0.192117239720517,1.59315408855178,1,1,1,1000,13.3605270484526,8.09593375712687,4.0968523164039,0.581588771364079,770,0.835226901062009,3.10101301045575,9.80708192142441,2.38435353834627,55,3.6133385417673,5.80962905252855,12.1546320167816,36.5370497505149,23.1407978493306,151.481979076189,0.0347339113683424,0.133333333333333,0.133333333333333,0.0297521102130441,0.00876851758540764,0.267616580335273,0.166208035458251,0.0667843457890477,0.105250584693336,0.0356916302482754,0.0051827199515681,0.0583401882613918,0.0607702290412897,0.0381973319948768,0.0494837805180832,0.430258844427375,2.28164429883062,76.4686744807226,4.11656962164087,3.99175216274332,21.1783064749843,147.930274584798,1.78540181673109e-18,141.933598029275,94.6344328580553,74.8336810120157,10.5664481846284,87.6865172954575,0.694184626820091,35.1693089985795,11.1037660824284,77.1686109819661,41.3175926180023,36.377874609398,2.65605616186804,0.548875949552116,0.532233621699109,0.63009930836936,1.29712921411098,4.77803128717958e-19,23.5905044939669,6.32009868754279,7.87628868126923,0.377133761643318,0.454454662670689,0.0404988618168481,2.13724696306757,0.424134239443971,3.81859460871696,17.7772596543427,83.0013702061081,0.361846635428382,0.019479438831818,0.0188888077289317,0.100214878760271,0.7,8.44844826537083e-21,0.671623972167647,0.4478062599868,0.354109913305023,0.05,0.414929008136432,0.00328485321978846,0.166419729619941,0.0525425662834447,0.365158706282341,0.19551315586873,0.172138612586578
"6",4,0.191585930055043,1.19696024684582,1,1,1,1000,13.3445964010992,8.09210526889497,4.09531260667086,0.581349669300521,770.000000000001,0.835662500018837,3.10354005177875,9.79759459114763,2.38469162131235,55.0000000000005,3.614252155429,5.80566256290979,12.1485265736249,36.5155790046879,23.1174523511244,151.563678287577,0.0400554213913024,0.133333333333333,0.133333333333333,0.0297609984660805,0.00876851758540765,0.267623414945834,0.166211062260274,0.0667988146918926,0.105280861712957,0.0357048906564501,0.0051838392700467,0.0583237559708127,0.0607541454295477,0.0381886394722202,0.049471392450884,0.430407723727919,2.28209125272379,76.2595776881982,4.10508318252774,3.98067387215222,21.1219771262729,147.521166142383,1.45277530674213e-14,141.555703622354,94.379017315343,74.6331268619122,10.5372261530274,87.714883673081,0.692439860651307,35.1066339699591,11.0989751297144,77.1677781035763,41.217922677659,36.2968353341109,3.05460951942354,0.547344424337032,0.530756516286962,0.628611128855596,1.29354193953933,3.8879668873931e-15,23.5281238680719,6.30440648845052,7.85743990835457,0.376230507616131,0.454699858552095,0.0403856934570904,2.1328735457528,0.423854759739802,3.81759743512475,17.7405122764846,82.8326904175302,0.361857933865682,0.0194789554808423,0.0188886231269155,0.10022550915928,0.700000000000001,6.89353766182926e-17,0.671693392390959,0.447836156995776,0.354140291657639,0.0500000000000004,0.416214297763176,0.00328568377766272,0.166583849772803,0.0526655448432493,0.366167419123893,0.195582414570352,0.172231452599519
"7",-1,0.19086864993822,0.899293949546068,1,1,1,1000,13.3445964010992,8.09210526889497,4.09531260667086,0.581349669300521,770.000000000001,0.835662500018837,3.10354005177875,9.79759459114763,2.38469162131235,55.0000000000005,3.614252155429,5.80566256290979,12.1485265736249,36.5155790046879,23.1174523511244,151.563678287577,0.0475242919235084,0.133333333333333,0.133333333333333,0.0297609984660805,0.00876851758540765,0.267623414945834,0.166211062260274,0.0667988146918926,0.105280861712957,0.0357048906564501,0.0051838392700467,0.0583237559708127,0.0607541454295477,0.0381886394722202,0.049471392450884,0.430407723727919,2.28209125272379,75.9740688370142,4.08971412831857,3.96577059496882,21.0428983848627,146.96886045243,1.44733624949279e-14,141.025732075894,94.0256709472349,74.3537072931633,10.4977757466022,87.3864872089459,0.689847429443035,34.9751979584108,11.057421586741,76.8788690334939,41.0636065627704,36.1609433180257,3.61061382602699,0.545295217109143,0.528769412662509,0.626257666553787,1.28869903738445,3.87341069664156e-15,23.4400367343671,6.28080336988522,7.82802237537721,0.374821935168366,0.452997504065167,0.040234493131928,2.12488826319251,0.422267886468395,3.80330470113609,17.6740934287408,82.5225724363072,0.361857933865682,0.0194789554808423,0.0188886231269155,0.10022550915928,0.700000000000001,6.89353766182926e-17,0.671693392390959,0.447836156995776,0.354140291657639,0.0500000000000004,0.416214297763176,0.00328568377766272,0.166583849772803,0.0526655448432493,0.366167419123893,0.195582414570352,0.172231452599519
"8",4,0.189796671425327,0.675652854655197,1,1,1,1000,13.2889572230794,8.07803442869173,4.08957108666925,0.580403483884318,770,0.837178427318228,3.11219701619558,9.76531358735694,2.38587655413204,55.0000000000003,3.61724352929299,5.79177947927864,12.1273390953526,36.4424507877344,23.039878003914,151.843776326177,0.0582174774642219,0.133333333333333,0.133333333333333,0.0297962500606238,0.00876851758540764,0.267657782521691,0.16622802548998,0.0668503009281197,0.105392955025269,0.0357514629693078,0.00518773595612957,0.0582687277307286,0.0607004409456244,0.0381598422759222,0.0494301416107733,0.430928542408819,2.28358066838917,75.5559171117765,4.06623131840877,3.9433123822019,20.932559426307,146.143436997502,7.43340449410078e-15,140.28478717088,93.5198409330238,73.9587265956739,10.4388169283931,87.8092974428029,0.686540781594613,34.8959110465215,11.0826583378245,77.1640938123356,40.883073215521,36.0243041542004,4.39867490174347,0.542164175787836,0.525774984293586,0.623711775075112,1.28146129730451,1.98960856347779e-15,23.3192631776974,6.25182950912253,7.79472874582406,0.373202976858828,0.455531449626505,0.0400038578787781,2.11819718772314,0.422912494169316,3.81423208441075,17.6176831499575,82.2644045587038,0.361898851326095,0.0194764950199905,0.0188877360780047,0.100263083306747,0.7,3.56046309897549e-17,0.671938152250341,0.447942719824193,0.354248604525817,0.0500000000000003,0.420590273999185,0.00328840320844817,0.167144951798161,0.0530838811229663,0.36960171991547,0.195822349869559,0.172549745825201
"9",4,0.188273958984029,0.507627989973852,1,1,1,1000,13.2429444836233,8.06699179262797,4.08523535262097,0.579750883802992,770,0.838436522581009,3.11954544752204,9.73840160051338,2.38681973579788,55.0000000000006,3.62007519545349,5.77961286475421,12.1091268512328,36.3800411202818,22.9725743540212,152.080442423045,0.0739707786048039,0.133333333333333,0.133333333333333,0.0298206370598616,0.00876851758540764,0.26768204074583,0.166239518908564,0.0668927452189244,0.105480666807382,0.0357902847867469,0.00519112605707778,0.0582196779236213,0.060652219816196,0.0381334711700758,0.0493928454931359,0.431379665578827,2.28493263776495,74.9564394850843,4.03333401041069,3.91159606414218,20.7709633532424,144.970948417702,7.92211040403552e-15,139.200768982403,92.7869902350292,73.383781901007,10.3550677441217,87.888495078037,0.681565888867909,34.7155861877187,11.0686827599251,77.1602104321468,40.5966920812162,35.7909837237867,5.54458619015556,0.537777868054759,0.521546141885624,0.619403359540726,1.27118031057385,2.120606679966e-15,23.1406688673369,6.20677649742263,7.74057024776571,0.370610823548172,0.45624025691695,0.0396805465336163,2.10557736450561,0.422087294916319,3.81116235209288,17.5125874536016,81.7799868481946,0.361931188367339,0.0194751695984817,0.0188873513954688,0.100293710608672,0.7,3.82523349909169e-17,0.672138379111162,0.448026959010978,0.354337526872608,0.0500000000000006,0.424374312413021,0.00329097745041226,0.167626069889433,0.0534457283787865,0.372572214585219,0.19602330513126,0.172818684571643
"10",4,0.185984888943356,0.381388422219273,1,1,1,1000,13.1733569128639,8.05016344819424,4.07839776096221,0.578660324427968,770.000000000001,0.84036342025236,3.130825969833,9.69598398942739,2.3881989334249,55.0000000000001,3.62374163115678,5.76309531510796,12.0827993874288,36.2822275775818,22.8677585177317,152.444426842986,0.0981837426944895,0.133333333333333,0.133333333333333,0.0298615245268527,0.00876851758540765,0.267717940703823,0.166256368561503,0.0669584372375003,0.105616961703672,0.035849532680677,0.00519599157080594,0.0581536875025248,0.0605876711147002,0.0380986457972222,0.0493431584559612,0.432034164087464,2.28711305869263,74.0552545062219,3.98389472219734,3.86385517420727,20.5279910454829,143.208364486384,1.93014633838011e-15,137.570754144384,91.6855035632384,72.5187860432547,10.2291688918846,88.0164419179316,0.673961184830109,34.4456963143884,11.048862293989,77.1610996009794,40.1660692214261,35.4404497455329,7.27102205361382,0.531185962959645,0.515180689894303,0.612997108091702,1.25572506237633,5.16734802968147e-16,22.8720140043126,6.13911803592772,7.6592138483272,0.366710924485781,0.457332690297903,0.0391933281314415,2.08698451961301,0.420946691000969,3.80737236424733,17.353114140758,81.0563154189484,0.361980798679424,0.0194732082552572,0.0188864570281594,0.100340463934314,0.700000000000001,9.43452180123552e-18,0.672443458498017,0.448157150069045,0.354470567500299,0.0500000000000001,0.430222840429198,0.00329431057377889,0.168369965724763,0.0540066471224005,0.377162115595706,0.196331049208173,0.173232303230666
