"","convergence","mu","x_C","x_W","C","I","AA","NT","NAD","NADH","ADP","ATP","rRNA","DNA","p","tau tC","tau GLY","tau FERM","tau RESP","tau NADS","tau ADPS","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v GLY","v FERM","v RESP","v NADS","v ADPS","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p GLY","p FERM","p RESP","p NADS","p ADPS","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f GLY","f FERM","f RESP","f NADS","f ADPS","f EAA","f ENT","f RNAp","f DNAp","f r"
"1",4,1.0250497725435,1,0.001,5.13489489284573,16.3125301809688,18.1515044139097,5.36025106440445,3.6451980205974,4.37964163885811,2.72701659212214,21.0683678191094,36.4085186868059,7.8903709948029,132.921708124211,0.0100917431192661,0.00217233841834698,0.0016525236153859,0.00162141372238023,0.0138593226807876,0.0304245750182738,0.160372162449114,0.0100264981343738,0.298013445713893,0.137544667252566,0.103418606345225,968.63488417389,1926.74272266389,838.854705271411,577.689773645324,8.22586006762293,24.3914533783181,192.504834301979,221.45454207272,37.3205437985562,8.08802299350654,681.256833394082,9.77521442744292,4.18553723871322,1.38622721033858,0.936674126267256,0.114004849004192,0.742099603113365,30.8724165589167,2.22041355294073,11.122023853324,1.11246443137296,70.4546322727773,3.72032975196538,7.40022726068002,3.22187045767922,2.21878902712843,0.0315938569269902,0.0936826157922502,0.739371949278517,0.850561893900473,0.143340624751204,0.0310644527354445,2.61656905756321
"2",4,1.02299850637514,0.769230769230769,0.001,5.12978616437861,16.2926842326649,18.1464793058034,5.35116968374488,3.64208106144238,4.37724855777143,2.72400704857044,21.0417402440505,36.3881939587366,7.87895866079999,133.027651390158,0.0103669724770642,0.00217398944740897,0.00165326578268738,0.00162165165007541,0.0138611664343132,0.0304326930999954,0.160393497311338,0.0100296893670039,0.298238215534334,0.137648407169693,0.103458246379677,966.965325072491,1923.43512297662,837.390302949803,576.857105326193,8.20376222258565,24.3123239832402,192.186806698697,220.799392906875,37.2250680694764,8.06016294178987,680.435443393621,10.024502911302,4.18152766012694,1.38442873462113,0.935461276709945,0.113713713554791,0.739889494329607,30.8255140635021,2.21454932327899,11.1019378741848,1.10946859046556,70.3966577480819,3.72136427862443,7.40233654020651,3.22269504382721,2.2200335109955,0.0315721638551725,0.093565934222917,0.739630572810678,0.849746058312904,0.143260606136758,0.0310195222866141,2.61865455492436
"3",4,1.02034568381081,0.591715976331361,0.001,5.12318561061677,16.2670305665742,18.1399522121942,5.33943682418554,3.6380493600733,4.37415202839862,2.72011581168115,21.0073328756189,36.3618298869495,7.86419763695295,133.164719562113,0.0107247706422018,0.00217612993954096,0.00165422767235962,0.00162195995193131,0.0138635564100453,0.0304432222930924,0.16042115274481,0.0100338273178341,0.298529964189805,0.137783060395294,0.103509699390693,964.804737555345,1919.15463446038,835.49531295961,575.778549927815,8.17521510455033,24.210199855929,191.775122520116,219.953257263469,37.1016361806119,8.02420011550014,679.370234205397,10.3473095247908,4.17632985865802,1.38209946682455,0.933889749163998,0.113337555766188,0.73703649597424,30.7647862224541,2.20697300137678,11.0759501203812,1.10559884913788,70.3214087175852,3.72270291226848,7.40506578035888,3.22376198382109,2.22164382201227,0.0315440999546139,0.0934151523122043,0.739965072015752,0.848690516852569,0.143156810578541,0.0309614080194998,2.62135274728569
"4",4,1.01692013084004,0.455166135639508,0.001,5.11466575715452,16.2339211452398,18.131476367166,5.32430558444374,3.63284428180304,4.37014846909377,2.71509198164947,20.9629522228087,36.3276546125766,7.84513377333607,133.341807875353,0.0111899082568807,0.00217890350440468,0.00165547376547423,0.00162235925381305,0.0138666521527093,0.0304568697420746,0.160456974909922,0.0100391890019407,0.29890848192388,0.137957760887945,0.103576454862449,962.012437280995,1913.62246142005,833.046447534097,574.382996349834,8.13840443535387,24.0786798104339,191.242867574158,218.862562020501,36.9423232817331,7.97787446323853,677.989843555254,10.7648309151526,4.16959868729566,1.3790865393142,0.931855569361021,0.112852423383119,0.733361214547508,30.6862520040482,2.19720262557277,11.0423737708841,1.1006096975935,70.2237844282,3.72443265268796,7.40859234665817,3.22514062205981,2.22372466701199,0.0315078454759717,0.093220646474245,0.740397060354039,0.847326750518928,0.143022262254238,0.030886353438331,2.62483873770379
"5",4,1.01250549798331,0.350127796645776,0.001,5.10369465366172,16.1912806190183,18.1204740942144,5.30483719174583,3.62613680622169,4.36498144979226,2.70861913483609,20.9058372287502,36.2833921090127,7.82056006329757,133.57018877653,0.0117945871559633,0.00218249365877677,0.00165708615291963,0.00162287577015606,0.0138706577095643,0.0304745435632952,0.160503324924958,0.0100461295923208,0.299399288911991,0.13818428719015,0.103663013011239,958.409981407917,1906.48492502211,829.887367464309,572.57979806864,8.09105116924894,23.9097669000181,190.555849039275,217.460111117131,36.7371339958597,7.91836006139752,676.20275251453,11.3040500568609,4.16089125941426,1.37519486510803,0.929225880766445,0.112228201279222,0.728639232982836,30.584847354702,2.18463245744317,10.9990717950249,1.09419294079917,70.0972147321495,3.72666385600253,7.41314113992898,3.22691887279711,2.22640882245928,0.0314610954961179,0.0929703006440404,0.740953880844748,0.845567921811514,0.142848000429184,0.0307896065484156,2.62933442473485
"6",4,1.00683062884432,0.269329074342904,0.001,5.08960477139582,16.1365131388519,18.1061993042386,5.27986300533652,3.61751537659195,4.35832653063554,2.70030102136666,20.8325474250071,36.226129561656,7.78896195816981,133.864039257405,0.0125806697247706,0.0021871351216002,0.00165916978188965,0.00162354297692516,0.0138758335018706,0.0304974065007391,0.160563216235931,0.0100551030986014,0.300035227472015,0.138477797294776,0.103775163293219,953.772665151306,1897.2965903575,825.821285337085,570.25408279285,8.03032192301673,23.6935925997606,189.670922188232,215.662537244653,36.4735768071579,7.8421654663886,673.89207412587,11.9990988927828,4.14964400886322,1.37017772187256,0.925832011181232,0.111427409970201,0.722593124977803,30.4541732929775,2.16850904650094,10.9433579140536,1.08596579980666,69.9332600344186,3.72953542050248,7.41899521288373,3.22920738578825,2.22986344458162,0.0314009523906594,0.0926490096313927,0.741669842706346,0.843304805135896,0.142622557329354,0.0306652045597237,2.63511888301979
"7",4,0.999559468704517,0.207176211033003,0.001,5.07157366856662,16.0664120917609,18.0876913419219,5.24794779259629,3.60646925041141,4.34977860292996,2.68964616727838,20.7388499783253,36.1521575846446,7.74845933774936,134.241016029581,0.0136025770642202,0.0021931263492679,0.0016618576794469,0.00162440322719033,0.0138825098793538,0.0305269404127388,0.160640471461095,0.0100666868687262,0.30085843731347,0.138857740298525,0.103920330665428,947.820291663059,1885.50190436282,820.602941869866,567.261427664453,7.95274287716734,23.4181751598453,188.53414600568,213.367907041031,36.1362314278293,7.7450458989193,670.909393304411,12.8927985603784,4.13514390805291,1.36372530072315,0.92146129375873,0.110404031560237,0.714885237679676,30.2862141008673,2.14790790801753,10.8718901177746,1.07545957203229,69.7211259987358,3.73322055191543,7.42650745289726,3.23214410421157,2.2342969850857,0.0313238104462258,0.0922381738015887,0.742587550400785,0.840401353179641,0.142331329073404,0.0305057454242101,2.64253968562167
"8",4,0.990281596974072,0.159366316179233,0.001,5.04859871407743,15.9770735373328,18.0637169925134,5.20735841990501,3.59237435490086,4.33883570163644,2.67605576910811,20.6196220522819,36.0567829782595,7.69675071549217,134.722832789106,0.0149310566055046,0.00220084455882129,0.00166531777501013,0.0016255098725089,0.0138911033334516,0.0305650242547975,0.160739910001368,0.010081610919603,0.301922803074713,0.139348986034483,0.104108001555715,940.207882192957,1870.4166955918,813.93058459751,563.4221245157,7.85413136072458,23.0692810355595,187.078884247474,210.453974903373,35.7063686294584,7.62195059004892,667.067710016336,14.0382971099646,4.11649640722171,1.35545307015462,0.915848225790211,0.109102550326328,0.705113134392616,30.0710430170954,2.12171509145969,10.7805669042251,1.06211108632825,69.4470861921479,3.73793257061028,7.43611239544042,3.23589889002707,2.23996623525164,0.0312252364430602,0.0917152670133461,0.74375919192576,0.836690249363671,0.141955838497085,0.030302168171229,2.65202426750209
"9",4,0.978505439785457,0.122589473984026,0.001,5.01948119047916,15.8638292948638,18.0326940178498,5.15604980132127,3.57447856138331,4.32487878756908,2.65881175427338,20.4688008246677,35.9341208872742,7.63106929153752,135.335786519465,0.0166580800091743,0.0022107639196762,0.00166976173104277,0.00162693002146389,0.0139021353739056,0.0306140236974942,0.160867566469479,0.0101007920670403,0.303296931602464,0.139983199201137,0.10435023572194,930.517939103546,1851.21269890752,805.439365023399,558.515747951323,7.72956413675914,22.6304947177444,185.224139033091,206.777920798227,35.161732762106,7.46704281314921,662.134016534697,15.5006422795588,4.09259424239115,1.34489182839146,0.908666037802364,0.107457447010511,0.692810501575045,29.7965564976578,2.08862078203781,10.6644456565726,1.04526054155649,69.0938407049107,3.74393059477197,7.44833771560315,3.24067807209598,2.24718311011973,0.0310998320824897,0.0910535928304768,0.745247664633274,0.831969112541386,0.141472916879032,0.030043579887943,2.66409028581623
"10",4,0.963657334291959,0.0942995953723274,0.001,4.98284524580866,15.7212928919439,17.9926466969541,5.09168008113946,3.55191194570913,4.30719889824067,2.63707512571565,20.2793933936184,35.7768672427208,7.54817015076519,136.110918561322,0.018903210433945,0.00222346991775845,0.00167544374883244,0.00162874365845026,0.0139162469162961,0.0306768930231899,0.161030857174284,0.0101253661932564,0.305067695367543,0.14080047478502,0.104662269120954,918.255747620501,1826.90798450747,794.697438553356,552.276130416459,7.57348980578569,22.083622964727,182.873404832423,202.178670180857,34.4766405164376,7.27384952626852,655.821424744166,17.3579816294498,4.06207494606509,1.33147085563737,0.899516245129256,0.105394554155365,0.677456939253391,29.4482611345449,2.04713307204679,10.5177092663649,1.0241614668134,68.6397584518616,3.75152035904792,7.46380571616033,3.24672470359344,2.25631601266036,0.0309413812753929,0.0902223170052521,0.747126607304156,0.825997985108378,0.140853808042208,0.0297172053179732,2.6793487905772
