"","convergence","mu","x_C","x_W","x_CO2","C","AA","NT","ADP","ATP","CI","W","CO2","LIP","rRNA","mRNA","tRNA","DNA","TC","p","tau tC","tau tW","tau tCO2","tau GLY","tau RES","tau FER","tau ADPS","tau EAA","tau ENT","tau LIPS","tau Maint","tau rRNAp","tau mRNAp","tau tRNAp","tau rRNase","tau mRNase","tau tRNAse","tau DNAp","tau tRNAc","tau r","v tC","v tW","v tCO2","v GLY","v RES","v FER","v ADPS","v EAA","v ENT","v LIPS","v Maint","v rRNAp","v mRNAp","v tRNAp","v rRNase","v mRNase","v tRNAse","v DNAp","v tRNAc","v r","p tC","p tW","p tCO2","p GLY","p RES","p FER","p ADPS","p EAA","p ENT","p LIPS","p Maint","p rRNAp","p mRNAp","p tRNAp","p rRNase","p mRNase","p tRNAse","p DNAp","p tRNAc","p r","f tC","f tW","f tCO2","f GLY","f RES","f FER","f ADPS","f EAA","f ENT","f LIPS","f Maint","f rRNAp","f mRNAp","f tRNAp","f rRNase","f mRNase","f tRNAse","f DNAp","f tRNAc","f r"
"1",-1,0.434748003152257,0.8,0.01,0.001,2.47390944717793,5.03886805979317,8.60255640958321,3.19041486711171,11.5119484616828,40.2060512345918,4.74345035053235,2.58036302713956e-08,28.4428016993379,41.5672990830707,9.63261526758213,0.81699904643429,5.17220867433532,6.50011192296148,172.100836878445,0.08828516630325,0.0223822149618191,-2.23054045018427,0.00729307464804453,0.259668110201664,0.0090682457307065,0.46247936033344,0.187296811093554,0.076094276871841,0.11135611227697,0.145087196875385,0.202647664726081,1.54787617810075,1.54787617810075,0.112028686275737,0.110381396663536,0.748872018630683,1.54787617810075,0.000287101939670592,0.00643389698507251,322.413582443942,174.59923025884,5.99608641965386e-08,1272.37262196241,3.55894704655535e-06,176.661435826786,6.39182309881233,95.9362735255976,113.146072434257,68.6969513491265,132.852836225739,19.6078848933716,5.7471138123563,3.38116981722229,1.53658462057399,1.55935355964103,0.229816862630655,2.24860739305406,7485.02416019339,7482.04951737363,28.46433674449,3.9079175038215,-1.33745133018385e-07,9.2795085121,9.24145053886822e-07,1.60200931121673,2.95608625810323,17.9685580995434,8.60976856277374,7.64982542751886,19.2752456049371,3.97349208385957,8.89582056298013,5.23363221419167,0.172141556394406,0.172123623805433,0.172103417833589,3.48056581760963,2.14896495487277,48.1387358319934,2.18120666594546,1.18120645545615,4.05649897532095e-10,8.6079116876953,2.40771463871041e-08,1.19515778001654,0.0432422450846894,0.649032332117659,0.765460826893235,0.464751661753887,0.898781899226369,0.132652132426678,0.0388806292291932,0.0228744399913771,0.0103953704176468,0.0105494078539516,0.0015547672307007,0.0152123784539274,50.6380173850627,50.6178931995426
"2",-1,0.429132316506445,0.727272727272727,0.01,0.001,2.35398440441845,5.04383784887786,8.54371607819531,3.2296474848221,11.4165302642504,40.3796094943947,4.71897341912786,4.87167649043074e-05,28.8851933213442,41.3409695192111,9.61785587730763,0.815006588533151,5.15910419268479,6.51892105115692,171.976601741067,0.0915195030818573,0.0222323912020572,-2.21287925533277,0.00742010763317828,0.257324866769855,0.00904934899945714,0.464623128499204,0.189903373635441,0.0773004251569605,0.111499360907921,0.145807678548343,0.202969565251267,1.5500834784601,1.5500834784601,0.112094539770473,0.110397327769897,0.746848517947069,1.5500834784601,0.00028803596824836,0.00646339868432451,318.296402284978,172.391392116136,2.25557257197364e-05,1257.12708067681,0.00217308319479109,174.416456111019,6.28514818542466,94.5703025559999,111.231521503755,68.8642773484718,132.101280663214,19.2754387500828,5.68518333899951,3.34806336243489,1.5346927336814,1.55785056654535,0.230285159975226,2.21393833330494,7383.0164644701,7380.07174900504,29.1303285698641,3.83267286939318,-4.99130975341807e-05,9.32801824720516,0.000559188343579428,1.57835538259711,2.9202252129931,17.9592195011088,8.59824390309584,7.67832291374041,19.2613810667663,3.91232742313172,8.81250876579976,5.18977770294789,0.172030675671106,0.171982539611428,0.171988130432702,3.43178923278547,2.12657429593723,47.7003460327397,2.181532019529,1.18153186493079,1.54591875773901e-07,8.61606653240806,1.48938239216814e-05,1.19541119851646,0.0430769933796252,0.648163603614178,0.762355854478416,0.471980283028499,0.905392494287671,0.132109525969846,0.0389649691353284,0.0229468739707095,0.0105184391486365,0.0106771577314824,0.00157832274101084,0.0151738358608376,50.60153587137,50.581353453255
"3",-1,0.423294668724549,0.661157024793388,0.01,0.001,2.24251902656098,5.08155790965906,8.57130172133618,3.29922303868772,11.3835194461872,40.886864849743,4.6883408836348,7.27316622704104e-09,29.6235838431228,41.2970257896509,9.5982985986335,0.810781970204602,5.15931194708749,6.50614666683524,170.851525917022,0.0945826633124399,0.0219778844405511,-2.18149125222485,0.00753559190633829,0.253291246235121,0.00899510676521162,0.466288909467652,0.19190188475174,0.0783895336711896,0.111171641905642,0.146551710687881,0.202709838509639,1.54954332104987,1.54954332104987,0.112107409442675,0.11041851313255,0.751920128334163,1.54954332104987,0.000288553330582115,0.00647978654378562,312.909678606078,168.989490545351,1.04878743213054e-08,1236.15396274001,6.78328340497966e-07,170.974040246557,6.21512661610281,92.8201105336254,109.698110435965,69.6639172739364,130.570885134023,19.0047868194203,5.61042326682236,3.29544673313117,1.52397596848088,1.54751464119449,0.227219504348992,2.18390924148901,7234.95297188454,7232.05400641295,29.5958307788024,3.71403149487334,-2.28792060863614e-08,9.31515179661163,1.71814630721331e-07,1.53792974609737,2.89804461202595,17.8123541542675,8.59918372168599,7.74465206492232,19.1353865824219,3.85245726707481,8.69359390136738,5.10643747519902,0.170848997879283,0.170874265731547,0.170850918870119,3.38406197892838,2.08766977664225,46.8621662346855,2.17418893299222,1.17418892816747,7.28728506627683e-11,8.58916310047181,4.71322580182092e-09,1.18797816606051,0.0431845367202191,0.644941562627022,0.762214894542422,0.484045487632725,0.907245102465417,0.132050876025084,0.038982879118557,0.0228977379298615,0.0105890354672873,0.0107525891225761,0.00157878827499445,0.0151744469031985,50.2705916680617,50.2504487991241
"4",-1,0.417167957650959,0.601051840721262,0.01,0.001,2.13238904238088,4.99806879221314,8.46809798907757,3.30773175503626,11.2901243819614,40.4355905357176,4.67237872922943,3.21021786624089e-06,29.9206786957028,40.8319961796207,9.54832473370383,0.812918002946788,5.16184184397578,6.4940920100949,171.92576471877,0.0986625918196428,0.0218854025494788,-2.16983618367496,0.00769620025308807,0.254092097525652,0.00904329103825255,0.468284774682112,0.19614191079076,0.0799666939488503,0.112030062599273,0.147012163688086,0.202917062378594,1.55130396121114,1.55130396121114,0.112245298951354,0.110473041375208,0.743859402247904,1.55130396121114,0.000289704504528796,0.00653841388190483,309.999792901655,168.162646305249,4.07361650417312e-05,1226.66551072484,0.00210376825363027,170.111812997094,6.08975783075377,91.7417318585932,107.223116441095,69.3441579056496,130.99000012035,18.5659814353718,5.53994732698802,3.2508885240663,1.53218098230767,1.55669219884065,0.231155207766009,2.15335501976864,7175.04372626838,7172.19201353085,30.5853830312298,3.68030720817602,-8.83908048917034e-05,9.44066341409493,0.000534550888272795,1.53837063397751,2.85174087364316,17.994398585998,8.57427813668702,7.76863035106376,19.2571233391954,3.76735441304117,8.59414223325759,5.04311624483989,0.171980112406703,0.171972521690987,0.171946974675313,3.34050817206099,2.07864248769102,46.894759824957,2.1856043352506,1.1856040462213,2.87203865793989e-07,8.6484104813358,1.48322841523819e-05,1.19934633660138,0.0429348709911691,0.646810518796539,0.755959563518426,0.488899978687955,0.923524204509187,0.130896505231549,0.0390585193028376,0.0229198735428503,0.0108023988209002,0.0109752112625323,0.00162972310232935,0.0151818877763994,50.5865069358923,50.5664013878734
"5",-1,0.410764570011781,0.546410764292057,0.01,0.001,2.04518291296621,5.01645049224374,8.15247365513163,3.42875720940957,11.3354508517351,40.5844307138936,4.56504398221042,8.60728876321109e-05,30.3014979074319,40.7193624394539,9.61172005586924,0.734747960486004,5.12191690330587,6.50797067707444,171.874908169919,0.103341469893003,0.0219136808077202,-2.15710058107162,0.00775036438855552,0.250276661205692,0.0090272716492227,0.477809964361631,0.198711190113084,0.0809623741785018,0.112179685159152,0.147891850799905,0.205711357822533,1.56103793571666,1.56103793571666,0.112279170646236,0.110403965098727,0.790881377092643,1.56103793571666,0.000307358100778863,0.00653831892901765,305.470093170468,165.810124401833,1.49629796586278e-05,1209.65891236921,0.00251593361682521,167.68528273027,6.06461357580045,90.2580428697504,105.204793903654,69.1487875481062,130.163070842833,18.2756672778395,5.50494473981993,3.16439322236941,1.54959587424337,1.5567906839972,0.217480423673273,2.10390199442251,7062.82621584083,7060.01227502312,31.5677284365888,3.63351014083014,-3.2276652116189e-05,9.37529735672514,0.000629679465434175,1.51374059878286,2.89773279652028,17.9352831159259,8.51762988939982,7.75708921628364,19.2500574527457,3.7595123308372,8.59342757288278,4.93973786364333,0.173987339596876,0.17187586434205,0.17200121696541,3.28427082632347,2.170816851832,46.1606118968806,2.18724183167893,1.18724172452846,1.07138655363057e-07,8.6614586316333,1.80147103611103e-05,1.20066832447614,0.0434241413563071,0.646270032398949,0.753292486773233,0.495122514827318,0.931999956304581,0.130858322518759,0.0394167733117355,0.0226578423963266,0.0110954918144827,0.0111470084415319,0.00155721391672862,0.0150644614803114,50.5715920954161,50.551443579388
"6",-1,0.404002581268717,0.496737058447324,0.01,0.001,1.8759575172876,4.77146275689299,8.12185477634485,3.40852528909027,11.6301598565913,40.4882558924428,4.45371993149497,3.07268911557737e-05,31.603547497259,40.3282606346206,9.31953550938723,0.758512286114268,5.0139762734204,6.43246130996445,171.793739615127,0.104704924579403,0.0216180770702665,-2.10818314437058,0.00819245871079573,0.252523555320806,0.00903760830550581,0.47773590288946,0.205303566672055,0.0837721259072075,0.111516702948628,0.146504307385122,0.206726673454372,1.57112215191546,1.57112215191546,0.112398253535655,0.110730148503568,0.767217589064867,1.57112215191546,0.000303082072250615,0.00660193623567319,301.38045822491,164.019504170252,7.64746294559411e-05,1196.0190816548,0.00444441863986183,165.818818518824,6.07566761774291,88.519268532013,102.749197297057,70.9328598118952,131.337177988335,17.8292644140011,5.31679042058343,3.1113948175618,1.53654301953672,1.55167401856552,0.233577985784827,2.02565935688195,6943.24693131922,6940.51142503171,31.556018148145,3.54578628217941,-0.000161222524791001,9.79833694378078,0.00112232039627197,1.49860553145489,2.90256455501866,18.1733215488236,8.60751869283356,7.91019865693978,19.2414622950975,3.68578452244485,8.35332720687054,4.8883813212263,0.17270475187833,0.171817094504888,0.179205139112462,3.18255828783205,2.10437366809195,45.8208138710206,2.1940778438656,1.1940772874969,5.56742434779548e-07,8.70713046013409,3.23557822030618e-05,1.207176463766,0.0442314268990638,0.644428530586218,0.74802373913776,0.516397834922532,0.956146904803606,0.129798707764882,0.0387067301277161,0.0226512444534015,0.0111861764865856,0.0112963315706948,0.00170046952096274,0.0147469890394718,50.547485215935,50.5275704750373
"7",-1,0.394321932035787,0.451579144043022,0.01,0.001,1.79185167150174,4.55215401911418,7.70788732932516,3.93314055327545,12.1335066407171,39.7344325128925,4.83993997616547,0.000800616809311225,30.7835373416181,40.531376556538,9.46179105168899,0.729431580451347,5.76510678604657,6.31140228045609,171.723637516531,0.11214665940554,0.0212975652177926,-2.15594308764768,0.0079482994343443,0.24380979903534,0.00912049141929969,0.504533314483985,0.210683370219637,0.0853373035226229,0.113292420767012,0.148898811604597,0.202756354479862,1.5216596336876,1.5216596336876,0.112336121851241,0.110568823540248,0.765441940649063,1.5216596336876,0.000310642189123103,0.0065652025825292,294.670026124736,160.598880368199,0.00169027086245862,1168.05944539353,0.100298581476328,162.507374850538,6.3354313628726,86.5914522805342,102.130805345712,67.436799552459,129.169098441526,17.5122814569084,5.69650033736769,3.02524515703043,1.52987074506437,1.96550860934677,0.275087044180393,2.27330804626651,6774.05936200587,6771.43965217315,33.0462590568322,3.4203651285462,-0.00364412778216996,9.28408622910194,0.0244537769932731,1.48214711789725,3.1964361841959,18.2433789986758,8.71556753479692,7.64007827007782,19.2331252539804,3.55072634682804,8.66813461666023,4.60339343746212,0.171859746434201,0.217323974593701,0.210563160944855,3.45920108894098,2.10430862946336,44.4558730918878,2.19789080194261,1.1978782050066,1.26074267893702e-05,8.71234561898023,0.00074810910554369,1.21211332258356,0.0472548446882141,0.64587009068128,0.761775334316868,0.50299897617023,0.96344910642412,0.130620962170329,0.0424891729213866,0.0225647602903594,0.0114110311216883,0.0146603757105366,0.00205182485673561,0.0169561964295487,50.5264921558851,50.5069522107443
"8",4,0.390292599472313,0.410526494584565,0.01,0.001,1.72333816840244,4.989633338079,8.14157629328874,3.55371566315509,10.8419722356686,40.9272308821861,4.41853693439738,1.45341866575584e-07,32.0741927530644,39.7958676678216,9.50176822733805,0.790755439709443,5.04036314042484,6.51611695170899,171.684928975417,0.116495363311008,0.0215124821555926,-2.09122332415939,0.00828106870958889,0.243623611678009,0.00899085228699901,0.482095385548007,0.211171408300073,0.0866341476300487,0.113497882059729,0.151224219564814,0.205603994435276,1.56836024339673,1.56836024339673,0.11256411857064,0.110524356899412,0.741258711860091,1.56836024339673,0.000297384325312507,0.00669698848070206,290.805528641129,158.106045692866,3.70367101316598e-07,1155.10239810404,2.13546478117271e-05,159.830567958856,5.61853045122397,85.3959916781545,98.2901020822076,69.5462225864973,127.153862953202,17.0581809588,5.26309102578859,3.05666446390796,1.52614831846979,1.55462120475739,0.231616688706725,1.96721643236084,6703.41276644932,6700.73572200348,33.877495711898,3.40125348665908,-7.74520320774575e-07,9.56548232531045,5.20249642600484e-06,1.43701302746523,2.70866760409604,18.0331918258572,8.51527921436253,7.89334896882196,19.2287436897493,3.50723014292905,8.25442272222495,4.79395102259683,0.171789540276616,0.171823508878,0.171687888316047,3.0853040426715,1.99348988284178,44.8747499424861,2.19145938076373,1.1914593873374,2.79102141661188e-09,8.70464876612309,1.60924874738768e-07,1.20445508420328,0.0423402585259517,0.643529192574798,0.740696943592476,0.524088116880137,0.95820917529052,0.128547455255088,0.0396617294525761,0.0230344864644738,0.0115007856438476,0.0117153523133465,0.00174542268016564,0.0148245974718378,50.5157410824034,50.4955673457108
"9",-1,0.382948431471415,0.373205904167787,0.01,0.001,1.63450494506843,4.96299363404517,8.0630023006929,3.59071479501308,10.7842331164347,40.9157018082602,4.35712620302412,2.48283165687976e-07,32.7806468043405,39.4833461572799,9.48682216378155,0.784870647732845,5.01451737729334,6.50790334313427,171.633621948857,0.121740998535088,0.021378466120443,-2.06770880166264,0.00848063984803491,0.242476428252401,0.00899206650337902,0.484885667965039,0.215781761862942,0.0885304380172764,0.113821442174889,0.15184156105169,0.206161130706239,1.57233094309777,1.57233094309777,0.112663567014008,0.11054093755249,0.74106119459051,1.57233094309777,0.00029943214650247,0.00673824885969606,285.774183927566,155.571715123656,7.67392875714978e-14,1136.4854953344,4.75398628001277e-06,157.240269768827,5.50486375517225,83.6698561932131,95.9055428690642,69.7405404241148,126.598829973334,16.6435227465166,5.18550710297508,2.99813375013682,1.52343726634333,1.55254343570668,0.231610982704675,1.92030156422064,6575.30599065191,6572.68263130726,34.7904345068918,3.32588464107029,-1.58674500344907e-13,9.63812417844658,1.15272961313842e-06,1.41391496277055,2.66922953898323,18.0544289841905,8.49055971848294,7.93796888912887,19.2229639704685,3.43124746835686,8.15333327366101,4.71405846688589,0.171635876548309,0.17161960697398,0.171637911523409,3.01934956950317,1.96885798669145,44.2883712455502,2.19484462291642,1.19484460675982,5.89384283695235e-16,8.72860187780101,3.6512259717446e-08,1.20765968382754,0.0422792585630819,0.642613448989538,0.736587756742225,0.535631483731055,0.9723228229213,0.12782801407925,0.0398264889628537,0.0230267046863126,0.0117005253813677,0.0119240708340845,0.00177885249469068,0.014748580521451,50.5006253513454,50.4804770437815
"10",-1,0.375328234588284,0.339278094697988,0.01,0.001,1.54787273730633,4.97762449596223,8.03186915367846,3.65350697042008,10.6483220701031,41.0625364011512,4.3297599521642,4.40159487630599e-05,33.4195905050468,39.1964475461172,9.44351330069492,0.775448943093124,4.9705284520223,6.47311647323647,171.469817573283,0.127541942292141,0.0212160425637673,-2.04828159601243,0.00865785815006071,0.239918269725124,0.00897665687674101,0.487614793768751,0.22042861581066,0.0905629738463695,0.11426040752039,0.153092937396148,0.206581087598513,1.57697261839225,1.57697261839225,0.112756258061696,0.110589279309073,0.746842660824526,1.57697261839225,0.000302139769449234,0.00679848334998719,280.232915174552,152.621293171099,2.27725640452571e-05,1115.63526546577,0.00196464961941124,154.246374330136,5.367880245163,81.8507885398854,93.4102243688272,69.685088360681,125.458030066281,16.2347619865008,5.09600920159311,2.92488231417026,1.52322852688434,1.55159202613231,0.229865193984783,1.86557966886837,6438.30380557784,6435.74639149554,35.7414502955512,3.23801985205525,-4.66446238279146e-05,9.65901187560799,0.000471355337305269,1.38461677684298,2.61745781872051,18.042256020858,8.45950770649761,7.96224659418579,19.2067383427812,3.35379478807432,8.03626697398727,4.61245932146625,0.171753548864308,0.171589443951676,0.171673133106541,2.94196805523469,1.94526762746141,43.7533146873226,2.19598309010742,1.19598291580166,1.78452147673744e-07,8.74242833381772,1.53955410253136e-05,1.20871750389626,0.0420642030603622,0.641405551641169,0.731988506879409,0.546071740278543,0.983124028710667,0.127220111784755,0.0399337459226007,0.0229201915787493,0.0119364425314697,0.0121587068029098,0.00180128761348547,0.0146192013294774,50.452339894536,50.4322992862597
