"","convergence","mu","x_C","x_W","C","AA","NT","ADP","ATP","LIP","rRNA","mRNA","tRNA","DNA","TC","p","tau tC","tau ATPS","tau ADPS","tau EAA","tau ENT","tau LIPS","tau Maint","tau rRNAp","tau mRNAp","tau tRNAp","tau rRNase","tau mRNase","tau tRNAse","tau DNAp","tau tRNAc","tau r","v tC","v ATPS","v ADPS","v EAA","v ENT","v LIPS","v Maint","v rRNAp","v mRNAp","v tRNAp","v rRNase","v mRNase","v tRNAse","v DNAp","v tRNAc","v r","p tC","p ATPS","p ADPS","p EAA","p ENT","p LIPS","p Maint","p rRNAp","p mRNAp","p tRNAp","p rRNase","p mRNase","p tRNAse","p DNAp","p tRNAc","p r","f tC","f ATPS","f ADPS","f EAA","f ENT","f LIPS","f Maint","f rRNAp","f mRNAp","f tRNAp","f rRNase","f mRNase","f tRNAse","f DNAp","f tRNAc","f r"
"1",4,0.711792723519977,1,0.001,15.0836833565694,9.58804465154262,7.26226665658949,2.2333244157537,20.3087459161152,12.2592498920485,51.234626628776,17.8887888223079,0.0124165473491189,7.61120685088553,14.8520935667608,181.665552812691,0.0379184495712124,0.0016863794452953,0.128463106153052,0.119889041218128,0.0507294016125426,0.0263477641168441,0.0150545039583268,0.195116043985894,0.260154725314526,0.195116043985894,0.119518049916623,0.127950466907882,40.3688433379575,0.156092835188715,0.00015068292031258,0.00596683760422123,312.54037351737,3526.54237185106,16.0452816352998,179.395612152017,258.391694624393,48.4780270498512,1936.07646934492,39.5102584869955,21.2519894706682,10.4711563434971,3.04182406036991,8.518879754364,0.0019863332674347,5.41760165366572,12941.949873399,12930.8218606308,11.8510463921863,5.94708856885255,2.06122671797113,21.5075679396444,13.1080560499463,1.27728762155947,29.1466708713765,7.70908533284267,5.52880548312889,2.04309060170096,0.363552879884877,1.08999464210297,0.0801859764900444,0.845648802043756,1.95013080146279,77.1561141314976,1.29143831107505,14.5719155364893,0.0663002068584378,0.741275003176506,1.0676922470722,0.200314540719747,8.00000108000121,0.163259104468141,0.0878146816045165,0.0432675379217755,0.0125690261482113,0.0352005968330227,8.20766562495158e-06,0.0223859025026045,53.4770266587382,53.4310449449092
"2",4,0.710855912909827,0.769230769230769,0.001,15.3541932526119,9.7407203857132,7.35647198067597,2.24269795290259,20.4188299043328,12.5026729374565,51.2752616531914,17.9366367608307,0.0105961504027619,7.66065761316786,15.1076597609338,180.393599056296,0.0384142020347023,0.00167575541312976,0.127982197888044,0.119538636453528,0.0500934010259987,0.0262139965827316,0.0150887429875817,0.193888126934607,0.258517502579476,0.193888126934607,0.119502582098238,0.127875905983215,47.2869481835287,0.155110501547686,0.000150015885095308,0.00593956295216809,311.979810291151,3514.44008719908,16.1090810728867,178.579970857795,259.334249359444,49.3755499153811,1933.52808311473,39.468542895795,21.2146256872421,10.6354134497485,3.0192199636254,8.46426138808989,0.00155783461986716,5.44562376109806,12834.6902532582,12823.3856540253,11.9844554632724,5.8893420002441,2.06167560166473,21.3472062142516,12.990934552939,1.2943304967523,29.1745083053897,7.65248185490388,5.48435205082424,2.06208039294686,0.360804581575783,1.08237509348074,0.0736652449481656,0.844673432823914,1.92540741826666,76.1653063520123,1.29082091133047,14.541045947624,0.0666515525212811,0.738877174496972,1.07299915268541,0.204292041461707,8,0.163301658726218,0.0877758161260007,0.0440041747213347,0.0124920656285963,0.0350210021235575,6.44556294153283e-06,0.022531345921082,53.103713839347,53.0569408989107
"3",-1,0.708789415060254,0.591715976331361,0.001,15.3541932526119,9.7407203857132,7.35647198067597,2.24269795290259,20.4188299043328,12.5026729374565,51.2752616531914,17.9366367608307,0.0105961504027619,7.66065761316786,15.1076597609338,180.393599056296,0.0397400019279354,0.00167575541312976,0.127982197888044,0.119538636453528,0.0500934010259987,0.0262139965827316,0.0151468339033286,0.193888126934607,0.258517502579476,0.193888126934607,0.119502582098238,0.127875905983215,47.2869481835287,0.155110501547686,0.000150015885095308,0.00593956295216809,311.072867554419,3504.22341353744,16.0622510743016,178.060828906448,258.580350209294,49.2320124334969,1927.90720896389,39.3538056367546,21.1529535852507,10.604495708721,3.0104429225276,8.43965530739329,0.00155330590760146,5.42979302861413,12797.3790917041,12786.1073555726,12.362036356341,5.87222135405142,2.05568219551872,21.2851486932618,12.9531691804773,1.29056780569269,29.2016902752058,7.63023566265893,5.46840873303859,2.05608581004999,0.359755702501414,1.07922856861897,0.073451095965919,0.842217919968465,1.91981015134218,75.943889551603,1.29082091133047,14.541045947624,0.0666515525212811,0.738877174496972,1.07299915268541,0.204292041461707,8,0.163301658726218,0.0877758161260007,0.0440041747213347,0.0124920656285963,0.0350210021235575,6.44556294153283e-06,0.022531345921082,53.103713839347,53.0569408989107
"4",-1,0.706120862428952,0.455166135639508,0.001,15.3541932526119,9.7407203857132,7.35647198067597,2.24269795290259,20.4188299043328,12.5026729374565,51.2752616531914,17.9366367608307,0.0105961504027619,7.66065761316786,15.1076597609338,180.393599056296,0.0414635417891385,0.00167575541312976,0.127982197888044,0.119538636453528,0.0500934010259987,0.0262139965827316,0.0152223520937995,0.193888126934607,0.258517502579476,0.193888126934607,0.119502582098238,0.127875905983215,47.2869481835287,0.155110501547686,0.000150015885095308,0.00593956295216809,309.901695550999,3491.0302077528,16.0017775945089,177.390439812855,257.606809607117,49.046656651466,1920.64874580675,39.205640752584,21.0733138943209,10.5645703735991,2.99910877276238,8.40788047568829,0.00154745779745919,5.40935016058301,12749.1976729028,12737.9683742294,12.8496219040037,5.85011276804127,2.04794266666091,21.2050112951204,12.9044012206774,1.28570888985594,29.2367914571847,7.60150825078962,5.44782047903321,2.04834476160596,0.358401242338582,1.07516533322723,0.0731745566846499,0.839047016455084,1.91258217315556,75.6579650414619,1.29082091133047,14.541045947624,0.0666515525212811,0.738877174496972,1.07299915268541,0.204292041461707,8,0.163301658726218,0.0877758161260007,0.0440041747213347,0.0124920656285963,0.0350210021235575,6.44556294153283e-06,0.022531345921082,53.103713839347,53.0569408989107
"5",4,0.703355274887986,0.350127796645776,0.001,15.5058015314323,9.85228402058288,7.42795320523838,2.22787704209723,20.5307084224057,13.4823751406461,51.5576241364227,17.9621850633679,0.0102885323626367,7.72178110380621,14.9925224624474,178.728602120739,0.0414625581334234,0.00167458012133954,0.127625433243469,0.119347597052101,0.0496646150312672,0.0261327794039822,0.0153098309455015,0.192743215964091,0.256990954618788,0.192743215964091,0.119395773501005,0.127836257016397,48.6977963014213,0.154194572771273,0.000149511451733037,0.00592234530852518,308.526646545096,3469.29255633826,16.0073711354472,175.751085095741,257.489361382626,52.6827759621782,1913.12647775435,39.2574346370012,21.0243807331102,10.4428037679146,2.99410773995614,8.39058312027617,0.00149825086170308,5.43115547089247,12582.0705809271,12570.9705074978,12.7923040180862,5.80960834995531,2.04294767625044,20.975469685476,12.788110007715,1.37674736260902,29.289642951782,7.56660420243571,5.40307567487084,2.01277958190979,0.357483809557409,1.07262074028107,0.0729615152716454,0.837454697488626,1.88116363836195,74.4496282086879,1.29014645338722,14.5073222603101,0.0669370160720674,0.734927247465751,1.07672705127004,0.220300247396178,8.00000054385966,0.164160342820194,0.0879163292416626,0.043668015049794,0.0125202718307154,0.0350863731729335,6.26514130029297e-06,0.0227111208935477,52.6136523960763,52.5672359178644
"6",4,0.700237767803554,0.269329074342904,0.001,16.2711908640306,10.2605769281869,7.7300874881556,2.3228308496043,21.0511409072652,14.49903926589,52.4798774425263,18.2303766226413,0.0161772159398765,8.03864663130561,15.2028862683603,173.897170463377,0.0420863892655266,0.00163167441180386,0.126190356890253,0.118437494987732,0.0479860539688526,0.0257516176760323,0.0153887102676495,0.187623479212179,0.250164638949572,0.187623479212179,0.119054922548079,0.127426750985442,31.0076667986801,0.150098783369743,0.000147655858486055,0.00581177449137289,306.617706085227,3426.84321843476,16.3673378077334,172.800316865033,261.880524494137,56.4043049491271,1904.6476294632,39.6698037676575,20.9541685244178,10.5472041015131,2.92141153269879,8.18857029196133,0.00230037651918553,5.628963973267,12188.1425789942,12176.9366472629,12.9044321340057,5.59149239278357,2.06540019930122,20.466036662581,12.5666129817671,1.45250209633226,29.3100705317746,7.44298660255231,5.24199200339946,1.97890312948685,0.347808423756519,1.04344290752054,0.0713293086184123,0.844900644019493,1.79965065585183,70.7696097896264,1.28787224007118,14.3936118642529,0.0687469757554978,0.725805218515733,1.09996471507596,0.236912406305392,8.00000378458651,0.16662325112835,0.0880128297250712,0.0443009359965924,0.0122706704150373,0.0343940749525968,9.66216562831875e-06,0.0236430783273694,51.1932943662204,51.1462266068757
"7",4,0.694777941201009,0.207176211033003,0.001,16.253119565515,10.3279251895758,7.71846067907088,2.32333299513761,21.0558425052026,15.1090301275769,52.4604256990725,18.2465503865455,0.0212584078055045,8.02982183271618,15.2477272728125,173.206504670547,0.0442664398859128,0.00163205700680249,0.126243503309065,0.118457995020016,0.0478594189756774,0.0257576305654331,0.0155535521205925,0.1877816043033,0.2503754724044,0.1877816043033,0.119061987901819,0.127402439880838,23.6201057658953,0.15022528344264,0.000147433919448586,0.00580891837446293,304.169908243665,3397.27043498634,16.2433354211035,171.030978293981,259.90294284163,58.3190046976774,1889.82079281116,39.3579705482449,20.8346503601342,10.4999770306207,2.90962398651479,8.15734964854964,0.00293611692550863,5.57894308114546,12045.1572239337,12034.0058717626,13.4645189583718,5.5445390174224,2.05061556898433,20.2599867750169,12.4388038344691,1.50215937794653,29.3934261995679,7.39070285167146,5.2164854262991,1.97170253195776,0.346425615881267,1.03926624818632,0.0693513923215493,0.838098305675433,1.775864739899,69.9045578268764,1.28763065741666,14.3815329691304,0.068762280883354,0.724018796898462,1.10023703228264,0.246879577247989,8.00010495416189,0.166612567904069,0.0881985160700873,0.0444491449034704,0.0123171982009149,0.0345321914037771,1.2429349730468e-05,0.0236171230374005,50.9902961949684,50.9430896089845
"8",-1,0.68794235747352,0.159366316179233,0.001,16.253119565515,10.3279251895758,7.71846067907088,2.32333299513761,21.0558425052026,15.1090301275769,52.4604256990725,18.2465503865455,0.0212584078055045,8.02982183271618,15.2477272728125,173.206504670547,0.0485896691884407,0.00163205700680249,0.126243503309065,0.118457995020016,0.0478594189756774,0.0257576305654331,0.0157684037203135,0.1877816043033,0.2503754724044,0.1877816043033,0.119061987901819,0.127402439880838,23.6201057658953,0.15022528344264,0.000147433919448586,0.00580891837446293,301.177327806254,3363.84633625469,16.0835251094913,169.348287317779,257.345883641185,57.7452322505762,1871.22776114858,38.9707465345384,20.6296683241135,10.3966728410757,2.88099760505405,8.07709343543401,0.00290722989284994,5.5240545616911,11926.6507546975,11915.6091152805,14.6341067251645,5.48998898289136,2.03044055538149,20.0606585757378,12.3164244668494,1.48738035922548,29.5062747904492,7.31798930515289,5.165162952196,1.95230390551374,0.343017301998115,1.0290414108198,0.0686690775548881,0.829852662282656,1.75839286665949,69.2168007326706,1.28763065741666,14.3815329691304,0.068762280883354,0.724018796898462,1.10023703228264,0.246879577247989,8.00010495416189,0.166612567904069,0.0881985160700873,0.0444491449034704,0.0123171982009149,0.0345321914037771,1.2429349730468e-05,0.0236171230374005,50.9902961949684,50.9430896089845
"9",-1,0.679324276922158,0.122589473984026,0.001,16.1591222610315,10.1932073908664,7.67619298436503,2.31258087375052,21.1166498440479,16.5553529955799,51.923324092784,18.1080184303467,0.00319783408912144,7.97729060944648,15.1668235964534,172.808243961283,0.0510602127805085,0.00163690359036657,0.126438066441984,0.118565364823278,0.0481747520806778,0.0257836173251475,0.0160419478512838,0.188546251050892,0.25139500140119,0.188546251050892,0.119259167579738,0.127612077043287,156.455828997172,0.150837000840714,0.000147819418064057,0.00585590964412115,297.418178816917,3322.39606761637,15.9160452162108,166.586151739296,252.457296267715,62.4802955717409,1847.76206470731,38.171747257974,20.4262950226703,10.1973510199647,2.8989726632486,8.12507849598187,0.000441827851257129,5.41916717506015,11750.129002227,11739.2835375187,15.1862354951831,5.43844205170101,2.01239398254089,19.7513478554755,12.1620676586554,1.61096803138387,29.6417026836152,7.19713984155317,5.13506846584531,1.92267230546434,0.345729066655446,1.03685814301199,0.0691265427424734,0.817410923740517,1.73689723128678,68.7441836824283,1.28769039938456,14.3845192524569,0.0689095021111717,0.721245046682767,1.09302947772616,0.270512303849344,8.00000013629045,0.165266940532524,0.0884369075902398,0.0441500619087781,0.0125512814361002,0.0351780298539259,1.91292100741003e-06,0.0234626194395485,50.8729102164656,50.8259541062598
"10",4,0.668586720124721,0.0942995953723274,0.001,16.0652828140193,10.0329659964406,7.5868236155427,2.29598369303834,21.0510187218577,17.4845593416507,51.6104948693695,17.9944772077481,0.0276383467821972,7.82040677905512,15.1006906385362,172.929658382416,0.0559576912442709,0.00164307024923168,0.12685658178901,0.118673807580792,0.0486090446247095,0.0258292195720965,0.0164112789738191,0.190632483470517,0.254176644627356,0.190632483470517,0.119375904116616,0.127786303221119,18.1908070927769,0.152505986776414,0.000148413798555196,0.00589085039063658,292.769457252574,3272.49860692082,15.6094957693194,163.660581042869,246.873803255853,64.9441343503351,1818.58595418097,37.4037297010271,20.1505087239462,10.01251196763,2.89763821230159,8.11964022725892,0.00418707063735607,5.2286201184496,11572.4748070458,11561.8473110188,16.3827028946923,5.37694510168373,1.98016727674586,19.422224303242,12.0002997191355,1.67745630605454,29.845321431933,7.13036588396674,5.12178869498693,1.90871002216759,0.345908181396357,1.0375788081269,0.0761661942479746,0.797395870643166,1.71751494479798,68.1091127485957,1.28792064373867,14.3960321271604,0.0686676541614594,0.719958437158743,1.08602130357195,0.28569541407926,8.00013230472413,0.164542558799824,0.0886440013618546,0.0440459909302163,0.0127469856546193,0.0357190683978897,1.84193213364832e-05,0.0230011964089857,50.9084155943284,50.8616642301224
