"","convergence","mu","x_C","x_W","C","AA","NT","ADP","ATP","W","LIP","rRNA","mRNA","tRNA","DNA","TC","p","tau tC","tau tW","tau ATPS","tau ADPS","tau EAA","tau ENT","tau LIPS","tau Maint","tau rRNAp","tau mRNAp","tau tRNAp","tau rRNase","tau mRNase","tau tRNAse","tau DNAp","tau tRNAc","tau r","v tC","v tW","v ATPS","v ADPS","v EAA","v ENT","v LIPS","v Maint","v rRNAp","v mRNAp","v tRNAp","v rRNase","v mRNase","v tRNAse","v DNAp","v tRNAc","v r","p tC","p tW","p ATPS","p ADPS","p EAA","p ENT","p LIPS","p Maint","p rRNAp","p mRNAp","p tRNAp","p rRNase","p mRNase","p tRNAse","p DNAp","p tRNAc","p r","f tC","f tW","f ATPS","f ADPS","f EAA","f ENT","f LIPS","f Maint","f rRNAp","f mRNAp","f tRNAp","f rRNase","f mRNase","f tRNAse","f DNAp","f tRNAc","f r"
"1",4,0.563030326795474,1,0.01,11.6605793830996,2.48527681499181,3.07458843161875,13.3176652859032,13.0402784097762,9.36408200078045,40.2269812779217,47.3921998342659,15.4250764841813,3.77949516077635,4.68327824926243,9.08050179849667,166.469997032392,0.0606114321550566,0.012687588868309,0.0163280891119332,0.0294221158514457,0.141480748775675,0.032709123687524,0.0684430529836413,0.115337095859093,0.0369622898173971,0.051747205744356,0.0369622898173971,0.0616052852984962,0.0106482950026378,0.0632292800686453,0.025873602872178,0.000706513519677223,0.00425945159562494,522.985435297769,331.555124095272,1684.13693122155,14.8403216526351,126.062269342961,184.919218412587,125.827835638354,176.086795668817,29.3855212512728,24.3182820738935,9.81957724931207,2.70227549102969,15.6334962201597,2.63282577869235,2.63682768315636,9378.14736507373,9372.76568307892,31.6988962296334,4.20663510170198,27.4987378896832,0.436633662936548,17.835384259003,6.04854558725756,8.61204122141276,20.3093396315749,1.08615615292483,1.25840314582705,0.362954060173392,0.166474452580018,0.166470079674883,0.166471678532888,0.0682242323163529,6.62578790294992,39.9228417442091,2.7319886399599,1.73198863947912,8.79765028564235,0.0775233638108219,0.658528258203684,0.96598713829537,0.657303615652316,0.919848035806667,0.153505059260529,0.127034647401587,0.0512958328926597,0.0141162362185704,0.0816667753892887,0.0137534425108526,0.0137743477919483,48.9898768417205,48.9617638330564
"2",4,0.554257619445908,0.892857142857143,0.01,11.0956859743654,2.43909330799759,3.0638785967814,13.3625981592625,12.9283612394945,9.23028944275361,40.8908608123757,47.1091751765051,15.3169369437309,3.76987289021244,4.65929523206441,9.03402029286639,167.099934576281,0.0630749030895488,0.0126727308018278,0.0164800494146064,0.0294698164607518,0.143154248309875,0.0332474537091714,0.0690940129952376,0.115469864764378,0.0371429640661907,0.0520001496926669,0.0371429640661907,0.0616750080624273,0.0106528720485523,0.0632630466480217,0.0260000748463335,0.000711993567170302,0.00428393476871242,516.83716294039,328.389570862942,1667.5276455814,14.5719645693041,124.269349629025,181.127811556007,125.911506505341,176.550260928044,28.8201302096316,24.1878780635168,9.68543974196007,2.70951092224157,15.6983490558814,2.64149148752638,2.58244988361969,9266.91190486748,9261.64119478164,32.5994539655425,4.16159262967383,27.4809379994038,0.429433121329971,17.7896853341002,6.02203853015185,8.69973126672995,20.3862347534769,1.07046506075928,1.25777328005085,0.359745940300878,0.167109107974484,0.167232503865816,0.167108799195733,0.067143890261017,6.59798166379953,39.6762667296642,2.74260425014185,1.74260424236336,8.84876076244551,0.0773263511728149,0.659437190073418,0.96115748133555,0.668151320463655,0.93686663944627,0.152934458414117,0.128353342088454,0.05139593300464,0.0143780608361605,0.083303527548069,0.0140171146733868,0.0137038095060718,49.1750086843329,49.147039581259
"3",4,0.545025489824032,0.79719387755102,0.01,10.5318179388704,2.38913422833551,3.01904634489412,13.3948535161615,12.812175020111,9.10953761696677,41.5868426240306,46.7958495699385,15.266789587488,3.75662857265255,4.62747544623242,8.980534250136,167.729315524639,0.0657272756563387,0.0126456489727825,0.0166522956482415,0.0296734293022216,0.144963475994151,0.0338443927064569,0.0698126590782983,0.115610152037891,0.0375360565825361,0.0525504792155506,0.0375360565825361,0.0617531790758067,0.0106550165601415,0.0633098066612146,0.0262752396077753,0.00071822046917096,0.00430804036351919,510.25473222982,324.946065558592,1649.55497880175,14.2834985648143,122.354075844269,177.147677382831,125.921607063318,176.999815046725,28.2210689974391,24.0636051828772,9.53990546621407,2.71613816385163,15.7428157099162,2.64934937637014,2.5220920717315,9146.82746682824,9141.6752351666,33.5376534402206,4.10915388014073,27.4688771950355,0.423840384851401,17.7368721364372,5.99545556038128,8.79092222450284,20.4629755282304,1.05930764270753,1.264553984014,0.358090431371857,0.167730166426963,0.167739962092412,0.167729796796003,0.0662685734976157,6.5694387146512,39.3827059032815,2.75353949578612,1.75353949507888,8.90166126387922,0.0770794956949191,0.660271740813296,0.955960024376029,0.679523572288082,0.955162099816607,0.152292224235079,0.129856879508983,0.0514811619139574,0.0146573725587887,0.0849545571928417,0.0142969534336152,0.0136102219006836,49.3599551365042,49.3321516248938
"4",4,0.535312888077766,0.711780247813411,0.01,9.98568090653151,2.33732560008439,3.01541145419678,13.4184759828944,12.6886044415016,8.98320692306853,42.3168530902951,46.4559008654217,15.1858756254982,3.72518047684565,4.59258571121091,8.93568427721817,168.359216326263,0.0686178504103007,0.01262274341234,0.0168386205730373,0.0296902219313899,0.146873281088723,0.0345065011966283,0.0705912709155653,0.115762174707397,0.0377491288911344,0.0528487804475882,0.0377491288911344,0.0618391848991003,0.0106585066443722,0.0634221684857369,0.0264243902237941,0.000725829538153449,0.00433514699136646,503.227507406765,321.221124560447,1630.14975501318,13.9754566212619,120.31287308082,172.972831111872,125.848649122936,177.431292250474,27.5910233867169,23.9378663376056,9.38226876764195,2.72258092619367,15.8086713985304,2.65509613223883,2.45847032081299,9017.5209767778,9012.48583261212,34.5303898255858,4.05469183394984,27.4494732018966,0.414934408677779,17.6707464265911,5.96868720374601,8.88381608459507,20.5398322520585,1.04153709806348,1.26508704245983,0.354172473000981,0.168362185297654,0.168496829139932,0.16839195424468,0.0649635791107787,6.54518308586367,39.0704508419813,2.76488935181872,1.76488934687452,8.95655271853536,0.076785530659988,0.661036562532322,0.95036684572288,0.69145184788064,0.974863025971732,0.151593713866782,0.131522126211211,0.0515491196918738,0.0149587113214242,0.086857786136216,0.0145879287519718,0.0135076050329733,49.545081223753,49.517416566548
"5",4,0.525130193209131,0.635518078404831,0.01,9.46742416667188,2.29196076485299,2.95753674913684,13.4613062285197,12.5594571330206,8.83956915798064,43.0798706571577,46.1095385103897,15.0841590161178,3.7273909889872,4.56579072290549,8.86639592734738,168.98960028026,0.071800275742093,0.0126159418644914,0.0170277300111575,0.0299635580600974,0.148939653764784,0.0351704372053647,0.0714197250967464,0.115924255155437,0.0381966980340787,0.0534753772477102,0.0381966980340787,0.0619281176469825,0.01066294713476,0.0634142085302368,0.0267376886238551,0.000731454954069482,0.00436554007140047,495.765214256795,317.220948406391,1609.31436533104,13.6642884914948,118.15115000336,168.604910801039,125.680782231209,177.846562361791,26.9423276154214,23.7704758003821,9.22922865554991,2.7288167486766,15.8493284618509,2.66486155374283,2.39763456447182,8879.0552100311,8874.15414455068,35.5960790869757,4.00204104329387,27.4029705159341,0.409430701564826,17.5973913734114,5.92990842784406,8.97608691689699,20.6167302737457,1.02910795226147,1.271135160783,0.352526060043506,0.168990484649101,0.169000551510164,0.168990086273259,0.0641072064186399,6.4946289208337,38.7404755178206,2.77670757074051,1.7767075698483,9.01353151332944,0.0765316569457072,0.661747099779559,0.94433114470749,0.703919455182316,0.996092266942246,0.150899988364979,0.133134915917753,0.0516915433818366,0.0152836986285388,0.0887697423409355,0.0149254950498004,0.0134287962438397,49.7302737540311,49.7028236118412
"6",4,0.514460444043703,0.567426855718599,0.01,8.95973186499179,2.24278214268999,2.92452087977418,13.4896265541742,12.423383557856,8.6996856753818,43.8783494446236,45.7196547187021,15.0107047376981,3.7055957744127,4.54116744327367,8.78444931142852,169.620348675624,0.0752539294313604,0.0126061417771959,0.0172377340482285,0.0301246904017264,0.151137130772703,0.0359195597471658,0.0723281364145323,0.116098673849084,0.0385134993811935,0.0539188991336709,0.0385134993811935,0.0620298371320599,0.0106661912398347,0.0634931069236564,0.0269594495668354,0.000738907872448978,0.00439824215162596,487.839782461224,312.923231084761,1586.99437620179,13.3312186887441,115.861079056946,164.052247850044,125.40930632881,178.242278944601,26.2554883335083,23.6371945548207,9.04995976493376,2.73453446539999,15.9147807300556,2.67189669440373,2.33625101934338,8731.05309689667,8726.29598985095,36.7118605631471,3.94475461643273,27.3561869930008,0.401598835676124,17.5109110568961,5.89268451830649,9.07062141580206,20.6936922093067,1.0111907336855,1.27449150900433,0.348545619806602,0.169622727520766,0.169750094806809,0.16964702250674,0.0629840415314558,6.45144386806698,38.380362850127,2.78898583205737,1.7889858297614,9.07286570285675,0.0762147356236185,0.662379165443288,0.937888649963279,0.716966494193196,1.01901322631396,0.150102938728091,0.135134122088985,0.051738727493172,0.0156333660260259,0.0909849905075195,0.0152752651450792,0.0133563748331579,49.9155342832685,49.8883378457719
"7",4,0.503316484207592,0.506631121177321,0.01,8.47144620949431,2.19444413596013,2.89005907633911,13.5140305878297,12.2805937797399,8.55571395240941,44.7118071881148,45.3277722679162,14.8758127190694,3.6911588921437,4.49838433818166,8.73746701414419,170.251308668403,0.0790331793779592,0.0126013784526543,0.0174628392807256,0.0302970984252755,0.153488700787124,0.0367247774650838,0.0733112509765399,0.116285857474575,0.0389531335321364,0.0545343869449909,0.0389531335321364,0.0621338414063049,0.0106722321790984,0.0635458812424522,0.0272671934724954,0.000746402366257591,0.00443334294739846,479.460784187968,308.333180146395,1563.19706006404,12.9828596481406,113.447222885497,159.31821060394,125.023275536054,178.617248973944,25.554289061335,23.4404970179448,8.8884730752771,2.74007408648505,15.9532552604522,2.67923247720761,2.26411098970809,8573.65818073373,8569.02901107221,37.8933101614247,3.88542309253516,27.297859024001,0.393342976601255,17.4128668486022,5.85092583056506,9.16561273073275,20.7706599566848,0.995419634124994,1.2783131345595,0.346233878598068,0.170251328731188,0.170256844151969,0.170254188817556,0.0617359523995737,6.39939875358341,37.9894443322898,2.80177347905381,1.80177348249573,9.1346867353082,0.0758665422575577,0.662939349442767,0.930990712736648,0.730585084773118,1.04376643008316,0.149328853848565,0.136976714356205,0.051940615276331,0.0160118765899876,0.093224324006001,0.0156563430136906,0.0132305421711225,50.1009652957041,50.0739143142362
"8",4,0.491688619208406,0.452349215336893,0.01,8.00452748331777,2.14834157405323,2.87338661723168,13.5397753636733,12.1305321891625,8.40179242988724,45.5812461082486,44.9007417439419,14.7308030872423,3.67048130310494,4.46657065230168,8.66878703505037,170.883011876842,0.0831804746400029,0.0126082380495849,0.017700904038411,0.0303821040187977,0.156012163109739,0.0375877421122516,0.0743724108975062,0.116487322805069,0.0392373935341107,0.054932350947755,0.0392373935341107,0.0622492408507752,0.0106788496147003,0.0636221917157578,0.0274661754738775,0.00075426859681046,0.00447307342261755,470.619758495474,303.445629211509,1537.88347465118,12.6217980753092,110.908981287502,154.410582343024,124.509888670907,178.970123098092,24.8223558819075,23.2552966865569,8.70828656143538,2.74517217239544,16.0123284567599,2.68607552838921,2.196161956627,8406.60989340823,8402.12321558983,39.1463748866171,3.82591472820479,27.2219278070586,0.383476782028304,17.3031500789607,5.80394514851217,9.26010060103548,20.8477505017903,0.973964546182151,1.27746811898011,0.341690466818847,0.17088488373629,0.170993247570924,0.170894012230184,0.0603201696697714,6.34084184823395,37.5833140492128,2.81514703860598,1.81514704606463,9.19929100135089,0.0755009045671653,0.663433875416683,0.923651176487033,0.744791603075958,1.07056111211571,0.14848203967375,0.139108225732715,0.0520911132229753,0.0164210345445088,0.0957823342996493,0.0160675310220525,0.0131369725067697,50.2865477254956,50.2597093755419
"9",4,0.479593683115996,0.403883227979369,0.01,7.54551739277664,2.0971672264985,2.8162502935212,13.5504845477804,11.9748987399869,8.25960285112458,46.4860221629826,44.4479676897044,14.6406766885467,3.64716791180442,4.42568347656747,8.59280363473005,171.515754824633,0.087677622667377,0.0126054945941308,0.0179680626671102,0.030681635631015,0.15871048223389,0.0385551099597012,0.0755463317347719,0.116701602605804,0.0398167502949683,0.0557434504129556,0.0398167502949683,0.0623740190741589,0.010683028538416,0.0637092673573295,0.0278717252064778,0.000763286442239736,0.00451296646933386,461.317329453471,298.255478421477,1511.08365886962,12.2418125839278,108.247226431005,149.342432266875,123.857792125315,179.302768586864,24.0667837627625,23.0774370654659,8.51901718548025,2.74981923143638,16.0558610090953,2.6921836696476,2.1225298388326,8230.12520881707,8225.78725687657,40.4472067417435,3.75965782091182,27.1512458778155,0.375598833163245,17.1799695073459,5.75791389769858,9.35700185183544,20.9249204457446,0.958261119484912,1.2864159687169,0.339199580032811,0.171517277192102,0.171525221369006,0.171517049184615,0.0591585684104918,6.28194298982555,37.1227020741577,2.82909413244917,1.82909413997665,9.26693544769391,0.0750746567287271,0.663841511249236,0.915863705689202,0.759575525538931,1.09959972919715,0.14759297425661,0.141525664928353,0.0522440844835132,0.0168636575221855,0.0984648511385097,0.0165101992424581,0.0130167161075514,50.4724133497673,50.445810242539
"10",4,0.467023405731375,0.36061002498158,0.01,7.10472679936218,2.05191054945498,2.80877533232093,13.6486409926468,11.8087003833251,8.1143677778111,47.4277289480098,43.8201760420706,14.5887681200562,3.58374667778136,4.3966644268383,8.49566416151404,172.15012988056,0.0926015474384349,0.012608261187105,0.0182284829430945,0.0307217929216538,0.161701276174204,0.0396053589276413,0.0768296314086973,0.116936664790176,0.0400431294689994,0.0560603812565992,0.0400431294689994,0.0625512959936984,0.0106854588350234,0.0639518789957984,0.0280301906282996,0.000774137627574607,0.0045628373372698,451.545990254417,292.758032262899,1482.73815968925,11.8891742702726,105.46431015355,144.10847279631,123.054774996689,179.60420541438,23.2172232133808,22.9384883028724,8.29818641618849,2.75217535846459,16.1251921300184,2.6985838163785,2.05334519448001,8043.99049435038,8039.81399539179,41.8138574371794,3.69116973539354,27.0280672529707,0.365256749940769,17.0537135426612,5.70746778961209,9.45425300607583,21.0023167634472,0.929690275044068,1.28594039970907,0.332285353021328,0.172152135473882,0.172305076712154,0.172579505685058,0.0575556572269775,6.22715571752909,36.684363482878,2.84370424613931,1.84370424586946,9.33785016725627,0.0748745334587405,0.664183301529983,0.907552906769524,0.77496289130735,1.13109462288344,0.146215264137891,0.144459873401029,0.0522595448886061,0.017332393425919,0.101551731871451,0.0169948896077553,0.0129313659612891,50.6586935071664,50.6323911413413
