"","convergence","mu","x_C","x_W","C","AA","NT","ADP","ATP","rRNA","mRNA","tRNA","DNA","TC","p","tau tC","tau ATPS","tau ADPS","tau EAA","tau ENT","tau rRNAp","tau mRNAp","tau tRNAp","tau DNAp","tau tRNAc","tau r","v tC","v ATPS","v ADPS","v EAA","v ENT","v rRNAp","v mRNAp","v tRNAp","v DNAp","v tRNAc","v r","p tC","p ATPS","p ADPS","p EAA","p ENT","p rRNAp","p mRNAp","p tRNAp","p DNAp","p tRNAc","p r","f tC","f ATPS","f ADPS","f EAA","f ENT","f rRNAp","f mRNAp","f tRNAp","f DNAp","f tRNAc","f r"
"1",4,0.555154791273929,1,0.001,21.5900995867683,7.60794987335759,7.01896757511658,1.81995065727771,13.5315954883769,43.514653304774,13.8344294152397,1.42097244636994,8.81686183070056,11.5476978802532,123.296821696753,0.0858520665382169,0.0071744826140837,0.24106694912429,0.0482778479499381,0.103334201877324,0.251703342067005,1.00681336826802,0.287660962362292,0.125851671033503,0.000340789069514542,0.00887338940734327,157.429069455879,820.987630416047,8.52248439622296,100.881681218911,168.513702987855,24.1573682727692,7.68024977441132,7.1321377861043,4.89472308931364,6851.63029959725,6844.88213137998,13.5156109459757,5.8901614807977,2.05448931235684,4.87035046682069,17.4132290036425,6.08049032979944,7.73257814451477,2.05163761925123,0.61600908003639,2.33496071445739,60.7373045991003,1.11644445078912,5.82222258768659,0.0604391580537582,0.715425642623738,1.19505367866919,0.171317532695961,0.0544662575403139,0.0505791953232063,0.034712054451577,48.5899119729457,48.5420557861232
"2",4,0.552101255132078,0.769230769230769,0.001,21.144555177326,7.5790914949356,6.98489800296164,1.82438078576367,13.5140040340678,43.4615113795381,13.8351713802776,1.42055714930687,8.78214902217388,11.5368097271572,123.916872037017,0.0900193686616542,0.00722500581488659,0.241883158920632,0.0487359587044568,0.104098099757266,0.252336011895984,1.00934404758393,0.28838401359541,0.126168005947992,0.000341317353467424,0.0088817897441415,156.62954640878,819.791375002173,8.46834151072775,100.612958599936,167.346256623889,23.9951549825801,7.63841548401866,7.08673128274867,4.84863549789915,6848.17078166318,6841.46605836783,14.0996928814797,5.92299745138457,2.04834919543355,4.90346899545971,17.4204273160387,6.05484171313029,7.70978920176719,2.04370001059121,0.611742672338584,2.33739952729022,60.7644630721036,1.11691786929077,5.84589342703385,0.06038734181036,0.717466237495163,1.19333822173199,0.171108312517866,0.0544691786625102,0.0505351447798116,0.0345753898510783,48.8339811572474,48.7861700933139
"3",4,0.548231000806263,0.591715976331361,0.001,20.5960928786129,7.5411730705792,6.94062576950441,1.82977656471209,13.4904462388603,43.3883695271537,13.8348809257985,1.41984973252409,8.73685183146317,11.5218025810957,124.70013088717,0.095340356082544,0.00729040989620692,0.242939725070245,0.0493233797320979,0.105090351214868,0.253169593810073,1.01267837524029,0.289336678640084,0.126584796905037,0.000342031361253922,0.00889356166445033,155.614539068926,818.193243001883,8.39902108017745,100.262265319437,165.850253161143,23.7868492492234,7.58471061598601,7.02852437513877,4.78981302345909,6843.09681817888,6836.44775569453,14.8363455664523,5.96496411579056,2.0404558720775,4.94527378515092,17.4292613537793,6.02210696244734,7.68087242326451,2.03360989844352,0.606317508787668,2.34055371991411,60.8003696810624,1.11751372090356,5.87568604370702,0.0603158378093403,0.72001278192725,1.19101939080908,0.170820352469109,0.0544680351409391,0.0504738983511288,0.0343970544545794,49.1422885903948,49.0945397193583
"4",4,0.543356159214538,0.455166135639508,0.001,19.9383417886542,7.49413594378982,6.8853813954023,1.83634716918392,13.4604142380419,43.2928935925347,13.8331866589623,1.41879571936042,8.68022171547486,11.5021801397493,125.658101672985,0.102114476479387,0.00737364738212612,0.244271320204101,0.0500690049370026,0.10635464238569,0.254226256901117,1.01690502760447,0.290544293601276,0.127113128450558,0.000342947330520388,0.00890916467829209,154.331112988663,815.932426481033,8.3115895266514,99.7968596141377,163.963976224638,23.5234603837233,7.51634717271155,6.9549046537589,4.71645193245105,6834.28906615738,6827.7103499223,15.7594408073185,6.01639800051368,2.03028294666971,4.99672945671762,17.4383300555071,5.98028128271569,7.643411229151,2.02070785969061,0.599522960320535,2.34380119124335,60.8291958831371,1.11824039672305,5.91201982943245,0.0602234701071883,0.723100337485586,1.18803744929383,0.170444462962735,0.0544613647990642,0.0503933081838248,0.034174101242027,49.5193611233871,49.4716935720413
"5",4,0.537261473678556,0.350127796645776,0.001,19.1624320071818,7.43598815009772,6.8166103745413,1.84420026341618,13.4218921835723,43.1672700017724,13.8289793547161,1.41720588835396,8.60948445292118,11.4763254166627,126.819611945219,0.110707807661239,0.00747928894384363,0.245946271729199,0.0510114335634845,0.107962778860231,0.255568732036054,1.02227492814422,0.292078550898348,0.127784366018027,0.000344128324283076,0.00893007320126241,152.719784258595,812.768496179061,8.20188332538219,99.1822212293776,161.59854279157,23.1921110958324,7.42977782758512,6.86229460347712,4.62554430478905,6820.01946314076,6813.5291605031,16.9072725017664,6.07893042737646,2.01722262503563,5.05942728892122,17.4466277395418,5.92717842600118,7.59527559482207,2.00432906362115,0.591072246475765,2.34696186942859,60.8453141622287,1.11911801348296,5.9559006665782,0.0601027261692466,0.72679915659848,1.18418082548113,0.169949881896742,0.0544448006091186,0.0502863302345581,0.0338956080823669,49.9765414845109,49.9289810807949
"6",4,0.529707704708094,0.269329074342904,0.001,18.2650425096054,7.36468597047808,6.73167159358976,1.85339822932561,13.3726430810393,43.002261609685,13.8207352364353,1.41483861299309,8.52172665775002,11.4423142955397,128.210682236571,0.121571048674317,0.00761281650493411,0.248042218880351,0.0521964468403833,0.110001712310827,0.257269935834685,1.02907974333874,0.294022783811069,0.128634967917343,0.00034564910382182,0.00895810490474623,150.713311189846,808.377708825137,8.06535139430396,98.3748706203476,158.657201490039,22.7786292945232,7.32094993947043,6.74673209265972,4.51402426802655,6797.79870701932,6791.41862065928,18.3223752905283,6.15403116396482,2.00054765589289,5.13481870476456,17.4525638343481,5.86025649700408,7.53384128470601,1.98369295151129,0.580661366895701,2.34965303104236,60.8382404559128,1.12016398402283,6.00819919464302,0.0599450445289952,0.731162935323018,1.17920627920601,0.169300242557815,0.0544123434505327,0.0501445176964407,0.0335501049517717,50.524066004019,50.4766465498311
"7",4,0.520438681003274,0.207176211033003,0.001,17.2503641359701,7.2783512443175,6.62797556270533,1.86393416970555,13.3102334344403,42.7872093482756,13.806446834149,1.41139493126362,8.41401668610417,11.3979111506557,129.852162703926,0.135261892826579,0.00778071279485163,0.250646297931206,0.0536778409409343,0.11257558220466,0.259414050093128,1.03765620037251,0.296473200106431,0.129707025046564,0.000347595753400742,0.008995472353685,148.238293992588,802.343445644074,7.89722377322432,97.3220666624268,155.039530895383,22.2681187970275,7.18540897970634,6.60401716346786,4.3789797460556,6764.25294814267,6758.00882830537,20.0509922348202,6.24280391338819,1.97940990269299,5.22403841434875,17.4536654552851,5.77666288509182,7.4559841800046,1.95791410201112,0.567984435600029,2.35122559970284,60.7914815809801,1.12139114939423,6.06955743004385,0.0597408173391572,0.736220724460428,1.17284105928128,0.168453580111321,0.0543560898982244,0.0499579845267968,0.033126049945292,51.1701341401724,51.1228987023329
"8",4,0.509192606046445,0.159366316179233,0.001,16.1303306482028,7.17512030437175,6.50290731472622,1.87571485911676,13.2318468724043,42.5095066179742,13.7835123298279,1.40648907423589,8.2832763743016,11.3404731972112,131.760822404879,0.152475110584349,0.00799072304423907,0.25386104768973,0.0555192097704975,0.115812424467829,0.262103578728989,1.04841431491596,0.299546947118844,0.131051789364494,0.000350074952672589,0.00904495462055393,145.218342947555,794.171050657909,7.69265872908078,95.9637078152931,150.64532347278,21.6455264565549,7.01846256369839,6.42987488447692,4.21778308363358,6715.24205888591,6709.16365351634,22.1421828998043,6.34600091555971,1.952866404484,5.32782922455199,17.446600146123,5.67336994773605,7.35825662048312,1.92604939200119,0.552748020261476,2.35083804594946,60.6840807879251,1.12280844781924,6.14042239150337,0.0594785894941776,0.741978317835381,1.16476912204394,0.167360262275489,0.0542657965741256,0.0497149168085381,0.032611324308274,51.9213369318722,51.8743395294801
"9",4,0.495717903214318,0.122589473984026,0.001,14.9238316277046,7.05283023939844,6.35359705161897,1.88847612316198,13.134068601821,42.1535608476614,13.7485242022857,1.39963961624301,8.12594766987795,11.2667089506215,133.95281543862,0.174083532572635,0.0082523819678678,0.257812518702446,0.0577961723074433,0.119874373796988,0.265473096013943,1.06189238405577,0.303397824015935,0.132736548006971,0.00035322429959401,0.00911021095380946,141.57877868723,783.321554393283,7.44694437201195,94.2360753592225,145.378812681033,20.8962747964199,6.81538958984837,6.22014512834641,4.02817774054117,6646.15994234888,6640.28087988875,24.6465339311923,6.46426867051731,1.91991548518541,5.44648444903883,17.4271941334884,5.54739876536372,7.23721029983298,1.88717849700362,0.534686408037957,2.34758519062595,60.494359608334,1.12442331186932,6.22116552082506,0.0591438768700123,0.748426006605614,1.15460330669727,0.165958900975045,0.0541280480404949,0.0494005969706385,0.0319919199601494,52.7840206200562,52.7373289128427
"10",4,0.479793469851026,0.0942995953723274,0.001,13.6586906360143,6.91133900829614,6.17907090196901,1.90196791901432,13.0147196873561,41.7076381021209,13.6982054877678,1.39041701787153,7.94053636787242,11.1741053734037,136.423309801473,0.201208321337114,0.00857628592334522,0.262620341180076,0.0605978173728754,0.124945131673556,0.26964554280868,1.07858217123472,0.308166334638491,0.13482277140434,0.000357161685199391,0.00919462399004279,137.250638906333,769.154870935947,7.15692930534431,92.0708268806052,139.181820557689,20.0110524043074,6.57230954170849,5.97194144997697,3.80981749641977,6551.14475233639,6545.50131782104,27.6159706567897,6.59649209248037,1.87955521597121,5.57929115268054,17.3900908961458,5.39589108773242,7.0887758955226,1.84035130731508,0.513650153412057,2.33981789972961,60.183423443694,1.12622801276496,6.31140057857107,0.0587271165605139,0.755499174485708,1.14207457559939,0.164203299614649,0.0539299428652277,0.0490035442104299,0.0312619542042221,53.7562724264955,53.709964488769
