"","convergence","mu","x_C","C","ATP","NT","AA","DNA","RNA","p","tau Cin","tau Met","tau DNAp","tau RNAp","tau r","v Cin","v Met","v DNAp","v RNAp","v r","p Cin","p Met","p DNAp","p RNAp","p r","f Cin","f Met","f DNAp","f RNAp","f r"
"1",4,1.05505558973214,100,118.629653570502,32.5652379696002,3.15370121946106,5.30569236767274,21.6167779757763,41.6406245029309,117.08831162512,0.103865453984374,0.162597619516004,0.245354059468555,0.226480670278666,0.212960861466989,358.718899697658,233.558020590112,22.8069024353415,43.9331736417545,123.534677672382,37.2585013698725,37.975978166822,5.59576609641431,9.95001461385359,26.3080513781572,0.999999997738421,0.651089251942826,0.0635787587522832,0.12247242500862,0.344377387132705
"2",4,1.05008493819802,71.4285714285714,117.324749469045,32.7509460081985,3.12952310504112,5.28068682925012,21.7628225292243,41.9102298837045,117.841043371148,0.105377442378632,0.16329274258123,0.246314844542391,0.227367548808361,0.213349872886717,357.02888024282,233.82792794752,22.852812150615,44.0093011572947,123.743104745582,37.6227902552953,38.1824036466367,5.6289868722352,10.0062869289031,26.4005756680776,1.0000000035165,0.65492721096049,0.0640083015565421,0.123265382010896,0.346591304032788
"3",4,1.04329166373042,51.0204081632653,115.554372697569,33.002861566847,3.09686286026905,5.2464397852005,21.9607805846061,42.2760444742992,118.862637126026,0.107463291099924,0.164254038705504,0.247641800879852,0.228592431581402,0.213897239814556,354.719164723972,234.162250981,22.9114993129323,44.1062447755328,124.008398442597,38.1192888574543,38.4620954360011,5.67384495071205,10.0823537411635,26.5250541406951,0.999999997337697,0.660134195286023,0.0645905311311943,0.124341307277351,0.349595991547135
"4",4,1.03408730697565,36.4431486880466,113.180038458598,33.340651470828,3.05330290052571,5.19991735428146,22.2259528235796,42.7667317873956,120.233402035059,0.11032585905298,0.165577631403163,0.249465267757167,0.230275631775846,0.214667683326651,351.58968109394,234.551639920888,22.9835757003033,44.2245345021777,124.331834918955,38.7894336008523,38.8365049798284,5.73360386609326,10.1838326224817,26.6900269658037,0.999999990677258,0.667117524622558,0.0653704494811166,0.125784505257046,0.353627653044292
"5",4,1.02175595134983,26.0308204914619,110.04398290396,33.7866921634844,2.99615800165329,5.13740878471821,22.5756442486833,43.4150025235037,122.045110190758,0.114228073002148,0.167389818047698,0.251954337064204,0.232573234213111,0.215751371349728,347.39702224996,234.9589278076,23.0667988666487,44.3595372062577,124.700317670553,39.6824924182971,39.3297321743964,5.81178001663979,10.3168410362562,26.9042645451685,0.999999996519884,0.676341223272943,0.0663989536725979,0.127691183892658,0.358956206443406
"6",4,1.00547110557483,18.5934432081871,105.98327146574,34.3640409396056,2.9227439214273,5.05462064047275,23.0275377756478,44.254737029689,124.393048782371,0.119502994254225,0.169853354248151,0.25532255923878,0.235682362374258,0.217272021180862,341.860176453432,235.297059320337,23.1535238659468,44.4968593681648,125.073616285035,40.8533147024629,39.9659947702854,5.91161696884969,10.4871249341242,27.1749974066491,1.00000000163222,0.688284497321217,0.0677280522813171,0.130160991263791,0.365861908183445
"7",4,0.984344863928901,13.2810308629908,100.856098160065,35.092672553203,2.83081821916583,4.94698003280278,23.596709715974,45.3156427447118,127.361079000315,0.126561973016624,0.173173402225784,0.259830648850427,0.239843675861932,0.219395061369808,334.677254155391,235.400071935622,23.2273000145402,44.606220191394,125.367223978403,42.3574136096925,40.7650313412859,6.0351644338215,10.6985198170107,27.5049497985042,1.00000000125364,0.703364418429918,0.0694020873999235,0.133281302190329,0.374591408824455
"8",4,0.957515317233675,9.48645061642197,94.5805250599623,35.983948813803,2.71914825103344,4.81022191549484,24.2913126950259,46.6153815328788,130.999461721558,0.135901256725018,0.177602358360755,0.265783912544964,0.245338996195351,0.222333392824819,325.555207849641,234.992906392723,23.2593039812001,44.6349418364232,125.433991147758,44.2433618801405,41.7352943733959,6.18194881519602,10.950691825386,27.8881648274394,0.999999999969871,0.721821985087629,0.0714450373383114,0.137104063331996,0.38529253447517
"9",4,0.924265517264429,6.77603615458712,87.1779460279932,37.034433532803,2.58803891665259,4.64123051475808,25.108007278639,48.1505702540473,135.29977433423,0.148111321701401,0.183444026074202,0.273523920306789,0.252483618744728,0.226348095568655,314.250276663964,233.67470728435,23.2064653348703,44.5039117224343,125.052915910787,46.5440238217305,42.8662290959519,6.34752337485733,11.2365086799761,28.3054893617138,1.00000000252683,0.743594278915087,0.0738470802312911,0.14161932427661,0.397940512747735
"10",4,0.884150209435367,4.84002582470509,78.8060437796845,38.2212356509807,2.43960531241531,4.43897647567477,26.0285795763538,49.8900022765735,140.175557925811,0.163899929204118,0.191058477633528,0.283416020908131,0.261614788530582,0.23174169424243,300.611072089959,230.934691977378,23.0131740837383,44.1102559615634,123.936248897825,49.2701334335181,44.1220306819655,6.52230222727923,11.5398952854143,28.7211962976334,1.0000000029338,0.768217521228849,0.0765546458128052,0.146735300813451,0.412281052722972
