"","convergence","mu","x_C","C","AA","NT","ATP","RNA","DNA","p","tau tC","tau ATPS","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v ATPS","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p ATPS","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f ATPS","f EAA","f ENT","f RNAp","f DNAp","f r"
"1",4,1.49383595707737,1,31.7232777282683,9.60678998989765,7.35118926068605,10.0644157815939,28.0229465934097,8.81417992252908,158.417200740983,0.0916666666666667,0.203443026179702,0.244131631415643,0.0488263262831285,0.332277695013548,0.124604135630081,0.175320325480921,379.434333123597,38.6995172501643,227.335347936782,66.0100949898114,41.8616852444942,13.1669389004234,236.649310686424,34.7814805363297,7.87314690106701,55.4997493702493,3.22303043595284,13.9097042824232,1.64065504058134,41.4894341743794,1.00000000006838,0.101992660849182,0.599142797861347,0.173969747152066,0.110326561391377,0.0347014957579885,0.623689766696783
"2",4,1.48495450323261,0.769230769230769,31.5383013824695,9.5905905013097,7.30754336864055,10.044457962583,27.9653373874491,8.76998067786998,158.783788830149,0.0941666666666667,0.203658724435357,0.244390469322428,0.0488780938644856,0.333309053982162,0.124990895243311,0.175660709470711,377.178443985126,38.4942333104348,226.449622590878,65.4016454216082,41.5272536879118,13.023022300866,235.786702263665,35.5176368085994,7.83968645412016,55.3421295428713,3.19670776380917,13.8414096411951,1.62775921615884,41.4184594033945,1.00000000043492,0.102058412777945,0.600377954521431,0.173397092259684,0.110099753493894,0.0345274829837401,0.625133026890349
"3",4,1.47359495481255,0.591715976331361,31.3033572821935,9.56971233584699,7.25200819452756,10.0187908037309,27.8910592432087,8.71352762166631,159.251544605132,0.0974166666666667,0.203936364486916,0.2447236373843,0.0489447274768599,0.334642923438336,0.125491096289376,0.176101847038539,374.293118649567,38.2308668493231,225.306925225716,64.6268572147926,41.1001241851702,12.8402103419073,234.672272676228,36.462387975112,7.79666399643432,55.1379302691097,3.16314391406396,13.753865711004,1.61133207239213,41.3262206670154,1.00000000033979,0.102141516788363,0.601953159371911,0.172663760076388,0.109807319855152,0.034305226856954,0.626974585059573
"4",4,1.45913264366959,0.455166135639508,31.006841364508,9.54287447324171,7.18176437640634,9.98588475442458,27.795527122202,8.64177983397618,159.845328087885,0.101641666666667,0.204292771594661,0.245151325913594,0.0490302651827187,0.336365603949838,0.126137101481189,0.176673001311194,370.619691510525,37.8942840362143,223.836302194346,63.6460108679266,40.5573609720085,12.6095030551602,233.235536151109,37.6704031446156,7.74152831335355,54.8737662705398,3.12058079067664,13.6421012179612,1.59052616649611,41.2064221842419,1.00000000004978,0.102245738437847,0.603951455717867,0.17172862729364,0.109431209142528,0.0340227552518747,0.629312315306633
"5",4,1.44082682222989,0.350127796645776,30.6355637356225,9.50848989829681,7.0935745487226,9.94386581719133,27.6730577725339,8.55116011040316,160.594288185033,0.107134166666667,0.204748768786109,0.245698522543331,0.0491397045086662,0.33858653447303,0.126969950427386,0.177411541114982,365.970012944084,37.4662443774554,221.949789406889,62.4134372153221,39.8720838917841,12.3207408482512,231.388557913912,39.2078923617537,7.67116740732348,54.532735336076,3.06697786213112,13.5001507071371,1.56436385473113,41.0510006558804,1.00000000026694,0.102375175731081,0.60646987899538,0.170542489888424,0.108949046348559,0.0336659846866266,0.632260977106429
"6",4,1.41782416531124,0.269329074342904,30.1751640185017,9.46462495090687,6.98386446007166,9.89048149723483,27.5167120774922,8.43758894774059,161.53156434701,0.114274416666667,0.205329809175232,0.246395771010278,0.0492791542020557,0.341443717667593,0.128041394125347,0.178364909334412,360.127338412926,36.9252992125152,219.540193823551,60.8787686391977,39.0138593333801,11.9630175070697,229.023355391719,41.1533415228564,7.58186464104409,54.0937753248997,3.0000542274023,13.3210371713498,1.53176143955114,40.8497300199069,1.000000001177,0.102534007606047,0.609618239618961,0.169047895611435,0.108333512116111,0.0332188541249629,0.635951040736261
"7",4,1.38917954736148,0.207176211033003,29.6109044416823,9.40896928207598,6.84890215252276,9.82308693511106,27.3181972594414,8.29660865696203,162.693331594287,0.123556741666667,0.206066566421987,0.247279879706385,0.049455975941277,0.345109935380221,0.129416225767583,0.179592874782711,352.851605477246,36.2470563364983,216.479971557007,58.9897147544809,37.9498809036025,11.5254790587138,226.010248742883,43.5971946646207,7.46930644216655,53.5311413254583,2.9173939136804,13.0968809463293,1.49158399994206,40.5898303020898,1.00000000126804,0.10272606336433,0.613515620932813,0.167179953027269,0.107551957714336,0.0326638136100867,0.640524927536564
"8",4,1.35390219964768,0.159366316179233,28.9289256201061,9.33883991041833,6.68509513053321,9.73867537605139,27.0678697381058,8.12362459645716,164.116970930526,0.135623764166667,0.206995391002555,0.248394469203066,0.0496788938406131,0.349799907729237,0.131174965398464,0.181170021987622,343.89116047356,35.4050468075261,212.622371044991,56.6968065905365,36.6472483781983,10.9985932102553,222.198327942354,46.6398136470674,7.32868150738761,52.8142209964179,2.81663463571304,12.8192041012242,1.44274008378703,40.2556759589291,1.00000000512677,0.102954222319307,0.618283912393276,0.164868462461008,0.106566416291755,0.0319827740017998,0.646129806813096
"9",4,1.31103475853867,0.122589473984026,28.1179342139497,9.25123087816154,6.48940568701628,9.63397227809999,26.7549319046006,7.91429985703855,165.838227263471,0.151310893416666,0.208158572074421,0.249790286489306,0.0499580572978611,0.355778318127747,0.133416869297905,0.183188309167546,333.002831398839,34.3724405430717,207.806397453697,53.9604043092787,35.0766456892667,10.3759222020752,217.419680236846,50.386955929238,7.15491814215874,51.9080195542695,2.6957569702987,12.4795100088902,1.38432305627949,39.8287436023363,1.00000000819818,0.103219665371839,0.624037934705848,0.162041879719116,0.105334377577168,0.0311586608544825,0.652906406549098
"10",4,1.25976883695502,0.0942995953723274,27.17113765998,9.14293635526623,6.25986810423083,9.50561009732418,26.3679042068829,7.66509523306628,167.887449148061,0.171704161441667,0.209604385405806,0.251525262486968,0.0503050524973935,0.363368757690516,0.136263284133943,0.185759500046767,319.981285600451,33.1248090321137,201.867425195965,50.7596988837142,33.2174640156462,9.65624810690935,211.499376552598,54.9421183210519,6.9431052388609,50.7747571099835,2.55346931709713,12.0701886329947,1.31579207945964,39.2880184486135,1.00000000316855,0.103521082724922,0.63087260074221,0.15863333678811,0.103810646483791,0.0301775402876625,0.660974209244336
