"","convergence","mu","x_C","x_W","C","AA","NT","ADP","ATP","RNA","DNA","p","tau tC","tau FERM","tau RESP","tau ADPS","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v FERM","v RESP","v ADPS","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p FERM","p RESP","p ADPS","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f FERM","f RESP","f ADPS","f EAA","f ENT","f RNAp","f DNAp","f r"
"1",4,0.854510032438085,1,0.001,22.6902958589649,23.8187339769896,10.687069045171,2.28500448303398,16.3440977873664,46.1368028738133,8.60879366221828,123.429202028917,0.0354838709677419,0.00575251921473035,0.00873396832943513,0.0763491165668072,0.158053777908483,0.0108332191705146,0.335472179328131,0.154833313536061,0.128807675642347,241.174101318293,603.213833032375,3.59540940821096e-16,15.9187547853723,161.740650559686,215.064742436156,39.4243609202918,7.35630055155492,527.357457147683,8.55779069193943,3.46999916510988,3.14021919026676e-18,1.21538286470681,25.5637208623342,2.32984349066116,13.2257762765491,1.1390003897644,67.927688287852,1.11116815467885,2.77920389487734,1.65652299131578e-18,0.0733429223244111,0.745192204455543,0.990873778249835,0.181640956196116,0.0338928884339302,2.42970870135663
"2",4,0.852898217353695,0.769230769230769,0.001,22.6408575261535,23.7963904608571,10.6654957414728,2.2824224891255,16.3292853374347,46.1091711325494,8.5947657356764,123.581611332764,0.0364516129032258,0.00575712806120211,0.00873796975024086,0.0763911761032354,0.158125953782168,0.0108407014855065,0.335830782437492,0.154998822663458,0.128873660390164,240.734613080192,602.461652010805,2.97938835074032e-18,15.8738924271809,161.512117491637,214.453188531184,39.3264298626078,7.33046037453102,527.012680017058,8.775164928407,3.46844888258958,2.60338052829889e-20,1.21262531184859,25.5392576257426,2.32482299948162,13.2070257112327,1.13621272763344,67.9180531458286,1.11123935771085,2.78098396678376,1.37529603860704e-20,0.0732744402620477,0.74554555910138,0.989923386725667,0.181532169813187,0.0338376603766787,2.43270888450323
"3",4,0.850814712462949,0.591715976331361,0.001,22.5771782897772,23.7675036283087,10.6376657828603,2.27908638416772,16.3101315143949,46.0733220787682,8.57664708071199,123.778464990173,0.0377096774193548,0.00576309874479744,0.00874315258326435,0.0764456856610034,0.15821938598233,0.0108503942876246,0.336295897576447,0.155213491189129,0.128959311454826,240.166397160915,601.486510218556,2.01178599903001e-16,15.8159800812767,161.216111081266,213.663653988414,39.1998602766601,7.29713751987217,526.562695498597,9.05659736390676,3.46642615205315,1.75893519543943e-18,1.20906344171397,25.5075141057371,2.31833489070888,13.1827521966107,1.13261419014654,67.905162649296,1.11133127206905,2.78328182641509,9.30921527683466e-19,0.0731858972384355,0.746001555271391,0.988694102042802,0.181391031806174,0.0337663270894173,2.43658395649947
"4",4,0.848125956139813,0.455166135639508,0.001,22.4953714731751,23.7302207043936,10.601845766346,2.27478225138467,16.2854032646803,46.0268412735181,8.55328904796817,124.03224596708,0.0393451612903226,0.00577082712094132,0.00874985962482891,0.0765162662770447,0.158340191820986,0.0108629379072885,0.336898753939065,0.155491732587261,0.129070436524501,239.43292810318,600.223386423307,1.03396645826599e-17,15.7413750869449,160.833133767081,212.646409818922,39.0365587631979,7.25426645194819,525.974836014992,9.42052717443384,3.46378539699486,9.0470613666089e-20,1.20447124771951,25.46634925185,2.30996474607077,13.1513680053905,1.12797845926306,67.8878016853579,1.11144968081306,2.78624204507592,4.79968105939008e-20,0.0730715965199409,0.746588769580404,0.987106435992942,0.181208036509914,0.0336743663305833,2.44157964502127
"5",4,0.844663530181971,0.350127796645776,0.001,22.3906321178622,23.6822025928397,10.5558742065785,2.26924119615033,16.253542505601,45.9666259267659,8.52324947364286,124.35863176123,0.0414712903225806,0.00578081847927162,0.00875852799851538,0.0766075516170216,0.158496151249865,0.0108791498233058,0.337679478970441,0.155852067217126,0.129214524847824,238.488098337416,598.589046411392,6.28749903434032e-19,15.6455198703184,160.338339934937,211.339198672721,38.8263325258562,7.19927798902881,525.2060045602,9.89040916463116,3.46033462098455,5.50692363329081e-21,1.19856497104055,25.4130097774801,2.29919080589792,13.1108557376642,1.1220223570609,67.8642443264703,1.1116018242331,2.79004562741512,2.9306264946388e-21,0.0729243452824856,0.747342917356058,0.985059801366621,0.180970968215614,0.0335561002899325,2.44800456222893
"6",4,0.840216994268578,0.269329074342904,0.001,22.2571128500668,23.6205185431086,10.4970888088778,2.26212930845895,16.212596634779,45.8887039569302,8.4847363097765,124.777113322056,0.0442352580645162,0.00579371375616872,0.00876971143535543,0.0767254462050735,0.158697092927206,0.0109000682954039,0.338689475717667,0.156318219562,0.129401213189924,237.274215196953,596.477471904673,8.87700837722553e-19,15.522778701963,159.700262031555,209.664969037314,38.5564689095725,7.12901963936188,524.199255544839,10.4958861412928,3.45581973421884,7.78488018775007e-21,1.19099212225073,25.3439673241208,2.28536248166048,13.0586702405076,1.11439565724758,67.8320196207574,1.11179666669859,2.79491669364051,4.15950309470522e-21,0.0727351415088105,0.748308107773921,0.982427919972917,0.180664188806812,0.0334044736605374,2.45624238822945
"7",4,0.83452651047533,0.207176211033003,0.001,22.0878212622129,23.541553484123,10.4222667379535,2.25303179737896,16.1601480883376,45.7880173820626,8.43555311384032,125.311607866942,0.0478284161290323,0.00581032605601593,0.00878411130837605,0.0768774261053642,0.158955363505366,0.0109270041265437,0.339994296528125,0.156920444551442,0.129642845741472,235.719914737099,593.754532482718,1.3478209041055e-16,15.3662867567815,158.879385175679,207.529795569784,38.2113143674365,7.03969270402246,522.87929417626,11.274110171946,3.44990743096189,1.18394088454188e-18,1.18132057465831,25.2547304241092,2.2676789325718,12.9916289477716,1.10467170862075,67.7875596763024,1.11204515223093,2.80112883206735,6.35855355775814e-19,0.0724928341957344,0.749538070515163,0.979053905412478,0.18026778496875,0.0332108390308674,2.46676393438862
"8",4,0.827276185919922,0.159366316179233,0.001,21.8746265329912,23.440896219052,10.3275859953142,2.24144796607745,16.0932424139666,45.6581713673826,8.37305442698813,125.990974815175,0.0524995216129033,0.00583167298575115,0.00880260341725602,0.0770728997174002,0.159286299648081,0.0109615989234452,0.341677170988683,0.157697155840931,0.129955185073604,233.738233334003,590.25205819902,7.86237032349242e-18,15.1678527276255,157.82661086174,204.82145232136,37.7719178648864,6.92682853085866,521.146665527154,12.2711454326803,3.44215698258324,6.92093278773067e-20,1.16903039220458,25.1396168301642,2.2451706112643,12.9058020388913,1.09234115831422,67.7257113690727,1.11236039518195,2.80900990543983,3.74170251711001e-20,0.0721838203938741,0.751096937476737,0.974745416683117,0.179756580186546,0.0329647812086147,2.48013729951132
"9",4,0.818089706421875,0.122589473984026,0.001,21.6083882858137,23.313273790653,10.2086431575982,2.22677935096313,16.0083387713497,45.4911599548376,8.29412684282707,126.849291330442,0.0585719587419354,0.00585902218772779,0.00882627573054834,0.0773236023754529,0.159708743201009,0.0110058889891866,0.343843129082453,0.158696828807286,0.130358236796065,231.225257978772,585.761783329348,7.12859442470724e-17,14.9179624312511,156.48181771604,201.409394614174,37.2158496922437,6.78533979387419,518.870497521723,13.543316270426,3.43199128524965,6.29189399637157e-19,1.15351059528601,24.9915144412381,2.21668943850288,12.7964142096433,1.07681190766772,67.6390431824288,1.1127577503882,2.81894361359426,3.43059351076401e-19,0.0717918036311529,0.753059406141273,0.969270687886932,0.179099054940306,0.0326540426882956,2.49703329390635
"10",4,0.806530618036583,0.0942995953723274,0.001,21.2792924417323,23.1525347166919,10.0605506784485,2.208337690913,15.9012883946097,45.2770936539399,8.19521591320105,127.925688369222,0.0664661270096774,0.00589392917712712,0.00885645816724625,0.0776440305630183,0.160245532813353,0.0110623729565082,0.346623832898139,0.159980230568372,0.130877218538857,228.059980542339,580.030051547521,5.11353664829285e-18,14.605967919168,154.772795116689,197.147200475075,36.5173623276124,6.60969255541728,515.879922515922,15.1582636325516,3.41865604442648,4.52878234122862e-20,1.13406621951835,24.8016490184857,2.18091585898677,12.6577880973271,1.05742013900171,67.5169293589247,1.11325462302826,2.83136539275781,2.49612768544441e-20,0.0712977404941837,0.755509709651458,0.962356621376681,0.17825627422811,0.0322646295795317,2.51822221199257
