"","convergence","mu","x_C","C","AA","NT","rRNA","p","tau Cin","tau EAA","tau ENT","tau RNAp","tau Deg","tau r","v Cin","v EAA","v ENT","v RNAp","v Deg","v r","p Cin","p EAA","p ENT","p RNAp","p Deg","p r","f Cin","f EAA","f ENT","f RNAp","f Deg","f r"
"1",4,2.29723516065785,1,15.4721039420457,3.77558123371078,0.267608089803846,94.1615002606571,226.323206475133,0.00703243676455267,0.141791376457891,0.119295164365873,0.00456005633598932,0.212228963182793,0.207465272126163,781.05995462677,602.345820632866,216.925867892248,219.510342817573,3.19923363849869,519.917627587501,5.49275474023713,85.407443011192,25.8782070654154,1.00097952958046,0.678970038078089,107.86485209063,1.00000000000397,0.771190248670589,0.277732671619003,0.281041604448071,0.00409601544613838,0.665656489632744
"2",4,2.29050617506532,0.714285714285714,14.3174931994216,3.71372581036737,0.266627002853008,94.1479950315716,227.554158692976,0.00769110627384079,0.142271298905629,0.119830327995724,0.00456269784456581,0.212249661721978,0.207485170119313,778.772098920242,603.247990976547,216.257274786308,218.862875415666,3.21631142583125,521.214205648056,5.98961897589763,85.8248752384444,25.9141801691048,0.998605169914533,0.682661012125215,108.14421812749,0.999999999227028,0.774614282338376,0.277690064807131,0.281035845467424,0.00412997772750785,0.669276937332282
"3",4,2.2815832115106,0.510204081632654,12.9910075732933,3.63380158885872,0.265287639442972,94.0976307454867,229.012271878926,0.00851108748371551,0.142922595562409,0.120558492853182,0.00456633553031547,0.212326904005342,0.20754850801557,775.738290603993,604.002304575867,215.2968503762,217.927335639306,3.23576108748014,522.510554748858,6.60237645579851,86.3255770956599,25.9558637973917,0.995129335756749,0.687039133805618,108.446286060513,0.999999998311787,0.778616075643119,0.277537995249793,0.280928939451628,0.00417120196490251,0.673565505526252
"4",4,2.26991837852802,0.364431486880466,11.543034191714,3.53334266182621,0.263496552616291,93.9863887406009,230.673737990971,0.00950941693462696,0.143795420323408,0.121537526163505,0.00457125788134344,0.212497806082644,0.207683183308642,771.772249012158,604.370402667597,213.939546801231,216.598037486257,3.25660635248801,523.610557309462,7.33910409443135,86.9056960826144,26.001683266763,0.990125485942572,0.692021705178504,108.745107356041,1.00000000040508,0.783094240154385,0.27720554498005,0.280650201988002,0.00421964686858792,0.678452170561679
"5",4,2.25489630370152,0.26030820491462,10.0442501685892,3.41103440945423,0.261111592614446,93.7850303115884,232.498573513295,0.0107025537318217,0.144949601513592,0.122836845475331,0.00457791717096249,0.212808185929015,0.207923579560587,766.664743248464,604.053564150123,212.064297757176,214.753099839781,3.27758164764476,524.260174031006,8.20527060890995,87.5573234164253,26.0493093744329,0.983121903273954,0.697496204669514,109.006052005583,0.999999999986886,0.787897929912289,0.276606299718244,0.280113441668161,0.00427511722231312,0.683819333862632
"6",4,2.23583266679211,0.185934432081871,8.57003967704826,3.26703052846579,0.258004615406674,93.461398195735,234.443526983938,0.0121109421268241,0.146457018464102,0.124540463790006,0.00458677714263254,0.213309844228084,0.208308555642848,760.183106710646,602.724936515513,209.540902317399,212.261274657139,3.2972274870492,524.176496148647,9.20653361116201,88.2732971560271,26.0963211575852,0.973595162863413,0.70333108164702,109.190448814653,1.00000000000175,0.792868101377035,0.275645302385711,0.27922387748917,0.00433741220759593,0.689539785246876
"7",4,2.21196133841141,0.132810308629908,7.18453850301827,3.10304606143524,0.254025704327495,92.9823204538304,236.476069206982,0.0137645405604573,0.148406488409315,0.126752433448141,0.00459844005437029,0.214058867869459,0.208880199250863,752.066854904141,600.059706096988,206.235193036588,208.987474101556,3.3141761019028,523.075922545343,10.3518547285036,89.0527538177797,26.1408125800346,0.961016371770267,0.70942878429333,109.2602029246,0.999999999792921,0.797880802829973,0.274224547523994,0.277884170397214,0.00440675729771249,0.69551785060877
"8",-1,2.17713775241837,0.0948645061642198,7.18453850301827,3.10304606143524,0.254025704327495,92.9823204538304,236.476069206982,0.018793965502036,0.148406488409315,0.126752433448141,0.00459844005437029,0.214058867869459,0.208880199250863,740.226835668962,590.612782042145,202.988369118473,205.69732017822,3.26200001072231,514.84097781402,13.9117976132437,87.6507689925309,25.729269747436,0.945886796184155,0.698260029285382,107.540086028302,0.999999999792921,0.797880802829973,0.274224547523994,0.277884170397214,0.00440675729771249,0.69551785060877
"9",-1,2.11374448702899,0.0677603615458714,7.18453850301827,3.10304606143524,0.254025704327495,92.9823204538304,236.476069206982,0.028375013306773,0.148406488409315,0.126752433448141,0.00459844005437029,0.214058867869459,0.208880199250863,718.673125441035,573.415490417961,197.077812682533,199.70788529131,3.16701804086295,499.849987600544,20.3923594976095,85.0985793324349,24.980092336148,0.918344738897148,0.677928296349275,104.408765005543,0.999999999792921,0.797880802829973,0.274224547523994,0.277884170397214,0.00440675729771249,0.69551785060877
"10",4,2.10211645971934,0.048400258247051,3.89113447428538,2.52593541418413,0.235174227269301,90.2708116878174,243.076944154025,0.0207431032852511,0.158240175001276,0.138002270553441,0.00465906144415255,0.218448068882522,0.212209366643666,714.719596215405,580.972257411176,190.25412269523,193.097993201422,3.33823412023617,510.976045284454,14.8255024042891,91.9331516836307,26.2555009140947,0.899655415067976,0.729230797043336,108.433902939899,0.999999999875238,0.812867396409819,0.266194076220843,0.27017307794529,0.00467069062817972,0.714932188688308
