"","convergence","mu","x_C","x_W","C","I","AA","NT","ADP","ATP","LIP","rRNA","mRNA","tRNA","DNA","TC","p","tau tC","tau FERM","tau ATPS","tau ADPS","tau EAA","tau ENT","tau LIPS","tau Maint","tau rRNAp","tau mRNAp","tau tRNAp","tau DNAp","tau tRNAc","tau r","v tC","v FERM","v ATPS","v ADPS","v EAA","v ENT","v LIPS","v Maint","v rRNAp","v mRNAp","v tRNAp","v DNAp","v tRNAc","v r","p tC","p FERM","p ATPS","p ADPS","p EAA","p ENT","p LIPS","p Maint","p rRNAp","p mRNAp","p tRNAp","p DNAp","p tRNAc","p r","f tC","f FERM","f ATPS","f ADPS","f EAA","f ENT","f LIPS","f Maint","f rRNAp","f mRNAp","f tRNAp","f DNAp","f tRNAc","f r"
"24",4,0.553876912869177,0.0189498301732914,0.001,1.52386622806852,36.4256877085439,9.86718313220581,37.665682487833,4.11119897322623,11.5861750667361,27.9586956356739,22.7712847023863,9.14185857256725,1.91220168203245,12.8254082727486,18.2487296212571,145.962026942582,0.0785813967115137,0.00601877683024436,0.00559985054394677,0.141962386699343,0.159678321669144,0.0320043955598172,0.0412041187695888,0.0292525994168098,1.14457352630828,1.12420590534064,0.425188019692659,0.500975847002043,0.000455395882705815,0.00610267341053746,188.318149835968,1.07244342616231e-17,1547.75868036061,8.694413073407,119.11484455238,195.797889089091,86.0315334807555,376.63630075104,12.6124888730229,5.06346440406016,11.060279127398,7.10369754039681,8095.1392142521,8084.49968790852,14.7983032402384,6.4547976451336e-20,8.66721728811571,1.23427963085082,19.020058464005,6.26639309218448,3.54485352347091,11.0175908316993,14.4359208649198,5.69237658452658,4.7026981794264,3.55878089214663,3.68649306810079,49.3370612828977,0.999999997134889,5.69484897777396e-20,8.2188502662875,0.0461687471763593,0.632519193263403,1.03971862881329,0.456841431955456,2,0.0669743667717245,0.0268878193310801,0.0587318806251177,0.037721789037496,42.9865055392155,42.930007924289
"25",4,0.549936274748471,0.0176277489984106,0.001,1.4741419546874,36.205654491059,9.9658919012038,37.409379874298,4.13672084253878,11.5651294003003,28.4434657108536,22.7190983433879,9.12643124173996,1.90455770392788,12.7848650099691,18.2179253939744,146.046737059807,0.0810111952427585,0.00612456223472484,0.00566090877391896,0.142163879954035,0.159910374805189,0.0324559069558291,0.0413533897286415,0.0297293074172365,1.14977718910318,1.12868033139657,0.426129182478211,0.502749381125388,0.000456281022843168,0.00611947410443512,186.978332824809,7.48083176435021e-16,1538.11504491573,8.63501702920526,118.258608161967,193.749366456436,86.9005198553485,373.956666828961,12.4940563086069,5.01895559883054,10.9606234143407,7.03086103674451,8042.18584970481,8031.63985178396,15.1473382266361,4.58168197082693e-18,8.7071289530602,1.22758752434099,18.9107783551201,6.28831141046094,3.59363106519977,11.1174727088832,14.3653809430069,5.66479646855275,4.67064149500453,3.5347610350019,3.66949678539816,49.149412089141,0.999999996846312,4.00090835539069e-18,8.22616726134864,0.0461819124789382,0.632472254952768,1.03621292862284,0.464762511615255,2,0.0668208774805526,0.0268424448286469,0.0586197513593404,0.037602544146968,43.0113249104508,42.954922664649
"26",4,0.545871406200536,0.0163979060450332,0.001,1.42586455010397,35.9815126018238,10.0660772192193,37.146711589895,4.16180256292798,11.5440245502144,28.9408212538374,22.6650946777937,9.11043133264993,1.89675561171256,12.7429352041026,18.1854621142277,146.132505480265,0.0835621058286605,0.0062332604528912,0.00572378447991678,0.142369648422433,0.16014919392185,0.0329222448905719,0.0415077054616755,0.0302408781825499,1.15517858857664,1.13332928255172,0.427110301669254,0.504588104808673,0.000457200599946419,0.00613691964369334,185.596277425172,3.4937917758524e-18,1528.13009166478,8.57336193179349,117.373763490867,191.646284860344,87.7664821912809,371.192556216364,12.3722271034355,4.97312396264704,10.8578144951912,6.9560039589858,7987.40501926114,7976.95562581198,15.5088157756076,2.17777141070573e-20,8.74668730196465,1.22058652402771,18.7973136106363,6.30942592254053,3.64298529220307,11.2251888748084,14.2921318428962,5.63618701262752,4.63748442450991,3.50991685470627,3.65184636682123,48.9539356769156,0.999999996319913,1.88246866341571e-20,8.23362465692358,0.0461936091563009,0.632414424940414,1.0325976728296,0.472889236173813,2,0.0666620431699814,0.0267953862724998,0.0585023288498397,0.0374792211885371,43.0364504109579,42.9801486706662
"27",4,0.541679631178061,0.0152538660884029,0.001,1.37899530422347,35.7538750760098,10.167823739142,36.8768599564355,4.18638073231484,11.5226999088337,29.4504906383383,22.6091079492655,9.09380782841127,1.88877739541923,12.6994509773867,18.1511818937179,146.220547106058,0.0862416632939908,0.00634505598901789,0.00578859213695697,0.142580064905342,0.160394800645016,0.0334038975920997,0.0416671708455234,0.0307899815543317,1.16080329075884,1.13817472406182,0.428136320908849,0.506499808938841,0.000458158675273325,0.00615507976361336,184.17107379103,3.12053143383194e-16,1517.79933996297,8.50928900784381,116.46005722495,189.486024712248,88.6262828166002,368.342149201081,12.2468932552231,4.92593047049797,10.7517416985242,6.8790339215947,7930.81880851022,7920.46920270639,15.8832197343788,1.97999466631539e-18,8.78592132478813,1.21325497903669,18.6795876617029,6.32957176462199,3.69280646752295,11.3412479795842,14.2162339922352,5.60656955400674,4.60321113416842,3.48422936697152,3.63357343913981,48.751119707901,0.999999995604575,1.6943656546503e-18,8.24124712990362,0.0462031783563195,0.632347166771691,1.02885876690048,0.48121716729311,2,0.066497376321369,0.0267464936129743,0.0583791006369719,0.0373513264040786,43.0622388760658,43.0060432664877
"28",4,0.537358315307731,0.014189642872933,0.001,1.33350461357479,35.5227590634938,10.2711217382141,36.5997776177937,4.21040721649538,11.5011698809332,29.9726240195292,22.551096396616,9.07654566212144,1.88062209316698,12.6543765023236,18.1150179439784,146.310975507661,0.0890572607893381,0.00646006931458355,0.00585540625534834,0.142795214737733,0.160647376348878,0.0339013071058984,0.0418319097939534,0.0313794314613382,1.16666039102998,1.14322479599632,0.429209134345452,0.508487216586579,0.000459156237317003,0.00617397995452145,182.701826267422,3.49387201648759e-16,1507.11451509881,8.44274659990169,115.516962795953,187.268293203208,89.4779930471458,365.403654409257,12.1180191680278,4.87735728581128,10.642357596237,6.79993443855837,7872.38851574498,7862.14193098272,16.2709241885861,2.25706554027936e-18,8.82476775923583,1.20558381370923,18.5574969969607,6.34863991907937,3.7430353336922,11.4661589292578,14.1376129810801,5.57591578807274,4.56779709127562,3.45767973563377,3.61465628958705,48.5407066814899,0.999999994870293,1.91233556332986e-18,8.24903909368578,0.0462105208747895,0.632270429712628,1.02499409047215,0.489748758489039,2,0.0663267541076941,0.0266957225356513,0.0582498695227464,0.0372187544185989,43.0887235020797,43.0326398551943
"29",4,0.532904882323057,0.0131996677887749,0.001,1.28937443558607,35.2880629334655,10.3760136237814,36.3154619119489,4.23383226697261,11.479489038289,30.5074336025893,22.4910151411325,9.05862116524449,1.87229401825434,12.6076852611614,18.0769195229981,146.403796272806,0.0920170256699668,0.00657837302591578,0.00592427267713452,0.143015164861673,0.160907241863847,0.0344146970885312,0.0420020398049739,0.0320122376957251,1.17275808447439,1.14848656441372,0.430330681342209,0.510552911202499,0.000460192851432151,0.00619364509661546,181.187659560441,3.76842946360023e-18,1496.0670802223,8.37370564108487,114.543966683297,184.993039558946,90.319779522035,362.375319979679,11.9855717771113,4.82738344607377,10.5296303612581,6.71869703046538,7812.07007577893,7801.92978244085,16.6723495208543,2.4790134733414e-20,8.86310932652141,1.19756689276288,18.4309537511537,6.3664794199078,3.79361497466098,11.6004448782539,14.0561761986554,5.54418502908892,4.53122300764179,3.43025032839168,3.59505880376048,48.3223841411529,0.999999997630089,2.07984885052964e-20,8.25700315521598,0.0462156508978286,0.632184149239084,1.02100242129801,0.498487477166491,2,0.0661500445327427,0.0266430034271897,0.058114500523096,0.0370814272387101,43.1159057753547,43.0599400802371
"30",4,0.528316823223958,0.012278760733744,0.001,1.24654023783648,35.050227751587,10.4823641221277,36.0237044340709,4.25660338616147,11.4575400174068,31.0547905449745,22.4287859906554,9.04002247630477,1.86378104014224,12.5592851171983,18.0367718906318,146.499582021443,0.0951286995773213,0.0067002702295827,0.00599537568210347,0.143240084788413,0.161174208974349,0.0349451903386302,0.0421776868256931,0.0326917031153608,1.17911116921825,1.1539741042485,0.431503884836132,0.51270095504966,0.000461272945762254,0.00621412075552219,179.627719383963,1.06545989526804e-15,1484.65027096516,8.30204632265905,113.540633830915,182.659425802228,91.1487127033685,359.255439792291,11.8495049633531,4.77599595655451,10.4134902729282,6.63528161508214,7749.8500409064,7739.81937772064,17.0877513530364,7.13886921707873e-18,8.90103613097287,1.18918581917502,18.2998218441439,6.38306840180376,3.84444185896775,11.7446721802679,13.9718836519967,5.51137565585946,4.4934615074718,3.40191522107606,3.57479615758462,48.0961722390867,0.999999997148644,5.93148928174364e-18,8.26515123514086,0.0462180688340252,0.632088599112434,1.01687771746941,0.507431218055139,2,0.0659670176195747,0.0265883014008964,0.0579726240412611,0.0369390738741127,43.1439537582902,43.088112359248
"31",4,0.523591724541375,0.011422103008134,0.001,1.20500524691534,34.8090755669255,10.5902457378188,35.7245595165914,4.27866276459129,11.4354084713731,31.6149255142235,22.3643743299068,9.02072698036485,1.85507531388282,12.5091620627031,17.9945385015301,146.598238866731,0.0984021185164959,0.00682576174327499,0.00606871859579931,0.143470006474607,0.161448689699561,0.035492694772465,0.0423589476772801,0.0334212954019537,1.18572781004214,1.15969436921779,0.432730163051545,0.514933937611978,0.000462398075830331,0.0062354280369417,178.021185754272,3.34918447896139e-16,1472.85539370092,8.22775765800456,112.506482093075,180.267758136924,91.9628520624411,356.042372688135,11.7098013236848,4.72317799626615,10.2939167770258,6.54969373697824,7685.68014550271,7675.76247029603,17.517661819039,2.2860735287665e-18,8.93834491667607,1.18043644446541,18.164024116634,6.3981885168704,3.8954496387664,11.8993973132227,13.8846370795613,5.47744292708322,4.45448828536141,3.37265958613472,3.55384371072783,47.8616645121888,0.999999996686936,1.88134038860313e-18,8.27348375745727,0.0462178565763655,0.631983666683525,1.01261968779668,0.51658375023241,2,0.0657775715585494,0.0265315499422496,0.057824110649001,0.0367916531255972,43.1728397239659,43.1171290784504
"32",4,0.518727280619515,0.0106252121005898,0.001,1.16473332650641,34.5647036960516,10.6996570330542,35.4179602884983,4.29996147400766,11.4130841744923,32.1878870762537,22.2977199773572,9.000712763815,1.84617638008618,12.4572638780119,17.9501390190961,146.699999646294,0.101846752876633,0.0069550187646079,0.0061444061013243,0.143705063161588,0.161730865205764,0.0360577879163009,0.0425459408272766,0.0342047865724953,1.19262018056631,1.16565835734699,0.434012185025727,0.51725542318497,0.000463569417715441,0.00625760461303867,176.367274753681,4.58179034803403e-16,1460.67497240805,8.15078543949673,111.44110735518,177.817955459705,92.7596396219618,352.73455082127,11.5664356478699,4.66891525561111,10.1708759396201,6.46192261540082,7619.53047970915,7609.72918834061,17.9624342473634,3.1866437846076e-18,8.97498021251574,1.17130913639943,18.0234667120417,6.41172212567628,3.94654613851549,12.0652100275865,13.7943645708712,5.44236008744795,4.41428409018011,3.34246451701768,3.53218130774383,47.6186764729352,0.999999996275083,2.59786875845662e-18,8.28200678956552,0.0462148401426472,0.631869529626243,1.00822533571317,0.525945867259048,2,0.0655815293451683,0.0264726845994559,0.0576687251982506,0.0366390114059174,43.202631905316,43.1470587194984
"33",4,0.513721315534409,0.00988391823310676,0.001,1.12567563088471,34.3172453300987,10.8105931802449,35.103820467677,4.32044531547583,11.3905523037585,32.7736817791833,22.2287655677055,8.97996271511881,1.83708925872182,12.4035359445193,17.9034865296084,146.80514426442,0.105472165074305,0.00708830825314954,0.00622260074468584,0.14394539271151,0.162020898221871,0.0366413140472702,0.0427387686724326,0.0350462315532741,1.19980197205008,1.1718785396399,0.435353074338592,0.519669375043268,0.000464787184339504,0.00628068923674682,174.665246401907,1.23082390138549e-17,1448.10190462355,8.07107436531096,110.344151127352,175.310014213103,93.5363273250452,349.330494563398,11.4193906901476,4.61319825946078,10.0443397986216,6.37196080269681,7551.3746603501,7541.69318387363,18.4223217012461,8.72445921836447e-20,9.01095999009151,1.16179396911849,17.8780584791835,6.42358928641372,3.99762745601404,12.2427174010886,13.7010074696495,5.40610803936624,4.37283421103137,3.31131288813765,3.5097821662768,47.367031206802,0.99999999496298,7.04675898921337e-20,8.29072713181497,0.0462088165271594,0.631746456977727,1.00369144372701,0.535517676130446,2,0.0653787222579573,0.0264116550444671,0.0575062295158355,0.0364809880721157,43.2334123580479,43.1779836071822
