"","convergence","mu","x_C","C","AA","NT","ATP","RNA","DNA","p","tau tC","tau EAA","tau ENT","tau ATPS","tau RNAp","tau DNAp","tau r","v tC","v EAA","v ENT","v ATPS","v RNAp","v DNAp","v r","p tC","p EAA","p ENT","p ATPS","p RNAp","p DNAp","p r","f tC","f EAA","f ENT","f ATPS","f RNAp","f DNAp","f r"
"1",4,0.79381310327492,1,21.9430267017103,18.4783149434967,7.44660097137691,9.12306334663351,52.3734829754438,9.68980175238872,134.94570918271,0.0916666666666667,0.0338207167076728,0.0732782195332911,1.31900795159924,0.320528964823087,0.120198361808657,0.6602852631214,201.628528131619,111.077833490554,55.1778580751745,17.954174444561,41.5747570500533,7.69189159918245,107.121672179962,18.4826150787317,3.75673193898608,4.04333519740941,23.6816988567758,13.3259138400249,0.924552769431505,70.7308615013504,0.999999999502991,0.55090335908636,0.273660967319722,0.0890458041925374,0.206194814863952,0.038148825796806,0.531282319616968
"2",4,0.79086207317956,0.769230769230769,21.856221096089,18.4287067548151,7.41632584540264,9.12414816724834,52.2898120732103,9.65349062481252,135.231295438267,0.0941666666666667,0.0338532037068532,0.0733486080315152,1.32027494456727,0.321216715473009,0.120456268302378,0.660960884704333,200.878966587486,110.82893763229,54.8538996248177,17.910873002454,41.3540291823887,7.63457960895868,106.949302669065,18.9161026869882,3.75191460228004,4.02345718258083,23.6472768604665,13.2836054255418,0.919632969752593,70.6893057106569,0.999999999999389,0.551719971060061,0.273069403714274,0.0891625106735237,0.205865401863033,0.0380058686016241,0.532406674953807
"3",4,0.78706749751909,0.591715976331361,21.7451903221592,18.3651538515176,7.37756634896585,9.12545352374692,52.1818122098179,9.60692737588853,135.597896288113,0.0974166666666667,0.033895135024666,0.0734394592201096,1.32191026596197,0.322106978234409,0.120790116837903,0.661836694883473,199.915144307048,110.506842893772,54.4385513246423,17.8548175586961,41.0706083519925,7.56130028858822,106.724696900338,19.4750669745783,3.74564436103394,3.99793777000791,23.6024666277185,13.2291295505092,0.913330345305044,70.6343206589603,0.999999999685863,0.55276874216858,0.272308291081387,0.0893119809155836,0.205440205550464,0.0378225487239706,0.533849985386272
"4",4,0.782203570386693,0.455166135639508,21.6038196848368,18.284071716761,7.32815944150162,9.12697981484579,52.0427020945575,9.54744909210514,136.066818533187,0.101641666666667,0.0339491480983315,0.073556487546385,1.32401677583493,0.323258010055346,0.121221753770755,0.662971032507528,198.679707173733,110.090622319092,53.9081486383692,17.7823513248014,40.7079873909339,7.46804876792982,106.431951267817,20.1941365699835,3.73748284134835,3.96529406396688,23.5441314678275,13.1591829973514,0.905289968893977,70.5613006238158,1.00000000148738,0.554111056679644,0.271331931606946,0.0895026049927737,0.204892527931329,0.0375883822523824,0.53569613595743
"5",4,0.775993810816105,0.350127796645776,21.4248460080934,18.181161770421,7.26552293306567,9.12868883929253,51.8640014647638,9.47184556625491,136.663933412706,0.107134166666667,0.0340185504745473,0.0737068593615191,1.32672346850734,0.32474398665157,0.121778994994339,0.664438590705308,197.102427943099,109.553798848333,53.2342385056354,17.6888426891615,40.2461441408141,7.35009353641978,106.050366490044,21.1164043656606,3.72686143580042,3.92372853075243,23.4682027264451,13.0696932956417,0.895087003979584,70.4639560544265,0.999999999978731,0.555821660794711,0.270084133716868,0.0897444180337132,0.204188982144739,0.0372907305758067,0.538046981939789
"6",4,0.768105789968273,0.269329074342904,21.1998757870238,18.0513889977662,7.18665641668957,9.13047237347785,51.6352466630724,9.37633782983043,137.420021931359,0.114274416666667,0.0341074516375893,0.0738994785481102,1.33019061386598,0.326658801483453,0.122497050556295,0.666334476925673,195.098870651341,108.863179458893,52.383463708309,17.568480145518,39.6613319283458,7.20201937579131,105.553114503044,22.2948096360075,3.7130456285084,3.87111065258789,23.369427389459,12.9557231529508,0.882226131583722,70.3336793402612,0.999999999996924,0.557989798173185,0.268497011455088,0.0900491124669831,0.203288372689261,0.0369147158654742,0.541023708391176
"7",4,0.758149239065936,0.207176211033003,20.919563556092,17.8890447316954,7.08819030034762,9.13210380318889,51.3437065000045,9.25660691714812,138.370784188702,0.123556741666667,0.0342208977308958,0.074145278416941,1.33461501150494,0.329120661157301,0.123420247933988,0.668779200635288,192.569906720608,107.97769991841,51.3179875869346,17.4140680236209,38.9261920138032,7.01788949056833,104.905704741621,23.7933102174523,3.69509382612528,3.80498647743039,23.2410765956926,12.8114140519189,0.86614966089927,70.1587533591829,0.999999999988891,0.560719490163492,0.266490172116143,0.090429851267949,0.202140576771671,0.0364433343194808,0.544766866884652
"8",4,0.745680321148721,0.159366316179233,20.5739982354283,17.6879207209222,6.96652014360561,9.13317206150961,50.9742289074345,9.10791839444871,139.556241541446,0.135623764166667,0.0343650071167362,0.0744575154195952,1.34023527755271,0.332277235867401,0.124603963450275,0.671924133004922,189.402801575351,106.847443113471,49.9968718733459,17.2168609770264,38.0104793820042,6.79159551336885,104.064343010934,25.6875208933614,3.67181314299951,3.72264285844118,23.0746444501315,12.6300170230472,0.846259719116867,69.9233434543488,1.00000000001888,0.564128102788283,0.263971131675153,0.0909007725025758,0.200685940580451,0.0358579464348374,0.549434021816718
"9",4,0.730215554496021,0.122589473984026,20.1533869829586,17.4416406963391,6.81804033840114,9.13298383419734,50.5092664577139,8.9253685816575,141.019313111193,0.151310893416666,0.0345470809675547,0.0748520087630352,1.34733615773463,0.33631156635483,0.126116837383061,0.675957696388999,185.474750843786,105.413203658722,48.3787340878251,16.9664964465054,36.8826520136068,6.5174429679364,102.974495918138,28.0643502564069,3.64171848184719,3.62124542788643,22.8595741324529,12.4040624700162,0.821959294940609,69.6064030476429,1.00000000000969,0.568342608253594,0.2608373046369,0.0914760438791994,0.198855379754779,0.0351392463844784,0.555194146107059
"10",4,0.711259144994521,0.0942995953723274,19.6490168971451,17.1441715476289,6.63949857555611,9.13045288353886,49.929233452481,8.70428306802031,142.803343579969,0.171704161441667,0.0347756902619949,0.075347328900989,1.3562519202178,0.341448586681756,0.128043220005659,0.681111566725072,180.659822831695,103.607114447949,46.4260289084363,16.6511365170634,35.5126238956435,6.19100093275041,101.570184057048,31.0200433855163,3.60300892098094,3.49807726973078,22.583135875076,12.1257352385282,0.792715694487398,69.1806271956498,1.00000000001709,0.573492837675596,0.256980374393927,0.0921684537068338,0.196571785245988,0.0342688309764579,0.562217888110116
