"","convergence","mu","x_C","C","ATP","NT","AA","DNA","RNA","degact","p","tau Cin","tau Met","tau DNAp","tau RNAp","tau RNase","tau r","v Cin","v Met","v DNAp","v RNAp","v RNase","v r","p Cin","p Met","p DNAp","p RNAp","p RNase","p r","f Cin","f Met","f DNAp","f RNAp","f RNase","f r"
"1",4,0.820997447246043,100,101.242114329299,22.6837229537889,4.45029587498415,6.56930464579276,18.6146027092535,57.7149390374542,3.38097801667545,125.344042432954,0.103443756872985,0.176790478961133,0.205479622829061,0.189673497996056,0.108663268268819,0.321886554942194,279.139132063821,196.019614645674,15.2825413057964,102.899304035422,55.5154864177107,102.907138864955,28.8752005109461,34.6544015589855,3.14025082338458,19.5172709377581,6.03249419368168,33.1244244081983,1.00000000000059,0.702229075502656,0.0547488314978043,0.368630880502833,0.198881059804438,0.368658948332218
"2",4,0.818484678144676,71.4285714285714,100.411509522487,22.7538150609988,4.42953053470429,6.54334914896209,18.6647632879419,57.9710298842602,3.3916735739203,125.834328991079,0.104800821955608,0.177287753543044,0.205912441053751,0.190073022511155,0.108624997710033,0.321918989737408,278.284790572753,196.09950851922,15.2768227723777,102.969056806973,55.5206570704392,102.993470263815,29.1644747897688,34.7660413362674,3.14568786860581,19.5716398524242,6.03093124713599,33.1555538968771,1.00000000001281,0.70467203082902,0.0548963626115937,0.37001323930196,0.199510210230606,0.370100967620822
"3",4,0.815019569144445,51.0204081632653,99.2726783006399,22.8495778988061,4.40110431276186,6.50762361524053,18.7329459794058,58.3228990184712,3.40646287376683,126.506708084964,0.106681791019627,0.177978959742725,0.206513517096688,0.190627861935404,0.108572962051177,0.321975925031534,277.106653577619,196.197478081216,15.2677175609415,103.060982102969,55.5266780736798,103.10544271729,29.5622341071156,34.9190230530409,3.15299005154889,19.6462946672519,6.02869591132157,33.1974702946852,1.00000000024722,0.708021534657107,0.0550968999394288,0.371918107334729,0.200380169045107,0.372078553191071
"4",4,0.810268149333152,36.4431486880466,97.7236414667493,22.9791758291787,4.36251952000908,6.45876461122834,18.8245718478415,58.8029321708007,3.42682274276302,127.421571874206,0.109279218391906,0.178937109283457,0.207345556255179,0.191395898081704,0.108502977343845,0.322076703060163,275.491170824137,196.308816706778,15.2529509931394,103.179049462824,55.532906437427,103.245641227634,30.1054598215328,35.1269321883669,3.16263160820549,19.7480468351538,6.02548568901803,33.2530157319288,1.00000000018464,0.712577525282433,0.055366387787769,0.37452760890018,0.201577808397825,0.374769329041782
"5",4,0.803802153770089,26.0308204914619,95.6393458620766,23.1522957124014,4.31074324046338,6.39251874423633,18.9457904719047,59.4514990387827,3.45468659115968,128.653120388094,0.112848216219601,0.180260448842461,0.208492024742286,0.192454176685187,0.108410216867262,0.3222554641092,273.292732321313,196.417620132213,15.2286671861938,103.32493342373,55.537690451496,103.411655257193,30.8405973482411,35.4063283656008,3.17505565577596,19.8853149931157,6.02085306615357,33.3249709592073,1.00000000014447,0.718707806432478,0.0557229131526608,0.378074208417577,0.203216858303511,0.378391530553219
"6",4,0.795090511872404,18.5934432081871,92.8753207372545,23.379478661979,4.24231545819283,6.30372456504528,19.102784707919,60.3164891642709,3.49253663372529,130.287350076302,0.117720436773107,0.182079248540175,0.210061709049827,0.193903116045995,0.108289607152669,0.322570661126696,270.330774040345,196.486487735048,15.1884428716076,103.494723040802,55.5376547968352,103.590235862666,31.8234567932416,35.7761120350959,3.19051026741557,20.0679492919286,6.01415082012981,33.4151708684906,1.00000000001379,0.726837291963042,0.0561846609056441,0.382844770114049,0.205443331395605,0.383198088459712
"7",4,0.783504229162836,13.2810308629908,89.2796622827109,23.6705155840405,4.15366236848528,6.18647936262507,19.3003716565334,61.4506137540979,3.54348482732694,132.415211034824,0.124317032201865,0.184563072046253,0.212191938583703,0.195869481769572,0.108136615233833,0.323118574833701,266.391438597517,196.440445620784,15.1219228173084,103.673522724688,55.5267069636999,103.747877851274,33.1169930504287,36.2556521179068,3.2087501177178,20.3064791693105,6.00447014613543,33.5228664333245,1.00000000256072,0.737412760552743,0.056765798989804,0.389177383237166,0.208440283960408,0.389456503043599
"8",4,0.768343870318251,9.48645061642197,84.717026040655,24.0314887588545,4.04167831977128,6.03460245239866,19.5397497404957,62.9053466985395,3.61134770057389,135.118760957295,0.133158581744529,0.187927443956657,0.215048369334746,0.198506187078227,0.10794844995285,0.324049562743841,261.236916421908,196.145108751979,15.0132469406625,103.828074932545,55.4951373864773,103.817671746535,34.7859372900552,36.8610489323599,3.22857427300933,20.6105152665319,5.99061406079066,33.6420711345482,1.00000000196642,0.750832278317437,0.0574698521779284,0.397447943264757,0.212432217680817,0.397408120462633
"9",4,0.748897268276736,6.77603615458712,79.1061631855166,24.4602425152159,3.90459530605028,5.84249020592019,19.8155584238781,64.7208331187601,3.7007525263409,138.449364605406,0.144871861343743,0.192438271189791,0.218817322574112,0.201985220837642,0.107725487697022,0.325582466125805,254.625071129531,195.382681616044,14.8398175730204,103.898924274133,55.4296691508987,103.684350947639,36.8880079993181,37.5991054706168,3.24720914881657,20.9860471643041,5.97118814216514,33.7578066801856,0.999999999667907,0.767334813828152,0.0582810541878767,0.408046716604642,0.217691325078877,0.407204013545313
"10",3,0.724527453828061,4.84002582470509,72.4639111920414,24.9408358135674,3.74293458383803,5.60628377290688,20.1132342926939,66.9134220284531,3.81742205975215,142.401956256747,0.160198492809932,0.198413139255821,0.223687932285745,0.206481168263765,0.107472342391746,0.328009001432534,246.339334301541,193.837241231148,14.5725904303327,103.797152991983,55.3165417027859,103.174126786836,39.4631900749088,38.45985553736,3.25971262140817,21.4321574122375,5.9449983098091,33.8420423010237,1,0.786870849435172,0.0591565714490997,0.421358421245576,0.22455423880895,0.41882928310808
