"","convergence","mu","x_C","x_W","C","AA","NT","ADP","ATP","W","LIP","rRNA","mRNA","tRNA","DNA","TC","p","tau tC","tau tW","tau FER","tau RES","tau ADPS","tau EAA","tau ENT","tau LIPS","tau Maint","tau rRNAp","tau mRNAp","tau tRNAp","tau rRNase","tau mRNase","tau tRNAse","tau DNAp","tau tRNAc","tau r","v tC","v tW","v FER","v RES","v ADPS","v EAA","v ENT","v LIPS","v Maint","v rRNAp","v mRNAp","v tRNAp","v rRNase","v mRNase","v tRNAse","v DNAp","v tRNAc","v r","p tC","p tW","p FER","p RES","p ADPS","p EAA","p ENT","p LIPS","p Maint","p rRNAp","p mRNAp","p tRNAp","p rRNase","p mRNase","p tRNAse","p DNAp","p tRNAc","p r","f tC","f tW","f FER","f RES","f ADPS","f EAA","f ENT","f LIPS","f Maint","f rRNAp","f mRNAp","f tRNAp","f rRNase","f mRNase","f tRNAse","f DNAp","f tRNAc","f r"
"1",4,0.451313635507381,0.8,0.01,10.0124479708179,2.50714620133859,10.7399049641051,21.8860886936587,11.6055782332377,11.5143848433416,46.6792457617316,50.166775118038,9.07268129583747,1.10650464964522,5.27289121144922,7.01206171107714,152.424290913439,0.0325336725833839,0.0366738685182403,0.00676280203969377,0.135602658088948,0.174091565711114,0.1487399179075,0.0421693474901872,0.0387412800584982,0.125849638335194,0.0742338115645329,1.20647047936915,0.818076720653515,0.175300379235,0.111022099943694,0.19037467671922,0.818076720653515,0.000310314797194493,0.00612115087171594,1302.68812596133,107.090988412224,112.287587155525,7.04892126745412e-06,15.11524595998,96.3101428115238,157.809345405574,117.038778374831,147.761760996438,23.5106830114292,5.46759650365336,4.43136338495965,0.869733351226224,1.37297172422914,0.800655675733312,2.37972770227407,6882.44728619183,6879.11608717791,42.3812289682878,3.92744082851829,0.759378723447676,9.55852460526492e-07,2.63143683528151,14.3251627354456,6.65471712360662,4.53423209072383,18.5957641811732,1.7452876124239,6.59649377475979,3.62519522599185,0.152464586303284,0.152430203987233,0.152424565431138,1.94679983472469,2.13572523381641,42.1081074336642,8.48951895788552,0.697903786966168,0.731769623821956,4.59372811804309e-08,0.0985049027261664,0.62764584012134,1.02843144329995,0.762732773884504,0.962952103600465,0.153217324362324,0.0356319085487785,0.0288788565092144,0.00566798577985926,0.0089475517963154,0.00521781184798975,0.0155085035630859,44.8523829674546,44.8306737980704
"2",4,0.443728755089741,0.727272727272727,0.01,9.79245150858275,2.50923112577685,10.6088060133075,22.3555994311478,11.394040575617,11.4401604467814,47.1598186276292,49.8906002398588,9.05233140136517,1.10213738633448,5.25724674782189,7.00109795763751,152.436475803436,0.0336450445737429,0.0366684447777157,0.00679119009958296,0.135780928662254,0.174488229828122,0.149888802304959,0.0428241838969949,0.039080049772061,0.12632955341953,0.0745047988629382,1.21296698926563,0.820334520866228,0.175086557892341,0.111046877933006,0.190732789976922,0.820334520866228,0.000312415086516121,0.00616522293913386,1284.15451603152,105.963127689258,111.039455806548,1.78937345968282e-06,14.9756857449287,94.6533270052355,154.890781027886,116.256486721644,147.212190820265,23.0085999691569,5.38968637077146,4.36215920129578,0.870706034044423,1.37290662738392,0.799221601294611,2.3327915546106,6767.31485699051,6764.04476385261,43.2054359314538,3.88550309614761,0.754090052936509,2.42962790079324e-07,2.61308089609486,14.1874738189944,6.63307129068737,4.54330928740679,18.5972503242348,1.71425111281984,6.53751165024065,3.57842977833718,0.15244892243693,0.152456994664518,0.152437765824745,1.91366944223227,2.11421125652852,41.7018439394324,8.51178789706263,0.702357587455771,0.736005117944388,1.18605410542975e-08,0.0992636470787203,0.627392602028664,1.02666576246139,0.770585271693288,0.975769604421384,0.15250837831498,0.0357245694711787,0.0289137899147788,0.00577131878598386,0.00910006534951648,0.005297497044198,0.0154624904347703,44.8559328151209,44.8342575892459
"3",4,0.435814187640445,0.661157024793388,0.01,9.57513674248683,2.51188919564112,10.4744106751563,22.8313530629179,11.179103085642,11.3626008341311,47.666913545078,49.5996615394851,9.02992681126318,1.09804094622035,5.24065805279012,6.98880165245342,152.441502182581,0.0348521560845761,0.0366656192481444,0.00682054000645868,0.135980397334482,0.174905463835994,0.151084349737515,0.0435131976856534,0.0394369008896873,0.126835784382855,0.0747887912679686,1.21975321850897,0.822721144236195,0.174876691629861,0.111074286878524,0.19107128504107,0.822721144236195,0.000314541286113134,0.00621234625238043,1264.73306689722,104.769790311312,109.721771654751,6.54285272246683e-05,14.8222393176655,92.9204452042698,151.841302795832,115.410651133197,146.629463694091,22.487940911067,5.30789031072993,4.29013667423229,0.871704709995289,1.37252009302659,0.797837188248635,2.28395313197808,6646.82306881247,6643.61694363905,44.0786742528265,3.84144924026248,0.748361733150751,8.89699712902037e-06,2.59249064294439,14.0388250410075,6.60710062540221,4.55143841035417,18.5978630412775,1.6818459188442,6.47431629000539,3.52958615355406,0.152440835762144,0.152451690559374,0.152443776812221,1.87905653412285,2.09070027663072,41.2724488220672,8.5352961042239,0.707059225768758,0.740478631155649,4.41557090695726e-07,0.100030753378117,0.627091624875819,1.02473044639614,0.778871136357484,0.98955734058808,0.151764225569858,0.0358213259988266,0.0289528184251537,0.00588286810078404,0.00926271773040543,0.00538435882076683,0.0154137001552651,44.8573730928719,44.8357359360531
"4",4,0.427551310452956,0.601051840721262,0.01,9.30730123222672,2.50243804992293,10.2804938064259,23.2043743996503,10.9408274377648,11.2367034862271,48.0421098301191,49.1501566881034,9.00476192334234,1.09325257062906,5.20972129234669,6.97268821318673,153.055170396298,0.0362186080193567,0.0368140519907854,0.00685863982378698,0.136416017155707,0.175527259448334,0.152474900298457,0.0443810659855638,0.0398724510982723,0.127420229567325,0.0752296151544044,1.23061825028885,0.826562780069499,0.174614584380967,0.11110523530231,0.191470171382684,0.826562780069499,0.000317563595931243,0.00627430579597592,1247.56447358768,104.145449451596,108.949716562794,9.47550099820612e-06,14.5988257912676,91.2918011584541,148.212939840518,114.113705637735,146.544475430684,21.890769987391,5.22985665951836,4.21658841388729,0.876556086424311,1.37985889887646,0.799365724708809,2.2274231656375,6547.03195375157,6543.89386745375,45.1850486477472,3.83401599071478,0.747246864807881,1.29261010673021e-06,2.56249188230485,13.9197082797018,6.57784826297644,4.54999314768322,18.672730701201,1.64683420158501,6.43595705159796,3.48527504179152,0.153059476717588,0.153309547643656,0.153054692307439,1.84110508418053,2.0790990099101,41.0583912208164,8.58214484565734,0.716428971113105,0.749478097710111,6.5183101774227e-08,0.100427064227692,0.628007191091065,1.01957449465848,0.785001794609789,1.00809692893889,0.150589218266606,0.0359768078718521,0.0290064147293611,0.00602993388983136,0.00949221397966873,0.00549893218294077,0.0153227096833726,45.0378138571562,45.0162265871463
"5",4,0.418986560979689,0.546410764292057,0.01,9.14826451448576,2.51903659400247,10.1938107875744,23.8015595236357,10.7354688554317,11.197539258622,48.762953568301,48.9750429924122,8.98125961175621,1.08636807081339,5.20491942944349,6.96308343485995,152.430691912131,0.037585559850795,0.0366694331480882,0.0068823420149785,0.136444162130633,0.175813080678661,0.153627998359301,0.0450088873623339,0.0402141301803539,0.127944750624302,0.0754024577323892,1.23445111781869,0.827919297342736,0.174456587809077,0.111134295669296,0.192049833464939,0.827919297342736,0.000319593088788474,0.00631612012768179,1223.17791168908,102.1801522108,106.871770673454,1.37563904107635e-07,14.4705507470034,89.2261766520939,145.35097546626,113.505678993304,145.34824256608,21.393633075561,5.13484314509032,4.13561063588085,0.873748238337837,1.3718160670948,0.793708509454303,2.18079129191889,6389.71212697253,6386.64113920181,45.9738266079604,3.74688826055542,0.73552807752106,1.8769791635385e-08,2.54411210594755,13.7076389203145,6.54208568276626,4.56453215124618,18.5965446487976,1.61313251372223,6.33871286028038,3.42395185174162,0.152431136264611,0.152455812404405,0.152431587060404,1.80551919405665,2.04210783512832,40.3387926475931,8.58639018108645,0.7172780404718,0.750211979448434,9.65662757816347e-10,0.101579495232551,0.62634450784308,1.02032596945069,0.796780287063742,1.02030678520362,0.150177729030523,0.0360452607434181,0.029030908927785,0.00613348493519281,0.00962979129707627,0.00557162689670569,0.0153085865571867,44.8541139785983,44.8325564447443
"6",4,0.410077273475405,0.496737058447324,0.01,8.93884014698644,2.52358809854164,10.0483626698587,24.2934452220872,10.5073404716417,11.110217646349,49.3529573845572,48.6405571086787,8.95453276259261,1.07978752543744,5.18561499634787,6.94885201598922,152.415905336614,0.0391318462863625,0.0366766898575886,0.00691486961270391,0.136710728433829,0.176304072357873,0.15498137534677,0.0458202600721196,0.0406374927358642,0.128551468452904,0.0757324495673379,1.24235637690302,0.83074246188205,0.174250939040369,0.111167528518936,0.192610812446169,0.83074246188205,0.000322386201454422,0.00637336546235596,1201.05215631139,100.784157712404,105.34020454418,4.64178606931041e-05,14.2710113120862,87.266622424095,141.91294591575,112.436256678928,144.648230429596,20.8212822435747,5.04310069861868,4.05369794648881,0.874895204123042,1.37105031808851,0.791330768239621,2.12650285899551,6253.22943293399,6250.22988947241,46.9993883626816,3.69642929497612,0.728413779398561,6.34581954769428e-06,2.51603741098607,13.5247011651535,6.5024880894603,4.5691275640377,18.5947424308386,1.57684670743883,6.26532831229301,3.36757901179232,0.152451310880355,0.152416275337001,0.152418862184285,1.76657622028115,2.01595488370658,39.8349993093483,8.6142455838977,0.722849112704008,0.755526216770154,3.32920472594267e-07,0.102355252040379,0.625897978608292,1.01783503841087,0.806420872296686,1.03745318107044,0.14933542867001,0.0361703758608167,0.0290741325849158,0.00627496658566111,0.00983351479436788,0.00567562161217519,0.0152518088127879,44.849720925679,44.8282074519452
"7",-1,0.400839308854799,0.451579144043022,0.01,8.73226033744761,2.5289260510509,9.89818341429987,24.7882392339041,10.2750797493526,11.0196377332481,49.9712414025691,48.2911185061865,8.92731474219391,1.07377308404494,5.16574315769114,6.93337434042391,152.395108341142,0.0408126716101494,0.0366885021595423,0.00694851958813253,0.137001305267064,0.176826626439031,0.156393575642638,0.0466756877440586,0.0410864685386363,0.129196853680761,0.0760806618433778,1.2507614973421,0.833726479772979,0.174041855522023,0.111201576609298,0.193129546163791,0.833726479772979,0.000325197231785063,0.00643436081808809,1178.02713189113,99.3200613300944,103.737165261643,2.06386202689699e-06,14.054756547404,85.2332436457729,138.349379429388,111.280210369012,143.906821413104,20.2326094231953,4.94906078190331,3.96948664254181,0.875630857350293,1.37064211071305,0.789161613321613,2.07063291705032,6111.52043106169,6108.59499003154,48.0784344817187,3.64390428459504,0.720819724837865,2.82751791576016e-07,2.48525518569934,13.3299317373826,6.45755243383042,4.57211086229923,18.5923085497723,1.53931031573526,6.19009467401044,3.30946612499225,0.152396419165585,0.152417563678387,0.152410424230688,1.72634149283442,1.98744952617912,39.3049042574282,8.6438271035135,0.728765420427546,0.761176119340108,1.5143680517244e-08,0.103127408774285,0.62540276161805,1.01514479869938,0.81652355232956,1.05592277939659,0.14845768231693,0.0363139562455384,0.0291262869071243,0.00642498082814678,0.0100571481802622,0.00579050885808649,0.0151933622285034,44.8435562438046,44.8220906885711
"8",4,0.391283242065896,0.410526494584565,0.01,8.52845358455316,2.53504528591556,9.74491438821287,25.2848860341905,10.0385145248217,10.9260745273795,50.6181238397188,47.9271737906009,8.89829589639521,1.0669080994397,5.14486702034241,6.917143992994,152.369596669144,0.0426400154465127,0.0367048927415283,0.0069833534935622,0.137316979266849,0.177377039751876,0.157868027731932,0.0475805072186034,0.041563608975662,0.12988489972876,0.0764460459202141,1.25957281099734,0.836877376899524,0.173836597764609,0.111238106842515,0.193728785124526,0.836877376899524,0.00032826961683654,0.00649956854707628,1154.12604044069,97.7889067037981,102.064096525745,2.10900854625986e-06,13.8214546915227,83.1290637978209,134.664569764796,110.033464462768,143.119739158663,19.6296124492228,4.85172629289227,3.88205255173421,0.876512505380822,1.36997222568909,0.786516896052184,2.01310024771749,5964.81599088431,5961.96697769755,49.2119521916135,3.58933133187423,0.712749665040328,2.89602682820373e-07,2.45160871824696,13.1234213489639,6.40740853378399,4.57338789116789,18.5890929698292,1.50060625468929,6.11110252492803,3.24880195648143,0.152369951833535,0.152393116812481,0.152370962752103,1.68471805474559,1.95806785982805,38.7502130469505,8.67527148956112,0.735054304813089,0.767189817811854,1.5852880076792e-08,0.10389235458533,0.624859999557566,1.01223927179433,0.827093526792791,1.0757946265925,0.147550797109519,0.0364691908067605,0.0291804002708217,0.00658852125481075,0.0102977322879511,0.00591204718141033,0.0151319618245365,44.8360025621104,44.8145872556305
"9",4,0.381415446159014,0.373205904167787,0.01,8.32737132599071,2.5419487458056,9.5883919569576,25.7826270960403,9.79681692976646,10.8294348115293,51.29327379807,47.5483605652625,8.86805188046521,1.05949029532823,5.12308604124595,6.90006149956602,152.341084189745,0.0446265904502775,0.0367269123962596,0.00701943366127081,0.137658328802061,0.177957855123492,0.159408383419496,0.0485407513987544,0.04207251456179,0.130622191080093,0.0768295433567357,1.268847416956,0.84020244674297,0.173634801033029,0.111276433803943,0.194385007999549,0.84020244674297,0.00033158340158964,0.0065693768409614,1129.36534165723,96.1918169670116,100.322330677301,8.21779612947371e-16,13.5705495171928,80.9564934282209,130.862330931992,108.689149503596,142.285259821111,19.0130434250885,4.75151848032522,3.7918999416384,0.877364265959282,1.3691065157763,0.783706995567282,1.95402414813284,5813.29456475834,5810.52425945794,50.399724570875,3.53282843498447,0.704205944933388,1.1312480816194e-16,2.41498588492676,12.9051437447037,6.35215587323136,4.57282582519862,18.5856123962339,1.46076344417134,6.02895195037935,3.18596360876911,0.152340969753329,0.152349290573329,0.152340890602649,1.64177587025606,1.92759198622514,38.1715235039273,8.70877884739696,0.741755772021239,0.773607050878678,6.33691919388671e-18,0.104645423605314,0.624272918179476,1.00910755581473,0.838125388857353,1.09719221523849,0.146613663707864,0.0366399800916071,0.029240155320092,0.00676554439826892,0.0105574745608271,0.00604333305955552,0.0150679001213116,44.8275636517812,44.8062012322779
"10",4,0.371246474705839,0.339278094697988,0.01,8.12929287430519,2.54978511241374,9.42901467601137,26.2802807647181,9.55017448697796,10.7300117507444,51.9972086818617,47.1555121998888,8.83646255740281,1.05163940763276,5.10053413430205,6.88209201030318,152.307993469305,0.0467869325064809,0.0367544974407919,0.00705676375118519,0.138025367308484,0.178569697220053,0.161018183960154,0.0495593881216088,0.0426157814569845,0.131413038621343,0.0772309127037293,1.27857639897562,0.843699601983373,0.173437088490598,0.111316745739643,0.195089627941102,0.843699601983373,0.000335131857156194,0.00664411479611326,1103.75544847409,94.5272875056126,98.5107665416287,2.34287214713595e-21,13.3019301992973,78.7179350145349,126.949918560073,107.243224542695,141.398272653332,18.3844911593639,4.64882160871203,3.69917757579403,0.878173492206979,1.36831603540609,0.780701991385023,1.89355531647644,5657.06998807617,5654.38056449993,51.6413316714179,3.47430294671004,0.695167206432433,3.23375788665255e-22,2.37532164813079,12.6750189411338,6.29156028592529,4.57025381985379,18.5815766651835,1.41985103183132,5.94387359194705,3.12099464836325,0.152307853678,0.152316488204776,0.152306861032181,1.59759186684467,1.89586437116653,37.5683535714492,8.74443200277612,0.74888639430268,0.780445252393105,1.85612548596261e-23,0.105383691916752,0.623637809521272,1.00575261679679,0.849627592840877,1.12021877874888,0.145649956311378,0.0368299921025241,0.0293064979406844,0.00695727337052837,0.010840396345457,0.00618506163438296,0.0150015709832413,44.8177754538521,44.7964686674425
