"","convergence","mu","x_C","C","AA","NT","ATP","RNA","DNA","p","tau tC","tau EAA","tau ENT","tau ATPS","tau RNAp","tau DNAp","tau r","v tC","v EAA","v ENT","v ATPS","v RNAp","v DNAp","v r","p tC","p EAA","p ENT","p ATPS","p RNAp","p DNAp","p r","f tC","f EAA","f ENT","f ATPS","f RNAp","f DNAp","f r"
"1",4,0.620689867242716,1,36.9397959335266,15.8241076080757,4.01211755273563,5.76274233672648,60.424071954503,9.43213319195389,121.60503120146,0.106475720037532,0.0486918156186632,0.0917255880308408,1.79871484446097,0.318578858765733,0.11946707203715,0.850159525273075,157.655226142466,77.7529728557237,45.8493194096039,11.1247768431848,37.5046091997048,5.85442949872948,75.4790106724808,16.786453721199,3.78593341809382,4.20555578365976,20.0103012491522,11.9481755972968,0.699411550661131,64.1691998813976,0.999999999129849,0.493183605076339,0.290820168107057,0.0705639584916241,0.237890047064972,0.0371343826454878,0.47875996536008
"2",4,0.613332357201663,0.714285714285714,35.5797335875075,15.724634040506,3.96196333966899,5.69104978224096,60.4593590940359,9.3558842656144,123.22737568976,0.115125439299161,0.0495080844068749,0.0927576670085168,1.827965429061,0.320285262648231,0.120106973493087,0.853248344085104,155.786418606148,77.6658299854151,45.2499480926478,11.0484386582514,37.0816812280468,5.73826655033523,75.5793368035756,17.9349798788756,3.84508646644793,4.1972796173305,20.1961639123847,11.876716011563,0.689205828457379,64.4879439747013,0.999999999209977,0.498540441579883,0.290461443698108,0.0709204226425866,0.238028972811165,0.0368341900221039,0.485147148384883
"3",4,0.603620800476388,0.510204081632653,33.8962208208786,15.5919806516017,3.89712195126697,5.59630873771632,60.4813320279293,9.25486787860396,125.282168899418,0.126789884320958,0.0506020035864203,0.0941370818965737,1.86718155897516,0.32258089744848,0.12096783654318,0.857654780145791,153.319683904954,77.4722746107684,44.4466046815409,10.9403406676218,36.5077900525769,5.58643075718613,75.6229230764847,19.439384986435,3.92025231770224,4.18407366493085,20.4276023434894,11.776715679021,0.675778442695086,64.8583614651445,1.00000000380872,0.505298947484559,0.289894967944096,0.0713564001088902,0.238115480424919,0.0364364877110392,0.493236885430779
"4",4,0.591009846168166,0.364431486880467,31.8787367138104,15.4177875352537,3.81504469336795,5.47332874701843,60.4720067412997,9.12302184769265,127.820072991403,0.142407382400182,0.0520530343319097,0.0959604936051094,1.91922930114388,0.325640458964418,0.122115172111657,0.863910349686529,150.116500495186,77.100693747731,43.3860761178015,10.7890833483884,35.7395514016558,5.39179573879365,75.5429216758526,21.377697890595,4.0133250586647,4.16334927985308,20.7067248947106,11.6382439216176,0.658420064633683,65.2623118813278,0.999999997125375,0.513605721368173,0.289016036544725,0.0718714017565303,0.23807876669803,0.0359174088491836,0.50322863382442
"5",4,0.574941174571609,0.260308204914619,29.5472452491198,15.1932736478347,3.71360260887657,5.31708585473442,60.404947387264,8.95386288084783,130.869982217766,0.163184174048265,0.0539571625748548,0.0983429060747499,1.9875810692971,0.329678251849168,0.123629344443438,0.872717579856322,146.035058252903,76.4535257598773,42.0123388882773,10.5812657158639,34.7292914007698,5.14794444166778,75.2425412924481,23.8306103630903,4.12521531884655,4.13161549727042,21.0311234260535,11.4494920769661,0.636436996554628,65.6654885389847,0.999999999395447,0.523528573400883,0.287686664870033,0.0724570239232718,0.237814753493165,0.0352514286647552,0.515236150463646
"6",4,0.55489714024418,0.185934432081871,26.955605054664,14.910130682831,3.59144443556791,5.12342868153734,60.2453136821068,8.74094842025611,134.433130564271,0.190695304238818,0.056430046609404,0.101420431699643,2.07643021446624,0.334955476423801,0.125608303658925,0.884978792705083,140.94387446615,75.4104926103376,40.2731618033791,10.3026318940487,33.4299522753146,4.850327281422,74.5965597041863,26.8773350219203,4.25541761283947,4.08452145600829,21.3926961533263,11.1975455912029,0.609241382010025,66.0163733469634,1.00000000598911,0.535039166105018,0.285739002117838,0.0730974084171827,0.237186274339003,0.0344131827569138,0.529264293560121
"7",4,0.530466491537524,0.132810308629908,24.1868803119018,14.5616297869973,3.44827131446917,4.88983918010818,59.9518442527047,8.47850918248408,138.48302607505,0.22704485960801,0.0596127755119299,0.10535571786516,2.19089026568676,0.341791259644054,0.12817172236652,0.90182834427991,134.738488905548,73.8390011457547,38.1292018874933,9.93995633200782,31.8024444819364,4.49756501950102,73.460604979531,30.5916812973557,4.40174779932701,4.01712943648246,21.7773535691474,10.8697975592411,0.576460655004857,66.248855758491,1.00000000040833,0.548017138797409,0.282986711612827,0.0737722117622564,0.236030882884664,0.0333799574113547,0.545208764074998
"8",4,0.501415696799453,0.0948645061642197,21.3411903316195,14.1437090225573,3.28498385879905,4.61604046378519,59.4807924239377,8.16222026964296,142.971064777326,0.275111000390715,0.0636823475072962,0.110348447018884,2.3373378816971,0.350578714113128,0.131467017792423,0.924681302593547,127.35958756252,71.6110201756088,35.5644108139007,9.48334875235161,29.8246029794324,4.09266536393365,71.6879360674828,35.0380235436737,4.56035787217512,3.92447750245554,22.1657902842163,10.455870961464,0.538050510218699,66.2884941031229,1.00000000451838,0.56227428079587,0.279244080914881,0.0744612084311725,0.234176348125739,0.0321347254710353,0.562878207784749
"9",4,0.467759040874903,0.0677603615458712,18.5201393299942,13.6557625704199,3.10363347920701,4.30427749214536,58.7913742551565,7.79008717294955,147.834727140273,0.338905310953555,0.0688698114682083,0.116653375303308,2.52397440264017,0.36180792292218,0.135677971095818,0.955317733203358,118.810797055866,68.6235335599782,32.5958331571213,8.92846772889904,27.5001968333095,3.64388370435076,69.1510301751369,40.265610120858,4.72608981855797,3.8024139586017,22.53522400254,9.94978909621081,0.494394747915424,66.0612053955889,1.00000000566986,0.577586681089234,0.274350767351626,0.0751486228589474,0.231462103366758,0.0306696345391715,0.582026484804223
"10",4,0.429820270672587,0.0484002582470509,15.8131971362483,13.1008853374904,2.90723056020563,3.95924926637874,57.8520332573256,7.36333771880193,153.004066431772,0.424086047188547,0.0754897138987475,0.124608879726052,2.76169062344581,0.376096529886967,0.141036198707613,0.996024584583237,109.174348625426,64.8188504047505,29.2804750312675,8.27819051610625,24.8659765936232,3.16491181134912,65.764249247711,46.2993179629411,4.89315647230033,3.64860719149289,22.8618011274287,9.35200750911225,0.446367131117505,65.5028090373798,0.999999998851272,0.593718681598762,0.268199218646981,0.0758254169667559,0.227763910461912,0.0289895185779604,0.602378214298317
