"","convergence","mu","x_C","x_W","C","AA","NT","ATP","rRNA","DNA","p","tau tC","tau MET","tau RNAp","tau DNAp","tau r","v tC","v MET","v RNAp","v DNAp","v r","p tC","p MET","p RNAp","p DNAp","p r","f tC","f MET","f RNAp","f DNAp","f r"
"1",4,0.990875684368555,0.1,1e-04,17.6760869310403,20.3890684004193,6.3979218089606,36.4011284796107,54.558201109907,9.94105121561171,108.636542767088,0.0464037122969838,0.114606955986521,0.202695465455472,0.0926607842082157,0.541126862834906,251.682424535749,234.167619800996,54.0603948626963,9.85034592661212,107.645308661772,11.6789988183642,26.8372380960011,10.9577968994008,0.912740778282082,58.24976817504,1.00000000280566,0.930409109376368,0.214796067361838,0.0391379969118571,0.427702924279875
"2",4,0.819114152680199,0.02,1e-04,14.9692625445915,17.1768560316331,6.27241431323701,36.4352019220991,55.627143937287,9.80966358038197,113.709459651715,0.139211136890951,0.118431236670106,0.204024759168787,0.0932684613343027,0.553053883629811,208.05499640339,195.79346159793,45.5649808722103,8.03523427172238,93.1410276943378,28.9635725851587,23.1880617889637,9.2963842489831,0.749433936984202,51.5120070916253,1.000000007799,0.941065903292729,0.219004503690106,0.0386207227574093,0.447675037998878
"3",4,0.677765536377007,0.01,1e-04,12.9536286770211,14.7942989132812,6.16205009332735,36.4616201975945,56.4643064369012,9.68755490017196,117.476540893392,0.255220417633411,0.122317175961434,0.205273950391951,0.0938395201791777,0.566235179115824,172.152446315459,163.372923227149,38.269560938362,6.56589084309675,79.6215507503253,43.9368192452448,19.9833145977091,7.85574395358308,0.616140046265056,45.0845230505901,1.00000000043972,0.949001462341214,0.222300419042918,0.0381399799219369,0.462506066509418
"4",4,0.553972418604643,0.006,1e-04,11.2620476396386,12.8097266062762,6.05231924560264,36.4854516342246,57.2083549045004,9.56071156568437,120.62138842967,0.409899458623357,0.126651887661111,0.206591482060691,0.0944418203706016,0.581651455011069,140.708994339759,134.470130570388,31.6918507308389,5.29637050962355,66.8209222838343,57.6765406033042,17.0308958707757,6.54726641173019,0.500198872286019,38.8664866715737,1.00000000010077,0.955661229865976,0.225229743718505,0.0376405967152928,0.474887356022322
"5",4,0.452945303920417,0.004,1e-04,9.88868351897832,11.2110061283047,5.94649578046429,36.5061908810942,57.8530455163272,9.43385373433379,123.160724729893,0.603248259860789,0.131261942302113,0.207934307874981,0.0950556835999914,0.598541885613777,115.048107326867,110.56907456499,26.2042652841146,4.27301974683858,55.7850718938405,69.4025705452095,14.5135114859478,5.44876576522476,0.406174813072004,33.3897021204394,1.00000000113935,0.961068176261487,0.227767895733572,0.037141156434385,0.484884743031077
"6",4,0.384089586759873,0.003,1e-04,8.93531002109124,10.1081722872993,5.86086673426053,36.5213632476496,58.3302291953188,9.32831105693149,124.915747433576,0.796597061098221,0.135295527044177,0.20907362564858,0.0955765145822079,0.613588459316716,97.5587550278385,94.1267954942662,22.4040336272387,3.58290713902437,47.978837811563,77.7150175395775,12.7349344053762,4.68409253959949,0.342441776419659,29.4392611726035,0.999999999906013,0.964821613996205,0.229646571635113,0.0367256340824074,0.491794281234553
"7",4,0.895983972513744,0.1,0.2,16.8389982613504,21.8958483413019,5.95380793104661,36.6894611699086,55.7953441232883,9.39914845055946,107.427391666876,0.0464037122969838,0.115658301090123,0.208126113107413,0.0951433659919602,0.634622790073614,227.579928968613,212.492456413256,49.9917340753552,8.42148636697866,96.2532211424777,10.5605535484275,24.5765165032243,10.4045853006031,0.801248559609754,61.0844877550118,0.999999999780834,0.93370473103536,0.219666709146804,0.0370045214588955,0.422942486877466
"8",4,0.751873325211727,0.02,0.2,14.4147678192322,18.5097793214641,5.83290595595841,36.6633978503869,56.7836801128074,9.25898346939224,112.536485083851,0.139211136890951,0.119391887530081,0.209689846839528,0.0958582156980701,0.647933169278347,190.975824312873,180.137744900472,42.6941343841756,6.96158268921236,84.6131812476352,26.5859616212817,21.5069853790796,8.95252649996402,0.66732489502247,54.8236866885035,0.999999998476742,0.943248944070316,0.223557795719714,0.0364526908243789,0.443057027889178
"9",4,0.630062774693526,0.01,0.2,12.5674370315133,15.977799431091,5.72979894025214,36.6489034702676,57.5651212202147,9.13484871676028,116.376091145505,0.255220417633411,0.12320400708541,0.21110398687398,0.0965046797138192,0.662509983250305,160.035944744183,152.117670497322,36.2696400015777,5.75552812888758,73.3242428951235,40.8444406539679,18.7415065537681,7.65666560681702,0.555435398662173,48.5780429322896,0.999999999825212,0.950521901275947,0.226634335512656,0.0359639713258279,0.458173587187027
"10",4,0.52088769583987,0.006,0.2,10.9905382697928,13.8580892837861,5.62960113058781,36.6411544735404,58.2629465620786,9.01029099458227,119.607379846254,0.409899458623357,0.127471908166494,0.21255336307986,0.0971672516936502,0.679484571361221,132.305475035348,126.580638879956,30.3484519875626,4.69334971501469,62.3020124935593,54.2319425898952,16.1354755749618,6.45066553422409,0.456039893045154,42.3332562541275,1.00000000220717,0.956730166499327,0.229381679378262,0.0354735865928436,0.470895196245094
