"","convergence","mu","x_C","x_W","x_CO2","C","AA","NT","ADP","ATP","RNA","DNA","p","tau tC","tau FERM","tau RESP","tau ADPS","tau EAA","tau ENT","tau RNAp","tau DNAp","tau r","v tC","v FERM","v RESP","v ADPS","v EAA","v ENT","v RNAp","v DNAp","v r","p tC","p FERM","p RESP","p ADPS","p EAA","p ENT","p RNAp","p DNAp","p r","f tC","f FERM","f RESP","f ADPS","f EAA","f ENT","f RNAp","f DNAp","f r"
"1",4,0.854510032531788,1,0.001,0.001,22.690293890617,23.8187358980118,10.6870694311229,2.28500380616831,16.3440981430287,46.1368028944104,8.60879371425556,123.429201991171,0.0354838709677419,0.00575251983782145,0.0181457555236299,0.0763491158158703,0.158053780775847,0.0108332192157154,0.335472175385269,0.154833311716278,0.128807673816294,241.174101406481,603.213833524549,2.61343955898415e-15,15.9187545126464,161.740652245398,215.064742811221,39.4243609422153,7.35630059682797,527.357457044239,8.55779069506867,3.46999954379829,4.74228353131095e-17,1.21538283193044,25.5637215925367,2.32984350444542,13.225776128459,1.13900038338731,67.9276873115447,1.11116815496331,2.77920389684018,1.20409728736591e-17,0.0733429210598308,0.745192212140454,0.990873779869228,0.181640956277206,0.0338928886388014,2.42970870061359
"2",4,0.852898217409301,0.769230769230769,0.001,0.001,22.6408559725637,23.7963918994044,10.6654959310586,2.28242232119706,16.3292853751376,46.1091711591801,8.59476578377774,123.581611344845,0.0364516129032258,0.00575712827300748,0.0181690480747371,0.0763911757328692,0.158125956055233,0.0108407015443042,0.335830780212372,0.15499882163648,0.128873659202009,240.734613134998,602.461652364064,1.05570455587011e-17,15.8738923171469,161.512118796589,214.453188887582,39.3264298878851,7.33046041603448,527.012680102936,8.77516493040475,3.46844901222795,1.91811468283231e-19,1.21262529756381,25.5392581992169,2.32482301595457,13.2070256322156,1.1362127265382,67.9180525307231,1.11123935789139,2.7809839682331,4.87316899514675e-20,0.0732744397493496,0.745545565076476,0.989923388306277,0.181532169918032,0.0338376605660541,2.43270888474104
"3",4,0.850814712472597,0.591715976331361,0.001,0.001,22.5771780746161,23.7675038463875,10.637665818269,2.27908633184471,16.3101315359794,46.0733220773829,8.5766470859963,123.778464984107,0.0377096774193548,0.00576309879667849,0.0181992324978317,0.0764456855914681,0.158219386298912,0.0108503942934251,0.336295897204651,0.155213491017531,0.128959311267533,240.166397168761,601.486510238145,1.68153930572523e-17,15.8159800553032,161.216111267123,213.663654012665,39.1998602759259,7.29713752445088,526.562695478763,9.05659736420264,3.4664261833718,3.06027247791359e-19,1.20906343862864,25.5075141861813,2.31833489221138,13.1827521817895,1.13261418960505,67.9051625481168,1.11133127209276,2.78328182647418,7.78105196120528e-20,0.0731858971174177,0.746001556122956,0.988694102143811,0.18139103180072,0.0337663271102216,2.43658395638006
"4",4,0.848125956206909,0.455166135639508,0.001,0.001,22.4953699353842,23.7302221582781,10.6018459986899,2.27478195236462,16.2854033879933,46.0268412944577,8.55328909207254,124.032245967186,0.0393451612903226,0.00577082743565062,0.0182383175704131,0.0765162658176819,0.158340194100133,0.0108629379586503,0.336898751362963,0.15549173139829,0.129070435249628,239.432928167196,600.223386794466,5.72969813159852e-17,15.7413749391686,160.833135064572,212.646410144729,39.0365587840455,7.25426648992814,525.974836057051,9.42052717695256,3.46378558803264,1.04500054106697e-18,1.20447122918122,25.4663498238572,2.30996476053191,13.1513679118518,1.12797845654353,67.8878010202352,1.1114496810223,2.78624204657842,2.6597307268749e-19,0.0730715958281813,0.746588775544304,0.98710643742725,0.181208036592353,0.0336743665042226,2.44157964502335
"5",4,0.844663530233109,0.350127796645776,0.001,0.001,22.3906306448416,23.6822039636475,10.5558743498511,2.26924116213036,16.2535424523069,45.9666259486978,8.52324952171444,124.358631766528,0.0414712903225806,0.00578081858615452,0.0182888653445838,0.0766075513312874,0.158496153453489,0.0108791498874775,0.337679477102631,0.15585206635506,0.12921452378481,238.488098384101,598.589046640383,2.02912541122948e-16,15.6455197975146,160.338341160189,211.339199004066,38.8263325467319,7.19927803006898,525.206004614375,9.89040916656722,3.46033468628724,3.71104014132491e-18,1.19856496099278,25.4130103250031,2.29919082306466,13.1108556721933,1.12202235725084,67.8642437751692,1.1116018243834,2.79004562831354,9.45782839608477e-19,0.0729243449387297,0.747342923021757,0.985059802851392,0.18097096830196,0.0335561004791907,2.44800456233324
"6",4,0.84021699427725,0.269329074342904,0.001,0.001,22.2571127368236,23.6205186514821,10.4970888543266,2.26212918408303,16.2125967137077,45.8887039571579,8.48473631045241,124.777113330985,0.0442352580645162,0.00579371386007935,0.0183541404458716,0.0767254461134152,0.158697093098655,0.01090006829411,0.338689475304415,0.156318219371268,0.129401213034465,237.27421520765,596.477472012749,2.08006553065234e-15,15.5227786639377,159.700262132143,209.664969041756,38.5564689101618,7.12901964000337,524.199255587761,10.495886141766,3.45581979682536,3.81778148862095e-17,1.19099211791043,25.3439673674643,2.2853624814376,13.0586702247737,1.11439565598813,67.8320195448199,1.11179666673724,2.79491669411808,9.74657074115876e-18,0.0727351413298846,0.748308108237524,0.982427919983587,0.180664188807708,0.0334044736631985,2.45624238840522
"7",4,0.834526510461075,0.207176211033003,0.001,0.001,22.0878206052495,23.541553997628,10.4222666076142,2.25303243400212,16.1601476283672,45.7880174065808,8.43555314843559,125.31160789673,0.0478284161290323,0.00581032558823637,0.0184382854117053,0.0768774263720125,0.158955364515309,0.0109270041956062,0.339994297258883,0.156920444888715,0.129642845704789,235.719914721653,593.754532359049,9.45582967969873e-16,15.3662869039406,158.879385670349,207.529795829658,38.2113143872449,7.03969273277289,522.879294291623,11.2741101712072,3.44990715249711,1.74349286438759e-17,1.18132059006891,25.2547306631987,2.26767894974396,12.9916289824296,1.10467171550658,67.7875596720779,1.11204515217705,2.80112883153177,4.46093388737973e-18,0.0724928348912181,0.749538072861645,0.979053906655194,0.180267785065279,0.0332108391670693,2.466763934975
"8",4,0.827276185937813,0.159366316179233,0.001,0.001,21.8746274828765,23.4408954788902,10.3275861678721,2.24144710506735,16.0932430390812,45.6581713329249,8.37305437813892,125.990974762578,0.0524995216129033,0.00583167362233572,0.0185465158865769,0.0770728993578789,0.15928629815923,0.0109615988243746,0.34167717003929,0.157697155402749,0.129955185159563,233.738233351947,590.252058317192,3.23754431969677e-16,15.1678525328028,157.826610148665,204.821451962569,37.7719178371973,6.92682849059667,521.146665320865,12.2711454336224,3.44215735901774,6.00451671587531e-18,1.16903037173586,25.1396164816009,2.24517058703959,12.9058019935702,1.09234114892981,67.7257113870618,1.11236039524329,2.80900990594146,1.54074753942927e-18,0.0721838194651515,0.751096934066971,0.974745414954553,0.179756580050886,0.0329647810162949,2.48013729847595
"9",4,0.818089707504933,0.122589473984026,0.001,0.001,21.6083871018862,23.3132756168252,10.2086436050538,2.22677832887017,16.0083393765747,45.4911599597041,8.29412686520656,126.849291275657,0.0585719587419354,0.00585902309093028,0.0186853276828821,0.0773236014213365,0.159708745102707,0.0110058889477698,0.343843124537824,0.158696826709765,0.13035823474677,231.225258829887,585.761784532114,4.34930767256315e-17,14.9179621099654,156.481819396014,201.409395022473,37.2158497454944,6.78533982116564,518.870497984551,13.5433163202775,3.43199182135818,8.1268239055516e-19,1.15351055620957,24.9915150071258,2.21668943465485,12.796414058821,1.07681189776639,67.6390421794435,1.11275775301097,2.81894361565054,2.09307835024865e-19,0.0717918019899406,0.753059413229081,0.969270688568642,0.179099054959465,0.0326540427764038,2.49703329282789
"10",4,0.806530614605181,0.0942995953723274,0.001,0.001,21.2792943058157,23.1525310816345,10.0605502324297,2.20833806335014,15.9012883603578,45.2770935591159,8.19521576579565,127.925688401973,0.0664661270096774,0.00589392875373987,0.018862743640831,0.0776440315422764,0.160245529725815,0.0110623730018906,0.346623839314756,0.159980233529888,0.130877221726019,228.059977867579,580.030048574613,2.54349757228827e-18,14.6059681297833,154.772791411666,197.147198790989,36.51736209577,6.60969240840924,515.879920453171,15.1582634547708,3.41865578132705,4.79773426571495e-20,1.13406625017437,24.8016479469055,2.1809158493038,12.657788251283,1.05742013505803,67.5169307331505,1.11325461470802,2.83136539029193,1.24158584786529e-20,0.0712977418256211,0.755509694780047,0.96235661725033,0.178256273854787,0.0322646289991955,2.51822221263726
