"","convergence","mu","x_C","x_P","x_N","x_Ace","x_H2O","C","P","N","Ace","H2O","ADP","ATP","AA","NT","Lip","DNA","tRNA","mRNA","rRNA","TC","P","tau tC","tau tP","tau tN","tau tAce","tau tH2O","tau Res","tau Fer","tau NTS","tau AAS","tau LipS","tau Deg","tau DNAp","tau tRNAp","tau mRNAp","tau rRNAp","tau tRNAc","tau r","v tC","v tP","v tN","v tAce","v tH2O","v Res","v Fer","v NTS","v AAS","v LipS","v Deg","v DNAp","v tRNAp","v mRNAp","v rRNAp","v tRNAc","v r","p tC","p tP","p tN","p tAce","p tH2O","p Res","p Fer","p NTS","p AAS","p LipS","p Deg","p DNAp","p tRNAp","p mRNAp","p rRNAp","p tRNAc","p r","f tC","f tP","f tN","f tAce","f tH2O","f Res","f Fer","f NTS","f AAS","f LipS","f Deg","f DNAp","f tRNAp","f mRNAp","f rRNAp","f tRNAc","f r"
"1",4,0.374791950076125,5,1,1,1,1000,17.5823737204128,12.003800484449,10.4487748267975,0.885065407161392,760.837429528868,11.6037800375566,25.0465018469742,11.160174441822,5.69915822334529,55.0000000000009,8.34557480083435,7.80825405773705,14.6642695519171,46.2035908486976,20.7248322229171,91.9864218241842,0.0723562152133579,0.0875420875420873,0.0656565656565655,0.0567546232906893,0.0086753798322059,0.472437291155635,0.223504839232607,0.170735197812591,0.131602270307886,0.055250603226089,0.0273031533705825,0.206340258200341,0.111845967471476,0.103358115371271,0.0848475986918008,0.180343718979177,0.916542738067876,76.3989297796402,27.2008127234528,26.6180016248032,6.53639991927653,288.589801558616,5.83500616993914e-14,34.3405765458573,69.8903607350884,16.1419970226965,20.6135572541872,10.1073033416032,3.12785425411087,35.8354180208014,6.50678051596527,25.4025765879854,51.7252688909333,43.0947130200138,5.52793740520586,2.38121592865243,1.74764657132546,0.370970915095831,2.50362614422192,2.75667450880246e-14,7.67528504003688,11.9327445652987,2.12432345549,1.13891147292937,0.275961253298794,0.645402254406271,4.0080469982813,0.672528571264674,2.15534762407512,9.32832735698887,39.4981462676128,0.185312337986018,0.0659779687417319,0.0645643090529578,0.0158546141228218,0.7,1.41533217629237e-16,0.0832960951921152,0.169525230102856,0.0391538365349772,0.0500000000000009,0.0245161551132819,0.00758688618257668,0.0869219649449945,0.0157827696494346,0.0616161884985324,0.125464198762752,0.104530024800209
"2",4,0.374364957939242,4.54545454545455,1,1,1,1000,17.5587823342396,11.9988639871974,10.4444344741072,0.884624529203885,760.834533269903,11.6131427692511,25.0487241511373,11.1535158372584,5.69546110526401,55.0000000000001,8.34051663207647,7.80456471755834,14.659142490803,46.1829996125226,20.7186908757726,92.0620015568392,0.0737125859825246,0.0875420875420875,0.0656565656565656,0.0567732323325039,0.00867535039438165,0.472676562950988,0.223583859631241,0.170801647453602,0.131653810764436,0.0552781735936692,0.027306507103443,0.206471084549088,0.111907987097732,0.103402301395287,0.0848899592544875,0.180425684528692,0.916871731028151,76.3114309895823,27.1711075792639,26.5891836399764,6.5312867091452,288.261017613216,3.00856100311765e-14,34.3122956690632,69.8164536987143,16.1281289603152,20.5900726866583,10.1142687932895,3.12239715815885,35.8144910234513,6.49929614132378,25.3807117420816,51.6991528849687,43.0809841757856,5.62511291826907,2.3786154783194,1.74575448141259,0.370802257768495,2.50076533283567,1.42207627438203e-14,7.67167549849747,11.9247653111085,2.12332963812576,1.13818161227937,0.276185352650091,0.644684727638048,4.00792759936423,0.672042178462384,2.1545675856352,9.32785504882398,39.4997365356489,0.185311222915278,0.0659810870820041,0.0645679693428312,0.0158602808463548,0.7,7.30585328401269e-17,0.0833224248190645,0.169539114215835,0.0391648179337553,0.0500000000000001,0.0245610322683396,0.00758228784734225,0.0869702879841166,0.0157825964002913,0.061633370916965,0.125543881441633,0.104615910860045
"3",4,0.373894735228086,4.13223140495868,1,1,1,1000,17.5328446981799,11.9934366731627,10.4396583469649,0.884106549835462,760.831349328752,11.6234728139097,25.0511298710883,11.1461700469225,5.69140603115991,55.0000000000017,8.33499252288375,7.80050128848377,14.6534329017496,46.1603792055591,20.7118691506352,92.1452489821967,0.0752110156701258,0.0875420875420871,0.0656565656565653,0.0567951224880218,0.008675318032533,0.47294025781185,0.223670946880265,0.170874906085839,0.131710632716761,0.0553085622982105,0.0273102164054716,0.20661449229173,0.111975945240233,0.103450674743174,0.0849363603683763,0.180516221450212,0.917235496303028,76.2150838299265,27.138392691584,26.5574431557072,6.52565764588712,287.898946125627,8.17020704707231e-14,34.2811021512563,69.7350573178247,16.1128356987596,20.5642104375454,10.1220385532737,3.1164098224717,35.791394691729,6.49104527030958,25.3567536037096,51.6702891519118,43.0657793384057,5.73221386423255,2.37575154875818,1.74367051022319,0.370625525313055,2.4976149188709,3.86401982721857e-14,7.66768657827061,11.9159713700739,2.12223178474484,1.13737691409849,0.276435063354432,0.643895433242949,4.0077752520726,0.671503013002017,2.1537103618568,9.32732535894301,39.5014614851392,0.185310017278315,0.0659845238746355,0.0645719981235467,0.0158665407206031,0.700000000000001,1.98651124289112e-16,0.0833513697386315,0.169554424493019,0.0391768887691936,0.0500000000000016,0.0246108125182224,0.00757726592989432,0.0870235081488554,0.0157823838897764,0.0616526311105408,0.125631590157178,0.104710510207042
"4",4,0.37337689685282,3.75657400450789,1,1,1,1000,17.504345436203,11.9874611026661,10.4343986618882,0.883536303466592,760.827846360266,11.6348579570902,25.0537566018449,11.1380820637629,5.68694167758509,55.0000000000002,8.32890457706475,7.79603808402116,14.6471269586548,46.1354289366995,20.7043339041688,92.2369423194162,0.0768671116017475,0.0875420875420875,0.0656565656565656,0.0568192549522713,0.00867528242806579,0.473231116657113,0.223767019162539,0.170955670379309,0.131773285215884,0.0553420675918926,0.0273143065577804,0.206772744894183,0.112050939024484,0.103504057743414,0.0849875659188552,0.180615984426111,0.917637587341847,76.1089910727031,27.1023556799635,26.5224780452072,6.51944848367703,287.500210576672,1.91179239508507e-14,34.246702634611,69.6453776546909,16.0959796260817,20.5357293269052,10.1306051577532,3.10982054516769,35.7659051206793,6.48195932740714,25.3303874175612,51.6383957280682,43.0489291230203,5.85027831068188,2.37259679353216,1.74137482114996,0.370430205542244,2.49414552488101,9.04719649942683e-15,7.66328256469278,11.9062722257779,2.12102011409671,1.1364897204584,0.276710454894702,0.643026130252649,4.0076032538327,0.670909092514411,2.15276797040013,9.32671967861011,39.5033154580985,0.185308712101566,0.0659882959317521,0.0645764209855903,0.0158734281600009,0.7,4.65479546562856e-17,0.0833832149066707,0.169571230088829,0.0391901825590225,0.0500000000000002,0.0246658031874244,0.00757173143369523,0.0870821399895941,0.0157821502811559,0.0616739415833027,0.125728175771224,0.104814707181155
"5",4,0.372806560746122,3.41506727682535,1,1,1,1000,17.4730033569479,11.9808653569515,10.4285953178646,0.882910190825326,760.823996430329,11.64742612938,25.0565881493056,11.1291739408234,5.68202917679836,55.0000000000001,8.32221532377775,7.79108580820955,14.6401973265118,46.1079526090835,20.6960463996936,92.3379128270765,0.0786983543015676,0.0875420875420875,0.0656565656565656,0.056845792131082,0.00867524329705601,0.473552468761569,0.223873170044655,0.171044854977035,0.131842497397791,0.0553790716488863,0.0273188276902718,0.206947097262868,0.11213354733465,0.103562835792866,0.0850439616408735,0.18072644275641,0.918081046671637,75.9921517510689,27.0626515424826,26.4839550878613,6.51259395271738,287.061051774515,1.78008850714754e-14,34.2087433220333,69.5465833356014,16.0773962528392,20.5043608410368,10.1400065466654,3.10257647264626,35.7377425794212,6.47196226860799,25.3013524725699,51.6031378336576,43.0302246344221,5.98045728264411,2.36912101045302,1.7388455360717,0.370213562070314,2.49032446525271,8.42965307173813e-15,7.65841981074753,11.8955852607862,2.1196840736282,1.13551246813039,0.277013091626581,0.642069195050212,4.00739984916306,0.670254765681472,2.15172724913946,9.32605153574567,39.5052336708859,0.185307292288235,0.0659924290064197,0.0645812744254316,0.015880997225925,0.700000000000001,4.34075590297096e-17,0.08341821426974,0.169589737214372,0.0392048217876229,0.0500000000000001,0.024726463373517,0.00756565029434341,0.0871466876155848,0.0157819166341806,0.0616974912525258,0.125834543767833,0.104929446394405
"6",4,0.372178314725919,3.10460661529577,1,1,1,1000,17.4385726308918,11.973601084366,10.4222038691197,0.8822191753431,760.819761311461,11.6612862857965,25.0596684683596,11.119361548342,5.67661988462285,55,8.31484080888268,7.7856435080779,14.6325420055139,46.0776375705099,20.6868851277765,92.4491550086375,0.0807243567672537,0.0875420875420875,0.0656565656565656,0.0568751294702436,0.00867520025095723,0.473907109348743,0.223990334088764,0.171143228591752,0.1319188541047,0.0554198918567194,0.0273238160325731,0.207139622504683,0.112224766948071,0.103627742671623,0.0851062367890385,0.180848265943948,0.918571610769113,75.8634640777405,27.0189021137196,26.4415057126787,6.50502868186618,286.577302338957,1.39948700182521e-14,34.1668576388213,69.4377008587555,16.05690387157,20.4698073099255,10.1503696464044,3.09460343946425,35.7066371547452,6.46095178840882,25.2693932146676,51.5641412126146,43.0094633861874,6.12402933981126,2.36529109413033,1.73605845588295,0.369974348488787,2.48611548516957,6.63226839606124e-15,7.65304585728281,11.8837923109557,2.11820835920683,1.13443450744396,0.277346832880968,0.641014988252319,4.0071690331906,0.669533849342992,2.15058296244282,9.32528552319022,39.5072720609653,0.185305760159636,0.0659969625132193,0.06458660140845,0.0158893256379409,0.7,3.41841762512981e-17,0.0834567153503548,0.169610050078698,0.03922094533783,0.05,0.0247935153778478,0.00755894618989334,0.0872178145454049,0.0157816624518883,0.0617235737300145,0.125951701527771,0.105055857964361
"7",4,0.371486156742904,2.82236965026889,1,1,1,1000,17.4007420854679,11.9655967232158,10.4151599261077,0.881447074831039,760.815104650595,11.6765830864431,25.0629983111786,11.1085389925296,5.67065629704717,55.0000000000006,8.30674114150956,7.77965025832985,14.624071138309,46.0442389285605,20.6767563170326,92.5717141434561,0.0829671670390461,0.0875420875420874,0.0656565656565656,0.0569079706810525,0.00867515292027494,0.474298728846296,0.224119730135697,0.171251809957722,0.13200315528603,0.0554649512646037,0.0273293269698475,0.207351974028602,0.112325343400779,0.103699244938987,0.0851748775071149,0.180982891598639,0.919114154026203,75.7217028296684,26.9706859597118,26.3947201526814,6.49667756067153,286.044340692036,4.3828388361831e-15,34.1206147343639,69.317692608079,16.0342928136536,20.4317386208599,10.1618268161213,3.08583934171755,35.6722590303375,6.44882266471737,25.2342588126199,51.5209753746235,42.986387887819,6.28241516715011,2.36107015135524,1.7329866766912,0.369712736146947,2.48147839748264,2.07877488873982e-15,7.64710296632972,11.8707803212265,2.11657724418239,1.13324538685712,0.277715887668742,0.639854879040254,4.00689874546419,0.66873804107662,2.14932490334774,9.32441510128161,39.509397538155,0.185304110028993,0.0660019356653677,0.0645924476679967,0.015898494203618,0.7,1.07255650571715e-17,0.0834990486309584,0.169632388839659,0.0392386891570828,0.0500000000000005,0.0248677486646843,0.00755158285591778,0.0872961907263194,0.0157813849922039,0.0617525979577115,0.12608074214992,0.105195129708473
"8",4,0.370723512596295,2.56579059115353,1,1,1,1000,17.3591995895211,11.9567601060492,10.4073882586365,0.880619537912524,760.809983262877,11.6934698597175,25.0665970887724,11.0965939048811,5.66411647758766,55.0000000000001,8.29777691387941,7.77305156497132,14.6147645580051,46.0072991515364,20.6656213444115,92.7067649274406,0.0854516228649008,0.0875420875420875,0.0656565656565656,0.0569432420031636,0.008675100866076,0.47473146719314,0.224262715607513,0.171371698053965,0.132096280966052,0.0555147207428765,0.0273354058885306,0.207586584046588,0.112436527810758,0.10377839950855,0.0852507974576643,0.181131749396537,0.919714272205014,75.565528903168,26.9175327284419,26.3431441548513,6.4874442028537,285.457104699147,4.08463463230728e-15,34.0695528560478,69.1853872053357,16.0093428835227,20.3897931927962,10.1744037324215,3.07618100425382,35.6342622982271,6.43547722595362,25.1955105324633,51.4732016244916,42.9607219191747,6.45719707742027,2.35641700653027,1.72960037380336,0.369416105225119,2.47636917620312,1.93910459194315e-15,7.64053044303098,11.8564172858994,2.11477465562369,1.13193367510309,0.278121455699522,0.638573906582052,4.00659272391047,0.667863526583189,2.14793736524547,9.32343105728482,39.5115890932958,0.185302342668845,0.0660073706337345,0.0645988507724502,0.0159085581239386,0.7,1.00163709206977e-17,0.0835456067011133,0.169656912532539,0.0392582277126256,0.0500000000000001,0.02494974724907,0.00754343355807219,0.087382598639639,0.0157811243230934,0.0617846152097437,0.12622296150281,0.105348596508455
"9",4,0.369883035232096,2.33253690104867,1,1,1,1000,17.3134947784018,11.9470184997219,10.3988144361569,0.879690160023151,760.804351639468,11.7121286589175,25.0704647832132,11.0834834882715,5.65687853928386,55.0000000000005,8.28789780036914,7.76573379719224,14.6044730244974,45.9666941197933,20.6532088557057,92.855667824189,0.0882057693960032,0.0875420875420874,0.0656565656565656,0.0569829432561808,0.00867504362580644,0.475210438889502,0.224421037376486,0.171504292187778,0.132199293664007,0.0555697596212777,0.0273421394451012,0.207846428058035,0.112559619022258,0.103865943206992,0.0853348164406078,0.181296311531199,0.920378551422622,75.3934294635887,26.8589364588299,26.2862820406398,6.47724618658855,284.809937128714,6.16955466890948e-14,34.0131432652086,69.0395048879378,15.981824981469,20.3435669377654,10.1881870057926,3.06555279409395,35.5921897506989,6.42076551084563,25.1528499452486,51.4202498486771,42.9321703166429,6.65013545323913,2.35128736676625,1.72586700266827,0.369092551906689,2.47073862965479,2.93183678196525e-14,7.63326489601316,11.8405714188004,2.11278597401198,1.130487124571,0.27856682980515,0.637164198275755,4.00624331850659,0.666898865894906,2.14641383303594,9.32230163557787,39.513848725461,0.185300418786516,0.0660133410748379,0.0646058828352334,0.0159196423282201,0.700000000000001,1.5163404450614e-16,0.0835968032775695,0.169683873774797,0.0392798004164175,0.0500000000000004,0.0250403162753124,0.00753445254579013,0.0874777512212631,0.0157808252861652,0.0618201567655165,0.126379631472645,0.105517804345669
"10",4,0.368956564810883,2.12048809186242,1,1,1,1000,17.2633451138391,11.9362797094411,10.3893710599278,0.878669346062518,760.798158026476,11.7327277520491,25.0746401420485,11.0690346078374,5.64892997759321,55.0000000000001,8.27704715638098,7.7576639109992,14.5931230977789,45.9216493643437,20.6396030899393,93.0197558524642,0.091261353579936,0.0875420875420875,0.0656565656565656,0.0570266596990938,0.00867498067343743,0.475739558676423,0.224595955072043,0.171650677723858,0.132313056970738,0.0556305345203602,0.0273495894315133,0.208132733066433,0.112695230921441,0.103962367758311,0.0854273731657285,0.181478312004993,0.921114974310921,75.2037555416778,26.7943107356411,26.2235686342405,6.46596918544045,284.09655490438,5.35559671680105e-14,33.9508000448415,68.8785558725432,15.9514484598562,20.2926110645986,10.2033975336161,3.05387088559601,35.5456367857275,6.40456832138046,25.105812026811,51.3615531459504,42.9003119735903,6.86319652502814,2.34562989604939,1.72174945578346,0.368732624362939,2.46453212318565,2.54786921849983e-14,7.62521236153115,11.8230507961626,2.11058490883474,1.1288888003374,0.279058733350915,0.635610493851106,4.00582374581721,0.665834087160584,2.14472357264302,9.32100796688179,39.5161197614841,0.185298371171353,0.06601986962236,0.0646135890318933,0.015931831455442,0.7,1.31959280640433e-16,0.0836531088502216,0.169713388911063,0.0393035879145297,0.0500000000000001,0.0251406718956349,0.00752458832398271,0.087582708485796,0.0157805427329989,0.0618594914840932,0.126552351943396,0.105704268014164
